Node List,Source
TP53,GDC_Mutational_Frequency
PIK3CA,GDC_Mutational_Frequency
CDH1,GDC_Mutational_Frequency
MUC16,GDC_Mutational_Frequency
GATA3,GDC_Mutational_Frequency
KMT2C,GDC_Mutational_Frequency
MAP3K1,GDC_Mutational_Frequency
PTEN,GDC_Mutational_Frequency
NCOR1,GDC_Mutational_Frequency
FAT3,GDC_Mutational_Frequency
CSMD3,GDC_Mutational_Frequency
MAP2K4,GDC_Mutational_Frequency
NF1,GDC_Mutational_Frequency
FAT1,GDC_Mutational_Frequency
SPEN,GDC_Mutational_Frequency
ARID1A,GDC_Mutational_Frequency
LRP1B,GDC_Mutational_Frequency
RUNX1,GDC_Mutational_Frequency
KMT2D,GDC_Mutational_Frequency
TBX3,GDC_Mutational_Frequency
FOXA1,GDC_Mutational_Frequency
MYH9,GDC_Mutational_Frequency
BIRC6,GDC_Mutational_Frequency
AKAP9,GDC_Mutational_Frequency
PREX2,GDC_Mutational_Frequency
FAT4,GDC_Mutational_Frequency
CBFB,GDC_Mutational_Frequency
UBR5,GDC_Mutational_Frequency
KMT2A,GDC_Mutational_Frequency
PIK3R1,GDC_Mutational_Frequency
PTPRD,GDC_Mutational_Frequency
RNF213,GDC_Mutational_Frequency
CHD4,GDC_Mutational_Frequency
AKT1,GDC_Mutational_Frequency
ATRX,GDC_Mutational_Frequency
MUC4,GDC_Mutational_Frequency
MED12,GDC_Mutational_Frequency
FLNA,GDC_Mutational_Frequency
PTPRB,GDC_Mutational_Frequency
ERBB2,GDC_Mutational_Frequency
ATM,GDC_Mutational_Frequency
RB1,GDC_Mutational_Frequency
ZFHX3,GDC_Mutational_Frequency
NOTCH2,GDC_Mutational_Frequency
MTOR,GDC_Mutational_Frequency
BRCA2,GDC_Mutational_Frequency
KDM6A,GDC_Mutational_Frequency
GRIN2A,GDC_Mutational_Frequency
CREBBP,GDC_Mutational_Frequency
BRCA1,GDC_Mutational_Frequency
ANK1,GDC_Mutational_Frequency
TPR,GDC_Mutational_Frequency
ERBB3,GDC_Mutational_Frequency
CTCF,GDC_Mutational_Frequency
SETD2,GDC_Mutational_Frequency
KAT6B,GDC_Mutational_Frequency
NBEA,GDC_Mutational_Frequency
TRRAP,GDC_Mutational_Frequency
FAM47C,GDC_Mutational_Frequency
ARID1B,GDC_Mutational_Frequency
ATP2B3,GDC_Mutational_Frequency
AFDN,GDC_Mutational_Frequency
AFF3,GDC_Mutational_Frequency
MYH11,GDC_Mutational_Frequency
H3C2,GDC_Mutational_Frequency
ROS1,GDC_Mutational_Frequency
POLQ,GDC_Mutational_Frequency
STAG2,GDC_Mutational_Frequency
SMARCA4,GDC_Mutational_Frequency
IRS4,GDC_Mutational_Frequency
NOTCH1,GDC_Mutational_Frequency
AMER1,GDC_Mutational_Frequency
GRM3,GDC_Mutational_Frequency
NIN,GDC_Mutational_Frequency
BCL9,GDC_Mutational_Frequency
APC,GDC_Mutational_Frequency
SETDB1,GDC_Mutational_Frequency
CDK12,GDC_Mutational_Frequency
DCC,GDC_Mutational_Frequency
TNC,GDC_Mutational_Frequency
CASP8,GDC_Mutational_Frequency
CNTRL,GDC_Mutational_Frequency
FAM135B,GDC_Mutational_Frequency
RANBP2,GDC_Mutational_Frequency
ATR,GDC_Mutational_Frequency
PDE4DIP,GDC_Mutational_Frequency
RUNX1T1,GDC_Mutational_Frequency
BCORL1,GDC_Mutational_Frequency
EP300,GDC_Mutational_Frequency
SF3B1,GDC_Mutational_Frequency
STAG1,GDC_Mutational_Frequency
KDR,GDC_Mutational_Frequency
