Gene_Hugo_ID,Gene_Name,Role,Cancer_ID,Cancer_Name,TCGA_based_Cancer_Type
HGNC:1100,BRCA1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11998,TP53,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9588,PTEN,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1101,BRCA2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1748,CDH1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:16262,YAP1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6106,FOXP3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11491,SYK,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1787,CDKN2A,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:8949,SERPINB5,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3821,FOXO3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:10471,RUNX1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:10473,RUNX3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9882,RASSF1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9645,PTPN12,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9591,PTGDR,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11389,STK11,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:18756,RHOBTB2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11362,STAT1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:7679,NDRG1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:8060,NUMB,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6116,IRF1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6075,INPP4B,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:21067,SMYD4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:17274,TRIM29,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:15818,RBM38,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12799,WWOX,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12784,WNT5A,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11364,STAT3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:687,DIRAS3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6348,KLF4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6344,KL,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:583,APC,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:5106,HOXA5,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:4172,GATA3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12771,CCN6,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11998,TP53,Tumor_Suppressor,DOID:3459,breast carcinoma,Breast
HGNC:8763,PDCD4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2478,CST6,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:18238,RAB25,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:16712,FBXW7,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:14931,SIRT3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:14310,BRD7,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12769,CCN4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9884,RB1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6349,KLF5,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:5363,ID4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:29484,TET1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2663,DACH1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:24642,ECRG4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:23109,FAT4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:19182,SASH1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:15971,TSG101,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1537,CBFA2T3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:14929,SIRT1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:14460,NDRG2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:13723,CTCF,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12929,PCGF2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11999,TP53BP1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1034,BECN1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11998,TP53,Tumor_Suppressor,DOID:8029,sporadic breast cancer,Breast
HGNC:8846,PER2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:5154,HPGD,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:4983,HMGB1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:4909,HIC1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:4485,GPER1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3823,FOXP1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3557,FABP3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:347,AHNAK,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3238,EGR1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2032,CLDN1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:18420,SETD2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:18006,NISCH,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1786,CDKN1C,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:15980,RERG,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12687,VHL,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1232,EGLN1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11086,SLIT2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:10776,SFRP1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:10524,SALL1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9671,PTPRG,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9646,PTPN13,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:795,ATM,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:7882,NOTCH2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:784,ATF2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6658,VWA5A,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6597,LIFR,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6514,LATS1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6358,KLK10,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:5951,CADM1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:391,AKT1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3819,FOXO1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3809,FOXF1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3430,ERBB2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:30425,SCUBE2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2048,CLDN6,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:20473,BRIP1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2016,CLCA2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:18695,ST18,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1784,CDKN1A,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1753,CDH13,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:16510,FBXO31,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1527,CAV1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:13861,LZTS1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12796,WT1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11254,SPOP,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1084,BNIP3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1100,BRCA1,Tumor_Suppressor,DOID:8029,sporadic breast cancer,Breast
HGNC:1748,CDH1,Tumor_Suppressor,DOID:3457,invasive lobular carcinoma,Breast
HGNC:950,BAP1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9352,PRDX1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9308,PTPA,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:9077,PLK1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:7883,NOTCH3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:6341,KISS1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:450,ALX4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:4274,GJA1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:4068,GABARAPL1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3810,FOXF2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3527,EZH2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3432,ERBB4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3373,EP300,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:3070,DUSP4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:30130,PAQR3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:30064,PBRM1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2976,DNMT1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:29330,METTL14,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2897,DLC1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:28966,VGLL4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:2891,DKK1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:25821,ZNF668,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:21745,CPEB2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:21449,ITIH5,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:19423,ING4,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:19391,SOCS3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:19164,STARD13,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:17563,METTL3,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:16627,CHEK2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:1557,CBX7,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:14872,ASPN,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:14536,KLF15,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12856,YY1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12770,CCN5,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12513,UCHL1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12496,UBE3A,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12340,TRPS1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:12010,TPM1,Tumor_Suppressor,DOID:1612,breast cancer,Breast
HGNC:11523,TACC2,Tumor_Suppressor,DOID:1612,breast cancer,Breast
