Gene_Hugo_ID,Gene_Name,Role,Cancer_ID,Cancer_Name,TCGA_based_Cancer_Type
HGNC:3430,ERBB2,Oncogene,DOID:1612,breast cancer,Breast
HGNC:7553,MYC,Oncogene,DOID:1612,breast cancer,Breast
HGNC:3236,EGFR,Oncogene,DOID:1612,breast cancer,Breast
HGNC:3430,ERBB2,Oncogene,DOID:3459,breast carcinoma,Breast
HGNC:1582,CCND1,Oncogene,DOID:1612,breast cancer,Breast
HGNC:11283,SRC,Oncogene,DOID:1612,breast cancer,Breast
HGNC:6407,KRAS,Oncogene,DOID:1612,breast cancer,Breast
HGNC:9591,PTGDR,Oncogene,DOID:1612,breast cancer,Breast
HGNC:11998,TP53,Oncogene,DOID:1612,breast cancer,Breast
HGNC:7553,MYC,Oncogene,DOID:3459,breast carcinoma,Breast
HGNC:8975,PIK3CA,Oncogene,DOID:1612,breast cancer,Breast
HGNC:7670,NCOA3,Oncogene,DOID:1612,breast cancer,Breast
HGNC:391,AKT1,Oncogene,DOID:1612,breast cancer,Breast
HGNC:16262,YAP1,Oncogene,DOID:1612,breast cancer,Breast
HGNC:11364,STAT3,Oncogene,DOID:1612,breast cancer,Breast
HGNC:6348,KLF4,Oncogene,DOID:1612,breast cancer,Breast
HGNC:12774,WNT1,Oncogene,DOID:1612,breast cancer,Breast
HGNC:3431,ERBB3,Oncogene,DOID:1612,breast cancer,Breast
HGNC:76,ABL1,Oncogene,DOID:1612,breast cancer,Breast
HGNC:3527,EZH2,Oncogene,DOID:1612,breast cancer,Breast
HGNC:1097,BRAF,Oncogene,DOID:1612,breast cancer,Breast
HGNC:7989,NRAS,Oncogene,DOID:1612,breast cancer,Breast
HGNC:7029,MET,Oncogene,DOID:1612,breast cancer,Breast
HGNC:6204,JUN,Oncogene,DOID:1612,breast cancer,Breast
HGNC:25883,ZNF703,Oncogene,DOID:1612,breast cancer,Breast
HGNC:9588,PTEN,Oncogene,DOID:1612,breast cancer,Breast
HGNC:7545,MYB,Oncogene,DOID:1612,breast cancer,Breast
HGNC:3796,FOS,Oncogene,DOID:1612,breast cancer,Breast
HGNC:12680,VEGFA,Oncogene,DOID:1612,breast cancer,Breast
HGNC:3430,ERBB2,Oncogene,DOID:3007,breast ductal carcinoma,Breast
