Node List,Source
ERBB2,Oncogene_CancerMine
MYC,Oncogene_CancerMine
EGFR,Oncogene_CancerMine
CCND1,Oncogene_CancerMine
SRC,Oncogene_CancerMine
KRAS,Oncogene_CancerMine
PTGDR,Oncogene_CancerMine
TP53,Oncogene_CancerMine
PIK3CA,Oncogene_CancerMine
NCOA3,Oncogene_CancerMine
AKT1,Oncogene_CancerMine
YAP1,Oncogene_CancerMine
STAT3,Oncogene_CancerMine
KLF4,Oncogene_CancerMine
WNT1,Oncogene_CancerMine
ERBB3,Oncogene_CancerMine
ABL1,Oncogene_CancerMine
EZH2,Oncogene_CancerMine
BRAF,Oncogene_CancerMine
NRAS,Oncogene_CancerMine
MET,Oncogene_CancerMine
JUN,Oncogene_CancerMine
ZNF703,Oncogene_CancerMine
PTEN,Oncogene_CancerMine
MYB,Oncogene_CancerMine
FOS,Oncogene_CancerMine
VEGFA,Oncogene_CancerMine
RET,Oncogene_CancerMine
BCL2,Oncogene_CancerMine
KIT,Oncogene_CancerMine
FOXM1,Oncogene_CancerMine
TAFAZZIN,Oncogene_CancerMine
AURKA,Oncogene_CancerMine
MTDH,Oncogene_CancerMine
SKP2,Oncogene_CancerMine
ZNF217,Oncogene_CancerMine
CD274,Oncogene_CancerMine
IKBKE,Oncogene_CancerMine
PTPN11,Oncogene_CancerMine
PTGS2,Oncogene_CancerMine
NFKB1,Oncogene_CancerMine
ESR1,Oncogene_CancerMine
PELP1,Oncogene_CancerMine
KDM5B,Oncogene_CancerMine
NOTCH1,Oncogene_CancerMine
FASN,Oncogene_CancerMine
ETS1,Oncogene_CancerMine
EGF,Oncogene_CancerMine
CDKN2A,Oncogene_CancerMine
YBX1,Oncogene_CancerMine
ABCB1,Oncogene_CancerMine
MTOR,Oncogene_CancerMine
PI3,Oncogene_CancerMine
PHGDH,Oncogene_CancerMine
MUC1,Oncogene_CancerMine
HRAS,Oncogene_CancerMine
CDKN1A,Oncogene_CancerMine
SOX2,Oncogene_CancerMine
MDM2,Oncogene_CancerMine
ALKBH5,Oncogene_CancerMine
RUNX1,Oncogene_CancerMine
PIN1,Oncogene_CancerMine
PGR,Oncogene_CancerMine
PAK1,Oncogene_CancerMine
NTRK3,Oncogene_CancerMine
FTO,Oncogene_CancerMine
VIRMA,Oncogene_CancerMine
WT1,Oncogene_CancerMine
PTPN1,Oncogene_CancerMine
PPM1D,Oncogene_CancerMine
CDK16,Oncogene_CancerMine
FOXP3,Oncogene_CancerMine
DDX3X,Oncogene_CancerMine
METTL3,Oncogene_CancerMine
CDH1,Oncogene_CancerMine
GOLPH3,Oncogene_CancerMine
YY1,Oncogene_CancerMine
BRCA1,Oncogene_CancerMine
ATF3,Oncogene_CancerMine
MYCN,Oncogene_CancerMine
MYBL2,Oncogene_CancerMine
APC,Oncogene_CancerMine
HOXA1,Oncogene_CancerMine
FOXA1,Oncogene_CancerMine
GLI1,Oncogene_CancerMine
GATA3,Oncogene_CancerMine
E2F1,Oncogene_CancerMine
DEK,Oncogene_CancerMine
CTNNB1,Oncogene_CancerMine
CSF1R,Oncogene_CancerMine
CLK2,Oncogene_CancerMine
CDKN1B,Oncogene_CancerMine
CDK8,Oncogene_CancerMine
KIF4A,Oncogene_CancerMine
SQLE,Oncogene_CancerMine
BMI1,Oncogene_CancerMine
PTTG1,Oncogene_CancerMine
NOTCH4,Oncogene_CancerMine
NFIB,Oncogene_CancerMine
TRIM37,Oncogene_CancerMine
MAPK1,Oncogene_CancerMine
LMO4,Oncogene_CancerMine
LEPR,Oncogene_CancerMine
KLF5,Oncogene_CancerMine
FGFR2,Oncogene_CancerMine
ESR2,Oncogene_CancerMine
ZBTB7A,Oncogene_CancerMine
BCL11A,Oncogene_CancerMine
WWOX,Oncogene_CancerMine
CCN4,Oncogene_CancerMine
VHL,Oncogene_CancerMine
ZEB1,Oncogene_CancerMine
SETDB1,Oncogene_CancerMine
RUNX2,Oncogene_CancerMine
RAB1A,Oncogene_CancerMine
PTK6,Oncogene_CancerMine
PLK1,Oncogene_CancerMine
MYCL,Oncogene_CancerMine
MECP2,Oncogene_CancerMine
