PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
HALLMARK_E2F_TARGETS,50,200,19938,50/1158,200/19938,0.25,4.30440414507772,11.662535371930653,5.663076552170086e-19,5.096768896953078e-18,EZH2/KIF4A/DIAPH3/MELK/UBE2T/BIRC5/MAD2L1/SPC24/CDC25A/AURKB/TK1/MKI67/TOP2A/ASF1B/E2F8/CDKN2A/DEPDC1/GINS1/KIF2C/CDCA8/CDC20/KPNA2/TRIP13/DLGAP5/TACC3/CDKN3/CCNB2/LMNB1/CENPM/CDK1/CCNE1/AURKA/SPC25/UBE2S/HMGB3/HMMR/ESPL1/CKS2/RRM2/BUB1B/JPT1/CDCA3/MYBL2/KIF18B/CENPE/PLK1/PTTG1/SPAG5/RAD51AP1/ORC6,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_KRAS_SIGNALING_DN,23,200,19938,23/1158,200/19938,0.115,1.9800259067357515,3.458894947744137,0.0013784910030504279,0.004135473009151284,FGFR3/COL2A1/SNCB/CALML5/GP2/TEX15/CD80/CPB1/NGB/SLC5A5/HTR1D/GPR19/EDN2/TLX1/CCR8/BMPR1B/CLPS/CACNG1/CAPN9/IL12B/TCL1A/TNNI3/NPHS1,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_COAGULATION,17,138,19938,17/1158,138/19938,0.12318840579710146,2.121010738154239,3.2813541915639424,0.0026967553930927397,0.006067699634458665,COMP/F2/HPN/APOC3/MMP9/PROC/TMPRSS6/APOA1/MMP10/PROZ/FN1/CFB/MMP1/MMP3/F12/MMP11/OLR1,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_MITOTIC_SPINDLE,23,199,19938,23/1158,199/19938,0.11557788944723618,1.9899757856640719,3.4851777033116202,0.0012889867418067772,0.004135473009151284,KIF4A/NDC80/TPX2/BIRC5/TOP2A/ANLN/TTK/KIF2C/NEK2/CCNB2/LMNB1/KIF15/CDK1/PIF1/AURKA/BUB1/ESPL1/CENPE/KIF23/KIF11/CENPF/PLK1/DLGAP5,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_PANCREAS_BETA_CELLS,10,40,19938,10/1158,40/19938,0.25,4.30440414507772,5.194632529891968,7.184773735110744e-05,0.0003233148180799835,PCSK1/PAX6/INSM1/NKX2-2/PDX1/CHGA/IAPP/NKX6-1/NEUROD1/SYT13,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_G2M_CHECKPOINT,56,199,19938,56/1158,199/19938,0.2814070351758794,4.845158434660348,13.536755783566447,8.037408070162568e-24,1.4467334526292624e-22,EZH2/KIF4A/CDC45/RAD54L/NDC80/TPX2/BIRC5/SLC7A5/CDC6/MAD2L1/CDC25A/SQLE/AURKB/CCNA2/MKI67/TOP2A/E2F2/E2F1/GINS2/TTK/POLQ/KIF2C/PBK/CDC20/KPNA2/NEK2/TACC3/EXO1/CDKN3/CCNB2/LMNB1/KIF15/CDK1/CENPA/AURKA/UBE2C/UBE2S/BUB1/HMGB3/HMMR/ESPL1/HOXC10/KNL1/CKS2/CENPE/JPT1/H2BC12/KIF23/KIF11/MYBL2/STIL/CENPF/PLK1/PTTG1/TROAP/ORC6,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_ESTROGEN_RESPONSE_LATE,22,198,19938,22/1158,198/19938,0.1111111111111111,1.9130685089234312,3.2062602855928626,0.002672268717025525,0.006067699634458665,FGFR3/RET/CDC6/SLC7A5/TOP2A/GINS2/DHRS2/DNAJC12/CDC20/NMU/SOX3/PLAC1/S100A9/KIF20A/TFF1/TFF3/COX6C/GAL/STIL/ASCL1/AGR2/TH,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_SPERMATOGENESIS,22,135,19938,22/1158,135/19938,0.16296296296296298,2.8058338130876996,5.227759035610285,1.0397645540902333e-05,6.2385873245414e-05,EZH2/TUBA3C/NCAPH/CNIH2/H1-6/TTK/PGK2/GAD1/KIF2C/NEK2/CDKN3/CCNB2/CDK1/CLGN/DMRT1/AURKA/GRM8/HOXB1/BUB1/PCSK1N/ART3/TNNI3,Upregulated,h.all.v2023.2.Hs.symbols
HALLMARK_TNFA_SIGNALING_VIA_NFKB,15,199,19938,15/688,199/19938,0.07537688442211055,2.184395816290756,3.1744580035053143,0.003906112912769283,0.005456677288066699,ZFP36/KLF4/FOSB/EGR1/EGR3/DUSP1/EGR2/BMP2/IL6/FOS/NR4A3/PER1/CXCL2/ATF3/G0S2,Downregulated,h.all.v2023.2.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14,200,19938,14/688,200/19938,0.07,2.028575581395349,2.763811324630579,0.009761793711235882,0.010109629857092071,DCN/TGFBR3/FGF2/SLIT3/ABI3BP/SGCG/SFRP1/DST/OXTR/MYLK/PCOLCE2/IL6/ECM2/MATN2,Downregulated,h.all.v2023.2.Hs.symbols
