PathwayID,Library Source,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,Gene_51,Gene_52,Gene_53,Gene_54,Gene_55,Gene_56,Gene_57,Gene_58,Gene_59,Gene_60,Gene_61,Gene_62,Gene_63,Gene_64,Gene_65,Gene_66,Gene_67,Gene_68,Gene_69,Gene_70,Gene_71,Gene_72,Gene_73,Gene_74,Gene_75,Gene_76,Gene_77,Gene_78,Gene_79,Gene_80,Gene_81,Gene_82,Gene_83,Gene_84,Gene_85,Gene_86,Gene_87,Gene_88,Gene_89,Gene_90,Gene_91,Gene_92,Gene_93,Gene_94,Gene_95,Gene_96,Gene_97,Gene_98,Gene_99,Gene_100,Gene_101,Gene_102,Gene_103,Gene_104,Gene_105,Gene_106,Gene_107,Gene_108,Gene_109,Gene_110,Gene_111,Gene_112,Gene_113,Gene_114,Gene_115,Gene_116,Gene_117,Gene_118,Gene_119,Gene_120,Gene_121,Gene_122,Gene_123,Gene_124,Gene_125,Gene_126,Gene_127,Gene_128,Gene_129,Gene_130,Gene_131,Gene_132,Gene_133,Gene_134,Gene_135,Gene_136,Gene_137,Gene_138,Gene_139,Gene_140,Gene_141,Gene_142,Gene_143,Gene_144,Gene_145,Gene_146,Gene_147,Gene_148,Gene_149,Gene_150,Gene_151,Gene_152,Gene_153,Gene_154,Gene_155,Gene_156,Gene_157,Gene_158,Gene_159,Gene_160,Gene_161,Gene_162,Gene_163,Gene_164,Gene_165,Gene_166,Gene_167,Gene_168,Gene_169,Gene_170,Gene_171,Gene_172,Gene_173,Gene_174,Gene_175,Gene_176,Gene_177,Gene_178,Gene_179,Gene_180,Gene_181,Gene_182,Gene_183,Gene_184,Gene_185,Gene_186,Gene_187,Gene_188,Gene_189,Gene_190,Gene_191,Gene_192,Gene_193,Gene_194,Gene_195,Gene_196,Gene_197,Gene_198,Gene_199,Gene_200
HALLMARK_E2F_TARGETS,h.all.v2023.2.Hs.symbols,CDC25B,ANP32E,SRSF2,SRSF1,DIAPH3,MELK,ILF3,CHEK2,NOLC1,STMN1,WEE1,MCM7,ATAD2,STAG1,AURKB,CTCF,E2F8,SMC3,MXD3,SSRP1,RPA2,DEPDC1,NCAPD2,SUV39H1,CDCA8,CCNB2,LMNB1,CDK1,MLH1,POLA2,BRCA2,AURKA,TIPIN,NOP56,RAD51C,HMMR,JPT1,POP7,POLD3,PRIM2,BARD1,MYBL2,TRA2B,PMS2,TUBB,PTTG1,SMC4,BRMS1L,RFC3,RPA3,RFC2,GINS4,MKI67,NBN,NUDT21,CTPS1,MCM4,MCM2,MYC,CDKN2A,NASP,DSCC1,GSPT1,GINS1,KIF2C,NUP107,KIF22,LIG1,TCF19,EIF2S1,TACC3,UBR7,EED,MTHFD2,SPC25,NAA38,NUP205,PSMC3IP,MRE11,CDKN2C,CKS2,TUBG1,RAD21,CDCA3,PAICS,CDKN1A,DEK,DDX39A,LBR,TIMELESS,SPAG5,POLE4,MCM6,RNASEH2A,EZH2,USP1,NAP1L1,RPA1,ZW10,PRDX4,POLD2,CDC25A,MMS22L,PHF5A,SYNCRIP,CKS1B,H2AX,RAN,CIT,PAN2,TOP2A,POLE,ASF1B,LUC7L3,CHEK1,XPO1,PPM1D,CNOT9,LYAR,PSIP1,DCLRE1B,UNG,ORC2,HUS1,CBX5,CDKN3,PNN,MCM3,CDK4,XRCC6,TBRG4,CCNE1,UBE2S,PCNA,HMGB3,RFC1,CCP110,DUT,BUB1B,RACGAP1,SLBP,DCK,PLK1,RAD51AP1,KIF4A,HMGB2,UBE2T,HMGA1,PLK4,WDR90,BIRC5,MAD2L1,H2AZ1,SPC24,POLD1,NUP153,HNRNPD,CSE1L,MCM5,TK1,RAD50,TMPO,MSH2,RAD1,DCTPP1,AK2,BRCA1,CDKN1B,PRPS1,DNMT1,PPP1R8,CDC20,KPNA2,PRKDC,TRIP13,CENPM,TP53,SHMT1,GINS3,PDS5B,HELLS,SNRPB,ESPL1,ING3,ASF1A,DONSON,IPO7,RRM2,PA2G4,EXOSC8,RANBP1,SMC1A,KIF18B,SMC6,CENPE,NME1,TFRC,DLGAP5,RBBP7,ORC6
HALLMARK_KRAS_SIGNALING_DN,h.all.v2023.2.Hs.symbols,IDUA,ZNF112,FGF22,KLK8,IFNG,IFI44L,BRDT,MTHFR,GPRC5C,TAS2R4,TGFB2,NR6A1,SPTBN2,ZBTB16,CPB1,SNN,PKP1,KRT4,CDH16,ATP4A,CNTFR,HTR1D,GPR19,PCDHB1,PRKN,GDNF,KMT2D,ENTPD7,HSD11B2,TFCP2L1,SHOX2,MFSD6,PRODH,EGF,TCF7L1,UGT2B17,TLX1,CCDC106,ITGB1BP2,TGM1,CCR8,NTF3,BMPR1B,CLPS,IRS4,KRT5,ZC2HC1C,BARD1,AMBN,CLSTN3,IL5,NPY4R,SLC6A14,MX1,UPK3B,STAG3,RSAD2,TFF2,SNCB,SELENOP,VPREB1,YBX2,CPA2,SERPINB2,PTGFR,VPS50,SGK1,SPRR3,CD207,SLC25A23,KCNMB1,MYOT,C5,CKM,SYNPO,P2RX6,ARPP21,GAMT,KRT1,ARHGDIG,RYR1,CDKAL1,LFNG,CYP11B2,DTNB,SCGB1A1,KCNE2,CAPN9,RGS11,CCNA1,IL12B,HTR1B,MYO15A,AKR1B10,CACNA1F,EDAR,SPHK2,TCL1A,TFAP2B,FGFR3,PTPRJ,KCNN1,SCN10A,YPEL1,TENT5C,THRB,P2RY4,KRT15,KLHDC8A,WNT16,CALML5,CELSR2,CLDN16,PNMT,NR4A2,PROP1,TG,SOX10,GRID2,NRIP2,MAST3,CAMK1D,TENM2,ALOX12B,NGB,DLK2,SLC5A5,DCC,OXT,ATP6V1B1,CYP39A1,EDN1,FGGY,ADRA2C,CHST2,KCNQ2,ITIH3,IGFBP2,RYR2,SLC6A3,SLC16A7,FSHB,PAX4,LGALS7,SLC30A3,NOS1,TNNI3,NPHS1,CLDN8,TSHB,ACTC1,COPZ2,SSTR4,MAGIX,PAX3,KLK7,COL2A1,SERPINA10,CPEB3,BTG2,SKIL,EFHD1,PLAG1,GP2,PDK2,TEX15,CALCB,PDCD1,KCND1,MACROH2A2,SMPX,CD80,GTF3C5,RIBC2,THNSL2,SIDT1,SLC38A3,PDE6B,GP1BA,HNF1A,INSL5,MYH7,NUDT11,ABCG4,LYPD3,CHRNG,EDN2,EPHA5,FGF16,MEFV,ABCB11,CACNG1,MSH5,CD40LG,KRT13,ASB7,SLC12A3,SLC29A3,GPR3,COQ8A
HALLMARK_COAGULATION,h.all.v2023.2.Hs.symbols,PROS1,KLK8,F2RL2,TIMP1,MBL2,ANG,PRSS23,C1S,DUSP14,CRIP2,MAFF,WDR1,FURIN,MASP2,MMP2,CFI,MMP3,HNF4A,F8,RAPGEF3,HPN,ISCU,VWF,CAPN2,COMP,ITIH1,MEP1A,MMP7,GNG12,S100A13,SH2B2,PREP,HTRA1,CTSH,ARF4,CPQ,CSRP1,C8B,C8G,FGG,CLU,CTSE,CFB,LTA4H,C1R,SERPINB2,C8A,CASP9,LAMP2,SERPINC1,GDA,LRP1,F2,KLKB1,MMP9,SERPINA1,RABIF,C2,F12,F3,GP9,FYN,CTSV,HMGCS2,MST1,F10,ITGA2,CTSB,S100A1,TFPI2,MMP10,PECAM1,CD9,SERPINE1,HRG,APOC1,CPB2,LEFTY2,RGN,TF,APOC2,ACOX2,GNB2,A2M,PLEK,THBS1,C1QA,MMP8,MMP11,OLR1,DUSP6,USP11,CTSK,C3,DCT,TMPRSS6,BMP1,CAPN5,MSRB2,APOC3,CFH,MMP1,SPARC,ADAM9,GSN,THBD,CPN1,APOA1,PROZ,MMP14,PDGFB,PEF1,PLAU,KLF7,SERPING1,MMP15,P2RY1,ANXA1,CTSO,PLG,LGMN,GP1BA,F11,PLAT,F13B,DPP4,CFD,ITGB3,PF4,SIRT2,C9,TIMP3,FGA,RAC1,FBN1,F9,FN1,PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_MITOTIC_SPINDLE,h.all.v2023.2.Hs.symbols,SORBS2,ALS2,CSNK1D,TUBGCP3,NOTCH2,PCGF5,DST,RHOT2,TSC1,ATG4B,TUBGCP5,SOS1,OPHN1,GEMIN4,ABR,SMC3,CEP250,CEP72,KIF3C,LATS1,DOCK2,MARCKS,BIN1,CDC42BPA,CKAP5,PAFAH1B1,FGD4,NUSAP1,CCNB2,LMNB1,PKD2,ECT2,CDK1,YWHAE,RHOF,BRCA2,AURKA,RABGAP1,TLK1,CD2AP,VCL,ARHGEF3,DLG1,KIF11,RANBP9,CAPZB,CDC42EP4,FLNB,CENPF,HDAC6,SMC4,SSH2,CNTROB,KIFAP3,SAC3D1,ARHGAP10,NIN,KATNB1,DOCK4,RASA1,BCL2L11,TIAM1,KATNA1,ARL8A,SUN2,KLC1,ALMS1,TUBGCP6,PREX1,MAP3K11,MYO1E,RASA2,MAP1S,MARK4,ARHGAP4,KIF5B,NUMA1,FBXO5,CDC42EP2,CENPJ,KIF22,KIF2C,WASF2,SYNPO,APC,MYH9,ARHGAP27,ARHGEF2,CDK5RAP2,PRC1,PPP4R2,SASS6,ITSN1,RICTOR,MYO9B,MYH10,SPTBN1,SPTAN1,KIF23,UXT,PXN,ABL1,ACTN4,ARFIP2,CCDC88A,DYNC1H1,RAPGEF6,CLIP1,NDC80,TPX2,ARHGAP29,CTTN,TAOK2,SHROOM2,RAB3GAP1,SHROOM1,MID1,TOP2A,ARF6,ARHGDIA,KIF20B,TTK,FLNA,BCR,ARHGEF7,ARHGAP5,NEK2,MID1IP1,EZR,CDC42,ABI1,ARHGEF12,FGD6,EPB41,DYNLL2,RAPGEF5,KIF1B,PALLD,ROCK1,KNTC1,TBCD,WASL,RFC1,PDLIM5,KPTN,RACGAP1,INCENP,CNTRL,MAPRE1,SEPTIN9,CLASP1,PCNT,PLK1,WASF1,CDC27,KIF4A,GSN,BIRC5,CEP192,CEP57,PLEKHG2,NCK2,RASAL2,CYTH2,FSCN1,STK38L,LRPPRC,ARAP3,ARHGEF11,NEDD9,ANLN,RALBP1,TUBGCP2,FARP1,PCM1,NF1,NCK1,EPB41L2,CEP131,NET1,CLIP2,KIF15,LLGL1,PIF1,ARFGEF1,KIF3B,BUB1,ESPL1,HOOK3,AKAP13,TUBD1,BCAR1,STAU1,TRIO,SMC1A,TUBA4A,CENPE,CDC42EP1,DLGAP5,
HALLMARK_PANCREAS_BETA_CELLS,h.all.v2023.2.Hs.symbols,PCSK2,SPCS1,PKLR,PAX6,SST,SRP9,PDX1,CHGA,NKX6-1,NEUROD1,SCGN,FOXO1,PCSK1,INSM1,G6PC2,ABCC8,MAFB,AKT3,PAK3,IAPP,ISL1,SEC11A,SYT13,STXBP1,GCG,HNF1A,FOXA2,NKX2-2,INS,LMO2,DPP4,VDR,SRPRB,GCK,SLC2A2,ELP4,PAX4,DCX,NEUROG3,SRP14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_G2M_CHECKPOINT,h.all.v2023.2.Hs.symbols,CASP8AP2,CDC25B,SRSF2,SRSF1,CDC45,ODF2,NOTCH2,ILF3,DBF4,SLC7A1,TOP1,NOLC1,SMC2,STMN1,CCNF,H2AZ2,UCK2,SMARCC1,AURKB,STAG1,MTF2,NCL,SNRPD1,BUB3,CTCF,E2F1,G3BP1,RPA2,SLC38A1,SUV39H1,KMT5A,MARCKS,POLQ,TRAIP,PAFAH1B1,TNPO2,NUSAP1,WRN,EXO1,CCNB2,PRPF4B,LMNB1,CDK1,EGF,BRCA2,AURKA,FANCC,POLA2,SS18,CUL5,HMMR,HMGN2,KNL1,JPT1,PRIM2,BARD1,DR1,LIG3,KIF11,MYBL2,NSD2,TRA2B,UPF1,BCL3,CENPF,PTTG1,SMC4,CCND1,MT2A,CUL1,RAD54L,PRMT5,ATF5,KATNA1,ATRX,SAP30,SQLE,RPS6KA5,ARID4A,MKI67,E2F2,RBL1,RBM14,SLC12A2,MCM2,MYC,E2F4,ORC5,NASP,KIF5B,GSPT1,NUMA1,FBXO5,DKC1,KIF2C,KIF22,DTYMK,TACC3,CCNT1,TLE3,ODC1,PRC1,TFDP1,EWSR1,CDKN2C,CKS2,KPNB1,RAD21,H2BC12,KIF23,ABL1,LBR,DDX39A,TROAP,MCM6,EZH2,NDC80,TPX2,SLC7A5,CDC25A,SYNCRIP,CKS1B,H2AX,CCNA2,RAD23B,HIRA,POLE,TOP2A,KIF20B,CUL3,CHEK1,AMD1,XPO1,TTK,PBK,E2F3,NEK2,HUS1,CDKN3,MCM3,MEIS1,CDK4,NUP98,CENPA,EFNA5,UBE2C,UBE2S,HMGB3,SRSF10,RACGAP1,CDC7,INCENP,SFPQ,PLK1,CHAF1A,TGFB1,DMD,CDC27,MAP3K20,KIF4A,HMGA1,MAPK14,PLK4,BIRC5,CDC6,H2AZ1,MAD2L1,HNRNPU,HNRNPD,MCM5,RASAL2,NUP50,TMPO,YTHDC1,TENT4A,GINS2,CDKN1B,CDC20,KPNA2,MNAT1,SMAD3,KIF15,CHMP1A,PDS5B,CBX1,BUB1,FOXN3,ESPL1,HIF1A,HOXC10,PML,SMC1A,CUL4A,PURA,STIL,CENPE,HSPA8,MEIS2,PTTG3P,ORC6
HALLMARK_ESTROGEN_RESPONSE_LATE,h.all.v2023.2.Hs.symbols,HSPB8,GLA,SNX10,PRSS23,MOCS2,HSPA4L,TPBG,MAPT,SLC24A3,ADD3,MYOF,IL17RB,TOB1,FDFT1,GPER1,HR,BTG3,ATP2B4,KCNK5,BLVRB,ELOVL5,CLIC3,NCOR2,AMFR,CXCL14,FKBP5,SULT2B1,ITPK1,PLAC1,TMPRSS3,EGR3,LSR,XRCC3,METTL3,PGR,TFAP2C,ASCL1,FLNB,CYP4F11,CDH1,PERP,NBL1,TSPAN13,CCND1,CXCL12,PAPSS2,NRIP1,PDLIM3,EEIG1,SIAH2,FOS,PTPN6,TIAM1,IL6ST,FRK,SCUBE2,SGK1,MDK,OPN3,SEMA3B,GFUS,CHST8,ZFP36,KLF4,SLC27A2,RAB31,SLC1A4,CKB,SERPINA1,PKP3,PLAAT3,CYP26B1,PRKAR2B,SOX3,EMP2,DHCR7,SCNN1A,TFF1,PPIF,CCNA1,BCL2,TJP3,ST6GALNAC2,AGR2,HMGCS2,AREG,JAK1,RNASEH2A,OVOL2,BAG1,FGFR3,RET,TST,PTGES,OLFM1,RABEP1,LARGE1,SLC7A5,TFPI2,CD9,IMPA2,SLC29A1,CELSR2,TOP2A,PRLR,HPRT1,NPY1R,HOMER2,RPS6KA2,DNAJC12,CCN5,XBP1,ALDH3A2,ACOX2,ARL3,DNAJC1,RAPGEFL1,SLC26A2,NXT1,SORD,FABP5,TNNC1,AFF1,NMU,FOXC1,GALE,LAMC2,IGFBP4,NHERF1,PCP4,ST14,S100A9,TPD52L1,UGDH,COX6C,GAL,CAV1,CACNA2D2,DUSP2,SLC22A5,SERPINA5,CA12,TH,DLG5,PDCD4,SLC16A1,ANXA9,CISH,ASS1,WFS1,PLK4,ISG20,CDC6,RBBP8,TRIM29,SFN,SCARB1,CPE,CA2,MAPK13,SLC2A8,SERPINA3,JAK2,GINS2,CD44,IDH2,FARP1,DHRS2,DYNLT3,KLK11,MYB,PDZK1,PTGER3,ABCA3,BATF,TPSAB1,CDC20,CHPT1,IGSF1,DCXR,MICB,GJB3,KRT19,LTF,FKBP4,ABHD2,CALCR,ID2,ALDH3B1,ETFB,KIF20A,KRT13,LLGL2,MEST,NAB2,TFF3,STIL,KLK10,PLXNB1,UNC13B
HALLMARK_SPERMATOGENESIS,h.all.v2023.2.Hs.symbols,CRISP2,CCT6B,DBF4,TUBA3C,HSPA4L,CNIH2,COIL,ADAM2,DDX4,AGFG1,RAD17,H1-6,ALOX15,PGK2,SYCP1,SPATA6,GAD1,ACRBP,THEG,RFC4,TEKT2,CCNB2,NPY5R,PEBP1,CDK1,CLGN,PIAS2,DMRT1,AURKA,GRM8,PRKAR2A,ARL4A,PSMG1,TCP11,PCSK4,ZC2HC1C,ELOVL3,NEFH,DNAJB8,GPR182,STAM2,TULP2,MEP1B,YBX2,TKTL1,BRAF,IDE,SLC12A2,DDX25,MAST2,SCG3,IL13RA2,TOPBP1,KIF2C,PRM2,IL12RB2,TSN,IFT88,ART3,GMCL1,TLE4,TSSK2,CAMK4,CCNA1,HBZ,GFI1,HTR5A,PACRG,PARP2,NF2,EZH2,PDHA2,TALDO1,NPHP1,NCAPH,ADAD1,STRBP,ACRV1,CFTR,RPL39L,TTK,GAPDHS,PHKG2,HSPA1L,LDHC,GSG1,NEK2,SLC2A5,CDKN3,AKAP4,DCC,CSNK2A2,ACE,ZNRF4,CHFR,PGS1,PCSK1N,LPIN1,NOS1,SHE,TNNI3,PAPOLB,CHRM4,GSTM3,JAM3,HSPA2,ADCYAP1,ACTL7B,TNP1,ZPBP,IP6K1,SCG5,VDAC3,CLPB,NAA11,SIRT1,MAP7,MTOR,DPEP3,MLF1,ODF1,TNP2,OAZ3,HOXB1,BUB1,MLLT10,ZC3H14,CST8,PHF7,POMC,DMC1,MTNR1A,SNAP91,CLVS1,SEPTIN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,h.all.v2023.2.Hs.symbols,SLC16A6,CCL2,TNFAIP8,IRS2,PER1,PTGER4,G0S2,FOSL2,MCL1,LDLR,RIGI,SQSTM1,EGR2,MAFF,MSC,CSF1,CLCF1,CCL20,JUNB,PANX1,BIRC3,BTG3,PFKFB3,SNN,TNFSF9,MARCKS,PDE4B,CFLAR,NFAT5,TNFAIP6,CXCL1,CSF2,FOSB,GPR183,TNIP2,ZBTB10,NINJ1,DUSP4,RELA,REL,TNF,LIF,EGR3,ABCA1,SLC2A6,TLR2,PTX3,GFPT2,PLPP3,BCL3,MXD1,HES1,STAT5A,CCND1,IL1A,SOCS3,ICAM1,MAP2K3,CCNL1,FOS,IL6ST,KLF9,NFKBIE,SERPINB2,BTG1,PTPRE,SGK1,DRAM1,EIF1,SOD2,ACKR3,MYC,EFNA1,IER5,F2RL1,LITAF,DNAJB4,NAMPT,KLF4,ZFP36,FOSL1,TNFAIP2,TSC22D1,SIK1,KDM6B,PTGS2,FJX1,B4GALT1,IL23A,LAMB3,TANK,F3,TNIP1,RNF19B,SLC2A3,IL12B,SAT1,TNFRSF9,PMEPA1,CDKN1A,KLF6,AREG,CCN1,DUSP1,PNRC1,IFIH1,SDC4,BIRC2,ATF3,ETS2,DENND5A,GCH1,IFIT2,SERPINE1,SPHK1,NR4A2,INHBA,IL18,YRDC,ATP2B1,PHLDA2,FUT4,TNC,TGIF1,VEGFA,BCL6,PLEK,EDN1,PPP1R15A,NR4A3,OLR1,NR4A1,NFKB2,PDLIM5,TIPARP,RHOB,CXCL11,BCL2A1,DUSP2,PLAUR,TUBB2A,NFKB1,RELB,EHD1,CD83,GEM,IRF1,TRIP10,GADD45A,BMP2,B4GALT5,SPSB1,IL1B,JAG1,JUN,PHLDA1,TAP1,CXCL2,SERPINB8,PLAU,BTG2,IL15RA,RIPK2,ZC3H12A,CXCL3,DUSP5,CEBPD,EGR1,IL6,CD44,MAP3K8,CD80,NFE2L2,TNFAIP3,RCAN1,CCRL2,KLF2,IFNGR2,KYNU,GADD45B,CXCL6,HBEGF,SMAD3,CCL4,ICOSLG,CD69,CCL5,IL7R,ID2,IER2,BHLHE40,NFIL3,PLK2,CXCL10,NFKBIA,KLF10,CEBPB,TRIB1,IER3,TRAF1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,h.all.v2023.2.Hs.symbols,COL16A1,COL5A3,NOTCH2,DST,IL32,TIMP1,MYL9,MCM7,PVR,PRRX1,FERMT2,FSTL3,TAGLN,DCN,EFEMP2,LOX,SFRP4,MMP2,FZD8,MMP3,EMP3,ELN,CXCL1,COL3A1,SFRP1,CALU,FUCA1,LOXL2,COL5A2,CDH6,COL6A2,ACTA2,ITGA5,COMP,VCAN,LAMA1,PLOD3,MATN2,PTX3,ANPEP,PMP22,TGFBI,CDH11,SERPINE2,MFAP5,ITGB5,HTRA1,CXCL12,SPOCK1,CDH2,GAS1,RGS4,FOXC2,TPM2,PPIB,LGALS1,COLGALT1,VEGFC,GREM1,NID2,PDGFRB,ITGB1,LOXL1,SERPINH1,CAPG,LRP1,SPP1,FGF2,SGCD,OXTR,COL5A1,NTM,VCAM1,COL4A1,PLOD1,TNFRSF12A,TNFRSF11B,BGN,GPX7,SGCG,SLC6A8,FMOD,SAT1,COPA,PMEPA1,TPM4,ECM2,PDLIM4,COL7A1,AREG,MATN3,THY1,CADM1,MGP,ITGA2,CCN1,LUM,LAMA3,FSTL1,TFPI2,MXRA5,PTHLH,SDC4,DKK1,SERPINE1,WNT5A,IL15,LAMA2,INHBA,CAP2,FLNA,PLOD2,FBLN5,MAGEE1,FBLN1,TNC,FBN2,COL6A3,VEGFA,IGFBP3,PCOLCE,THBS1,FBLN2,VIM,QSOX1,SDC1,IGFBP2,CTHRC1,TPM1,DPYSL3,LRRC15,LAMC2,LAMC1,IGFBP4,SLIT3,ABI3BP,BASP1,ECM1,RHOB,SNTB1,PFN2,FAS,PLAUR,BMP1,WIPF1,SGCB,MMP1,EDIL3,FAP,SPARC,TGFB1,GEM,ADAM12,GADD45A,MYLK,PCOLCE2,PRSS2,JUN,GPC1,MMP14,SCG2,GLIPR1,MSX1,SLIT2,NT5E,CD59,COL11A1,SNAI2,IL6,CD44,COL4A2,TNFAIP3,COL8A2,CALD1,ENO2,COL1A2,GADD45B,CCN2,POSTN,TGFBR3,CXCL6,ITGAV,BDNF,P3H1,ITGB3,TIMP3,APLP1,ID2,CXCL8,THBS2,MEST,FBN1,COL1A1,COL12A1,FN1,NNMT,TGM2,DAB2,CRLF1,GJA1
