PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,36,326,19938,36/1158,326/19938,0.11042944785276074,1.9013318923042692,4.074449938404647,0.00016635757250978465,0.0003381398484709753,PYY/NMU/EDN2/GHSR/CXCL9/MC5R/GAL/CCL20/HTR1E/TRH/GPR37L1/PLPPR5/PRLH/HTR2C/CXCL13/NTSR1/CCL11/CCL7/NPBWR1/CCKBR/HTR1A/OPRD1/NPW/HTR1D/SSTR2/CXCL11/TACR3/RXFP3/CXCL10/SSTR5/CHGA/KISS1/KISS1R/UTS2/GPHA2/CCR8,Upregulated,Reactome_2022
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,15,46,19938,15/1158,46/19938,0.32608695652173914,5.614440189231809,7.780277761843397,2.455028476283588e-08,9.767879256702786e-08,H2AC19/H2BC13/H2AC14/H2BC12/H2BC5/H2BC11/H2AC4/H2BC3/H2BC17/H4C15/H2BC14/H2AC20/H2AC7/H2BC9/H2BC4,Upregulated,Reactome_2022
Activation Of HOX Genes During Differentiation R-HSA-5619507,20,89,19938,20/1158,89/19938,0.2247191011235955,3.8691273214181754,6.736152315260586,1.3819365921166274e-07,4.785595235663136e-07,H2AC19/HOXB1/H2AC4/H2BC17/H4C15/H2AC7/H2BC4/H2AC14/H3C7/H2BC9/EZH2/H2BC13/H2BC14/H2AC20/H2BC12/H2BC5/H2BC11/H3C13/H2BC3/PAX6,Upregulated,Reactome_2022
RNA Polymerase I Transcription R-HSA-73864,17,77,19938,17/1158,77/19938,0.22077922077922077,3.8012919722764282,6.115607065725734,1.542971963143528e-06,4.306503837430444e-06,H2AC19/H2BC13/H2BC4/H2BC12/H2AC14/H2BC5/H2BC11/H2AC4/H2BC3/H3C13/H2BC17/H4C15/H2AC20/H3C7/H2AC7/H2BC9/H2BC14,Upregulated,Reactome_2022
Pre-NOTCH Expression And Processing R-HSA-1912422,18,76,19938,18/1158,76/19938,0.23684210526315788,4.077856558494682,6.675442716595808,2.496293711634015e-07,8.124043391100425e-07,H2AC19/E2F1/H2BC13/H2BC4/H2BC12/H2AC14/H2BC5/H2BC11/H2AC4/H2BC3/H3C13/H2BC17/H4C15/H2AC20/H3C7/H2AC7/H2BC9/H2BC14,Upregulated,Reactome_2022
DNA Double Strand Break Response R-HSA-5693606,12,59,19938,12/1158,59/19938,0.2033898305084746,3.501888118029332,4.778955798882454,0.00012276381081158372,0.000255075918019624,ARTN/H2BC13/H2BC12/H2BC5/KPNA2/H2BC11/H2BC3/H2BC17/H4C15/H2BC14/H2BC9/H2BC4,Upregulated,Reactome_2022
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,10,75,19938,10/1158,75/19938,0.13333333333333333,2.2956822107081174,2.7915351239485524,0.011205796017072498,0.017462365459937977,UBE2S/NEK2/CCNB1/CDC20/PTTG1/MAD2L1/BUB1B/UBE2C/CCNA2/CDK1,Upregulated,Reactome_2022
RHO GTPase Effectors R-HSA-195258,49,267,19938,49/1158,267/19938,0.18352059925093633,3.15978731249151,8.822461813501926,5.716239766577735e-13,9.71760760318215e-12,H2AC19/ZWINT/CDCA8/PLK1/CDC20/SKA1/H2AC4/CENPE/BUB1B/KIF18A/H4C15/H2BC17/SGO1/CDC25C/H2AC7/H2BC4/SPC24/H2AC14/IQGAP3/CENPM/NUF2/H3C7/H2BC9/S100A8/KNL1/H2BC13/MAD2L1/NDC80/H2AC20/CENPI/AURKB/BIRC5/ERCC6L/SPC25/S100A9/KIF14/KIF2C/H2BC12/RHPN1/CENPA/H2BC5/CENPU/BUB1/H3C13/H2BC3/H2BC11/DIAPH3/CENPF/H2BC14,Upregulated,Reactome_2022
Signaling By NOTCH R-HSA-157118,21,200,19938,21/1158,200/19938,0.105,1.8078497409326424,2.8512178792858762,0.006336875869838084,0.010304311197041059,H2AC19/H2AC4/H2BC17/H4C15/H2AC7/H2BC4/H2AC14/H3C7/H2BC9/H2BC13/DLGAP5/NEURL1/H2AC20/E2F1/H2BC12/H2BC5/TACC3/H3C13/H2BC11/H2BC3/H2BC14,Upregulated,Reactome_2022
Base Excision Repair R-HSA-73884,16,70,19938,16/1158,70/19938,0.22857142857142856,3.935455218356773,6.109192274971386,1.9131925743567285e-06,5.261279579481003e-06,H2AC19/H2BC13/H2AC14/H2BC12/H2BC5/H2BC11/H2AC4/H2BC3/H2BC17/H4C15/H2BC14/H2AC20/H2AC7/H2BC9/H2BC4/NEIL3,Upregulated,Reactome_2022
Cardiac Conduction R-HSA-5576891,15,126,19938,15/1158,126/19938,0.11904761904761904,2.049716259560819,2.935144097684114,0.00640160432486772,0.010319827661640205,SLC8A2/KCNK16/ATP1A3/KCNK9/SCN1A/NKX2-5/KCNE4/MMP12/CACNG4/KCNK15/KCNJ4/KCNH2/TNNI3/GATA4/CACNG6,Upregulated,Reactome_2022
