PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
HALLMARK_E2F_TARGETS,32,200,19938,32/713,200/19938,0.16,4.474165497896213,9.509450532634501,1.0549592309113284e-12,1.0901245386083727e-11,SRSF2/EZH2/HMGA1/CHEK2/POLD1/STAG1/NBN/MSH2/POLE/CTCF/MYC/XPO1/CDKN2A/PPM1D/BRCA1/CDKN1B/PSIP1/TP53/CDK4/EED/MLH1/BRCA2/CCNE1/CDKN2C/BUB1B/RAD21/BARD1/SMC1A/CDKN1A/DEK/PMS2/TFRC,General,h.all.v2023.2.Hs.symbols
HALLMARK_TNFA_SIGNALING_VIA_NFKB,24,199,19938,24/713,199/19938,0.12060301507537688,3.372486556203176,6.47752682178552,2.0256950280272313e-07,6.279654586884417e-07,CCND1/JUN/PER1/SDC4/NFKBIE/IL6ST/BTG1/SGK1/ACKR3/MYC/NFE2L2/BIRC3/TNFAIP3/TNC/KLF4/SMAD3/BCL6/NR4A3/IL7R/REL/NFKB2/BCL3/CDKN1A/KLF6,General,h.all.v2023.2.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,18,200,19938,18/713,200/19938,0.09,2.51671809256662,4.151545365915353,0.0003169898806061683,0.0004913343149395608,FSTL3/COL3A1/NOTCH2/ITGAV/FBLN2/FAS/JUN/COL1A1/SFRP4/PDGFRB/FLNA/TPM4/PRRX1/SDC4/CDH11/TNFAIP3/TNC/ELN,General,h.all.v2023.2.Hs.symbols
HALLMARK_HYPOXIA,21,200,19938,21/713,200/19938,0.105,2.9361711079943897,5.299667901640884,1.0590266424829901e-05,2.0518641198107934e-05,JUN/PIM1/SDC4/PDGFB/BTG1/EGFR/NDRG1/ACKR3/CDKN1B/TNFAIP3/DDIT3/EXT1/MYH9/GPC3/MAP3K1/VHL/BCL2/FOXO3/CDKN1A/KLF6/CXCR4,General,h.all.v2023.2.Hs.symbols
HALLMARK_UV_RESPONSE_DN,22,144,19938,22/713,144/19938,0.1527777777777778,4.2722066386161766,7.589211910129288,8.941879875992858e-09,3.95997537365398e-08,SPOP/PPARG/MET/NOTCH2/ATRX/PRDM2/PTEN/MYC/TGFBR2/AKT3/PDGFRB/BMPR1A/CDKN1B/COL3A1/RUNX1/SMAD3/MGMT/NFIB/KIT/ERBB2/ACVR2A/COL1A1,General,h.all.v2023.2.Hs.symbols
HALLMARK_KRAS_SIGNALING_DN,15,200,19938,15/713,200/19938,0.075,2.09726507713885,3.003422830189821,0.005652972175126763,0.006258647765318916,IRS4/SGK1/FGFR3/PLAG1/KMT2D/DCC/BARD1/PAX3/HNF1A/TENT5C/COL2A1/CPEB3/ZBTB16/TCL1A/TLX1,General,h.all.v2023.2.Hs.symbols
HALLMARK_IL6_JAK_STAT3_SIGNALING,11,87,19938,11/713,87/19938,0.12643678160919541,3.5356192871306287,4.564508007691876,0.0002677503464242982,0.0004368558283764865,PTPN11/CSF3R/FAS/JUN/STAT3/MYD88/PIM1/CBL/IL6ST/SOCS1/CRLF2,General,h.all.v2023.2.Hs.symbols
HALLMARK_KRAS_SIGNALING_UP,23,200,19938,23/713,200/19938,0.115,3.2158064516129037,6.065082925457905,8.467086303614542e-07,2.1873306284337566e-06,NIN/PRDM1/ETV4/PRRX1/HOXD11/CCND2/MAFB/BIRC3/TNFAIP3/ETV5/STRN/KLF4/FLT4/LCP1/PDCD1LG2/IKZF1/CBL/MAP3K1/IL7R/MYCN/ETV1/AKT2/CXCR4,General,h.all.v2023.2.Hs.symbols
HALLMARK_MITOTIC_SPINDLE,24,199,19938,24/713,199/19938,0.12060301507537688,3.372486556203176,6.47752682178552,2.0256950280272313e-07,6.279654586884417e-07,NIN/NOTCH2/CLIP1/TSC1/FLNA/PCM1/LATS1/KIF5B/NF1/NUMA1/BCR/ARHGAP5/EZR/ABI1/ARHGEF12/APC/MYH9/YWHAE/BRCA2/HOOK3/SMC1A/CNTRL/ABL1/SEPTIN9,General,h.all.v2023.2.Hs.symbols
HALLMARK_ANDROGEN_RESPONSE,15,100,19938,15/713,100/19938,0.15,4.1945301542777,6.16736347040952,2.601408600517277e-06,6.203358970464276e-06,CCND1/SGK1/CDK6/CCND3/B2M/ELK4/NDRG1/MAF/TMPRSS2/ITGAV/NCOA4/KLK2/ACSL3/AKT1/LIFR,General,h.all.v2023.2.Hs.symbols
