PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
RAF/MAP Kinase Cascade R-HSA-5673001,34,270,19938,34/713,270/19938,0.1259259259259259,3.521333956677575,8.032923854263192,1.8807072085686283e-10,7.522828834274513e-10,FGFR2/ERBB2/PIK3R1/PDGFB/NRAS/JAK1/PPP2R1A/FLT3/BRAF/FGFR1/ERBB3/PIK3CA/PDGFRA/ERBB4/NRG1/FGFR3/SRC/MAPK1/RET/EGFR/PDGFRB/JAK2/MAP2K2/MAP2K1/NF1/KIT/RALGDS/HRAS/ARAF/JAK3/CUL3/FGFR4/IL2/PIK3CB,General,Reactome_2022
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,11,24,19938,11/713,24/19938,0.4583333333333333,12.816619915848527,11.154783128981117,1.8500175070958587e-10,7.51219230154076e-10,CREB1/AKT3/FOXO3/MAPK1/EGFR/XPO1/CCND1/BCL2/AKT2/CDKN1B/AKT1,General,Reactome_2022
Pre-NOTCH Expression And Processing R-HSA-1912422,11,76,19938,11/713,76/19938,0.14473684210526316,4.0473536576363776,5.125776448059376,7.810723343669172e-05,0.0001095954898483423,ELF3/RUNX1/EP300/MAML2/H3-3B/NOTCH2/JUN/CCND1/NOTCH1/TP53/CREBBP,General,Reactome_2022
Mitotic G1 Phase And G1/S Transition R-HSA-453279,22,147,19938,22/713,147/19938,0.14965986394557823,4.1850187480321726,7.464114384434316,1.3195425601061198e-08,3.72249901166779e-08,CDK6/CCNE1/PPP2R1A/AKT2/CDKN1B/CDKN1A/AKT3/SRC/CCND3/CDKN2C/JAK2/CCND1/CDK4/RB1/CCND2/MYC/CDKN2A/POLE/ABL1/PTK6/AKT1/MAX,General,Reactome_2022
Signaling By ERBB2 In Cancer R-HSA-1227990,11,25,19938,11/713,25/19938,0.44,12.303955119214587,10.891145928742867,3.1971885138220857e-10,1.1900646134782208e-09,ERBB3/PIK3CA/PIK3R1/ERBB2/EGFR/HSP90AA1/HRAS/NRAS/ERBB4/PLCG1/NRG1,General,Reactome_2022
Interferon Gamma Signaling R-HSA-877300,11,87,19938,11/713,87/19938,0.12643678160919541,3.5356192871306287,4.564508007691876,0.0002677503464242982,0.00035175045510643096,PTPN11/HLA-A/B2M/CIITA/JAK2/SOCS1/JAK1/PTPN6/BCL11B/PML/IRF4,General,Reactome_2022
Signaling By PDGF R-HSA-186797,14,52,19938,14/713,52/19938,0.2692307692307692,7.528643866652282,9.078047026520718,2.4737291231589305e-09,8.184684012427079e-09,PTPN11/STAT3/PDGFRA/PIK3R1/PIK3CA/PDGFB/PDGFRB/HRAS/NRAS/PLCG1/STAT5B/SRC/STAT6/PIK3CB,General,Reactome_2022
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,10,74,19938,10/713,74/19938,0.13513513513513514,3.778855994844775,4.612007906843221,0.0002920511944807984,0.0003818035127846535,CREB1/MAPK1/GRIN2A/HRAS/NRAS/ERBB4/PRKAR1A/NRG1/SRC/NBEA,General,Reactome_2022
Signal Transduction R-HSA-162582,240,2457,19938,240/713,2457/19938,0.09768009768009768,2.7314807679464064,17.651377743096326,5.4124501375725236e-52,4.835122122898122e-50,FLT4/TNFAIP3/SUZ12/ERBB2/MAML2/PDGFB/ETV4/SOCS1/TFRC/TSC1/LATS1/DNM2/CASP3/PPP2R1A/CDKN1B/SMAD3/RGS7/STAT3/AKT3/ZNRF3/KTN1/PIK3CA/SMC1A/ARHGAP5/CLTC/PLCG1/PPARG/PRKCB/ABL2/CHD4/ELF3/BAX/KNL1/HSP90AB1/EZH2/WAS/EGFR/RET/SH3GL1/TCF12/STRN/MAP2K1/BIRC3/SYK/RUNX1/NCOA1/NF1/EPS15/ABL1/RALGDS/KMT2D/ALK/XPO1/PRKAR1A/CCR7/CUL3/TRIM33/IKZF1/BTK/TP53/PIK3CB/AXIN1/FOXO3/EP300/PTPN13/MYB/HEY1/CCNC/MYCN/CBL/WWTR1/SPOP/NOTCH2/YWHAE/TCF7L2/JUN/SALL4/BUB1B/AKT2/FLT3/TGFBR2/RAD21/FLNA/USP8/NUP98/ARHGEF12/FNBP1/ESR1/MSI2/ITGAV/TRIM27/GNAQ/HIF1A/ERBB4/LYL1/NTRK1/ARHGEF10/GLI1/MTOR/CBFB/MYD88/CCND3/GOPC/MYH11/JAK2/CASP8/TEC/CCND1/CDK4/PTPN6/WIF1/PTEN/GNAS/PML/NBEA/CREB1/BMPR1A/IRS4/FOXO4/PICALM/HRAS/STK11/ACKR3/RSPO2/MYH9/PRDM1/RANBP2/JAK3/CYLD/TPM4/SH2B3/PTPN11/ABI1/FGFR2/NRAS/AMER1/DNAJB1/RNF43/CDC73/MECOM/NTRK3/BCL11B/ID3/NCKIPSD/STAT6/MRTFA/TPM3/RAP1GDS1/MEN1/TRRAP/CXCR4/ERBB3/TSC2/PDGFRA/CTNNB1/BCL9L/BCL2/EED/SUFU/IKBKB/SRC/TBL1XR1/VHL/GNA11/PTPRK/DDX5/PDGFRB/MAP2K2/KLK2/GATA3/NCOA2/NOTCH1/GPC5/KDR/RSPO3/GRM3/NCOR2/ARAF/PTK6/ARHGEF10L/AKT1/FOXA1/FGFR4/IL6ST/TERT/CLIP1/CREBBP/CCNE1/CD28/MDM2/PIK3R1/RHOH/SMARCA4/LEF1/JAK1/SGK1/CYSLTR2/CDKN1A/BRAF/FGFR1/SOX2/PREX2/VAV1/TSHR/CD274/NAB2/RBM15/RHOA/PBX1/LATS2/NCOR1/NRG1/STAT5B/FGFR3/FSTL3/MAPK1/KIF5B/H3-3B/HOXC13/AXIN2/PTCH1/MYC/ACVR2A/SKI/EPAS1/FBXW7/BCL9/STAG2/SMAD2/FOXO1/KIT/HSP90AA1/LCK/FES/RARA/SMAD4/ARHGAP26/CASP9/NF2/IL2,General,Reactome_2022
Apoptosis R-HSA-109581,18,178,19938,18/713,178/19938,0.10112359550561797,2.8277731377153033,4.71715684224692,7.291977892003928e-05,0.00010339947487074353,BAX/STAT3/CDKN2A/AKT3/MAPK1/CTNNB1/TP63/YWHAE/LMNA/CASP8/MED12/CASP9/DCC/CASP3/BCL2/AKT2/AKT1/TP53,General,Reactome_2022
Chromosome Maintenance R-HSA-73886,12,116,19938,12/713,116/19938,0.10344827586206896,2.8927794167432412,3.9372841483903183,0.0009181272533886303,0.0011235529858819769,KNL1/PPP6C/POT1/NPM1/BLM/POLD1/DAXX/H3-3B/WRN/ATRX/FEN1/TERT,General,Reactome_2022
Membrane Trafficking R-HSA-199991,32,596,19938,32/713,596/19938,0.053691275167785234,1.5013978180859777,2.3932957811102074,0.0150294215944935,0.016995295305165647,HIP1/CUX1/CBL/YWHAE/TFRC/TSC1/ANK1/DNM2/AKT2/TFG/AKT3/PPP6C/TSC2/FNBP1/DCTN1/CLTC/VTI1A/SRC/KIF5B/EGFR/SH3GL1/ASPSCR1/RABEP1/EPS15/CLTCL1/PICALM/MYH9/IL7R/AKT1/TRIP11/MYO5A/PAFAH1B2,General,Reactome_2022
Transcriptional Regulation By RUNX3 R-HSA-8878159,22,94,19938,22/713,94/19938,0.23404255319148937,6.544656978305632,10.37684898140246,1.5203889145926924e-12,9.475912304903292e-12,FOXO3/EP300/MDM2/MAML2/WWTR1/NRAS/LEF1/TCF7L2/CDKN1A/SMAD3/CTNNB1/SRC/CBFB/CCND1/NOTCH1/MYC/RUNX1/CDKN2A/ZFHX3/SMAD4/TP53/CREBBP,General,Reactome_2022
FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,10,17,19938,10/713,17/19938,0.5882352941176471,16.44913785991255,12.271979939509555,4.981729640699664e-11,2.342286918785105e-10,FOXO3/SMAD2/FOXO4/FOXO1/SMAD3/KLF4/SMAD4/CDKN1B/CDKN1A/BTG1,General,Reactome_2022
