PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
RAF/MAP Kinase Cascade R-HSA-5673001,28,270,19938,28/991,270/19938,0.1037037037037037,2.086422244646261,4.110521609219057,0.00019805021560780642,0.0003848900416529068,FGFR2/ERBB2/KBTBD7/SPRED2/PTPRA/ARL2/PEBP1/NEFL/MAP3K11/PIK3CA/ERBB4/RAP1A/NRG1/KL/PTK2/KITLG/EGFR/PAQR3/JAK2/PPP2R1B/BCL2L1/DAB2IP/NF1/RASAL2/PHB1/DUSP4/USP17L2/KSR1,Tumor_suppressor,Reactome_2022
Pre-NOTCH Expression And Processing R-HSA-1912422,12,76,19938,12/991,76/19938,0.15789473684210525,3.1766955228636675,4.347999600042627,0.0003485062826155824,0.0006297569668316665,RUNX1/AGO2/E2F1/EP300/NOTCH3/NOTCH2/JUN/CCND1/H2BC21/NOTCH1/TP53/SEL1L,Tumor_suppressor,Reactome_2022
DNA Double Strand Break Response R-HSA-5693606,12,59,19938,12/991,59/19938,0.2033898305084746,4.092014571824386,5.439597619455738,2.7330076125870884e-05,6.865848392596831e-05,TP53BP1/BRCA1/ABL1/KDM4B/CHEK2/MAPK8/ATM/H2BC21/BARD1/MDC1/KDM4A/TP53,Tumor_suppressor,Reactome_2022
Mitotic G1 Phase And G1/S Transition R-HSA-453279,22,147,19938,22/991,147/19938,0.14965986394557823,3.011017525072592,5.596766101574922,3.619056432225855e-06,1.1127248134903375e-05,CCNB1/CDKN2B/DYRK1A/AKT2/CDKN1B/CDKN1A/CDK1/AKT3/CDK2/RBL2/CDKN1C/JAK2/PPP2R1B/CCND1/RB1/CCND2/MYC/CDKN2A/E2F1/ABL1/SKP2/AKT1,Tumor_suppressor,Reactome_2022
Interferon Gamma Signaling R-HSA-877300,24,87,19938,24/991,87/19938,0.27586206896551724,5.5500887296008905,9.727131822695506,3.3632361026719484e-12,3.464133185752107e-11,STAT1/PTPN2/SOCS1/TRIM3/TRIM62/IRF5/TRIM35/TRIM31/OAS1/IRF1/CD44/IFI30/PRKCD/TRIM25/JAK2/PTPN1/PTPN6/GBP2/PML/IRF6/TRIM21/TRIM29/IRF8/SOCS3,Tumor_suppressor,Reactome_2022
Signal Transduction R-HSA-162582,270,2457,19938,270/991,2457/19938,0.10989010989010989,2.2108869939344205,14.659513590174596,4.826210443099377e-39,9.941993512784718e-37,CBY1/ZWINT/NISCH/ERBB2/SPRED2/SOCS1/KDM3A/IFT88/LATS1/CASP3/CCL27/CDKN1B/SMAD3/PTPN12/CAV1/STAT3/AKT3/HDAC9/PMEPA1/DACT1/NEFL/RSPO1/PIK3CA/DRD2/ITPR1/PPARG/PTPRJ/SERPINE1/PRKCD/EZH2/DLC1/SOX17/EGFR/CXCL16/PKN2/IL1RL1/ACVR1C/SCRIB/BIRC3/SYK/RUNX1/OPRM1/WNT16/NF1/NR3C1/SPRY2/DSG2/ABL1/USF2/BASP1/TRIM33/IQGAP2/USP15/STK4/TP53/AXIN1/FOXO3/EP300/YY1/PTPN13/MYB/MYCN/KBTBD7/CBL/CDON/SPOP/NOTCH2/JUN/FZD4/SOX6/EGR1/WWP1/AKT2/PRR5/CCR5/LRIG1/USP4/ESR1/USP7/DKK1/MSI2/ARHGEF12/GNG2/DAGLA/CHRDL1/HIF1A/ERBB4/MTOR/MTA3/CBFB/RHOB/MYD88/ARHGDIA/KDM4A/FRK/SFRP1/THBS1/ITGB3BP/KITLG/NLK/WNT5A/GDF2/CASP8/JAK2/MCAM/CTBP1/PTPN1/CCND1/H2BC21/WIF1/PTPN6/PTEN/DAB2IP/PML/TAC1/PTGDR/E2F1/LGR6/PHLPP1/SNAI2/CASR/ITGA5/NOTCH3/FOXO6/STK11/TJP1/KISS1/CYLD/KDM1A/MAPK8/ITGA8/STAT1/DDRGK1/FGFR2/PPP3CB/CXCL8/SCUBE2/KDM4B/CDKN2B/PTPRA/CCL22/CFTR/SPARC/SYVN1/CBX6/WWC1/ARL4C/DKK2/STAT6/MEN1/CDK1/STAT5A/AGO2/CXCR4/GJA1/MAP3K11/ITCH/EDN3/APOE/RAP1A/DLG5/BCL2/CTNNBIP1/USP13/WWOX/KL/AMOT/TNKS2/VHL/CHEK1/PTPRK/FZD7/PAQR3/YWHAG/BCL2L11/RUNX3/ARHGAP15/PPP2R1B/SPRY1/LPAR6/GATA3/PTPN18/GRM4/BCL2L1/ITGB1/NEDD4L/NOTCH1/GPC5/YAP1/RNF20/LGR4/FZD2/RBMX/RASAL2/DUSP4/USP17L2/BUB1/SMPD3/SPINT2/CBX4/AKT1/KSR1/FOXA1/WNT5B/IL6ST/CUL5/PTPN2/CLIP1/STARD13/ARPC5/SMARCA4/PLK1/RHOBTB2/USP9X/LEF1/OTUD3/ARL2/DNM3/PEBP1/CDKN1A/PPM1A/DOK1/LRP6/SOX2/NR4A1/CXCL13/RHOA/ID4/LATS2/INSR/NRG1/MAPK14/NUMB/FLRT2/CDK2/PTK2/ESR2/PLCG2/GPNMB/SOX7/SNAI1/PIP4K2B/TBL1X/FZD8/GPS2/PTHLH/SH3GL2/STMN1/RHOBTB1/GPER1/MYC/RARB/GNG7/PIK3R3/SEL1L/FBXW7/VEGFA/SMAD2/CCRL2/FOXO1/PHB1/DST/IL6/LCK/RARA/SMAD4/APP/TFF1/NF2/SOCS3,Tumor_suppressor,Reactome_2022
Apoptosis R-HSA-109581,31,178,19938,31/991,178/19938,0.17415730337078653,3.5038832639825848,7.674093963152593,9.597018662234415e-10,6.3773736916783536e-09,GSN/PPP1R13B/CASP3/TP73/AKT2/STAT3/AKT3/TP63/BAK1/BCL2/UNC5A/PTK2/TLR4/PRKCD/GSDME/YWHAG/BCL2L11/PKN2/CASP8/HMGB1/BCL2L1/STK26/CDKN2A/E2F1/DSG2/BMF/TJP1/AKT1/DAPK1/MAPK8/TP53,Tumor_suppressor,Reactome_2022
Transcriptional Regulation By RUNX3 R-HSA-8878159,18,94,19938,18/991,94/19938,0.19148936170212766,3.8525881873027457,6.3399363994422036,7.378932454308947e-07,2.4645191307657716e-06,RUNX1/CDKN2A/ZFHX3/FOXO3/EP300/CDKN1A/BCL2L11/RUNX3/LEF1/SMAD4/CCND1/NOTCH1/CCN2/SMAD3/MYC/CBFB/YAP1/TP53,Tumor_suppressor,Reactome_2022
FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,10,17,19938,10/991,17/19938,0.5882352941176471,11.83474802635484,10.220784061174784,1.2443825096511763e-09,7.99153910234648e-09,CAV1/RBL2/FOXO3/SMAD2/FOXO1/SMAD3/KLF4/SMAD4/CDKN1B/CDKN1A,Tumor_suppressor,Reactome_2022
Regulated Necrosis R-HSA-5218859,11,57,19938,11/991,57/19938,0.19298245614035087,3.8826278612778156,4.984291105368183,9.739389006880239e-05,0.0002204740808150911,CASP1/GSDME/IRF1/TP63/HMGB1/CASP8/BAK1/CASP3/BIRC3/TP53/RIPK3,Tumor_suppressor,Reactome_2022
