PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
HALLMARK_KRAS_SIGNALING_UP,37,200,19938,37/1351,200/19938,0.185,2.7302220577350114,6.630071307044477,1.9984686821788784e-08,4.2073024887976386e-08,ITGA2/ADAM17/IKZF1/LIF/EREG/GPNMB/ANGPTL4/ETV1/CXCR4/BMP2/CXCL10/IGF2/SPP1/TNFAIP3/SEMA3B/ITGB2/SOX9/HDAC9/ABCB1/ETV5/CBX8/MAP3K1/ETV4/ETS1/DUSP6/GALNT3/CSF2/AKT2/CCND2/PTGS2/CBL/MMP9/BIRC3/MYCN/SATB1/KLF4/PLAU,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_ESTROGEN_RESPONSE_EARLY,52,198,19938,52/1351,198/19938,0.26262626262626265,3.8758271089877314,10.964143820856673,8.346833496790061e-18,3.709703776351138e-17,AREG/RARA/CCN5/GJA1/FHL2/IL17RB/TFF1/RET/FRK/SCARB1/MYOF/MYBBP1A/PPIF/CCND1/FOXC1/GAB2/FASN/PGR/CXCL12/RBBP8/SEMA3B/BCL2/KDM4B/CD44/PDZK1/XBP1/SLC2A1/MYBL1/ELF3/AR/IGF1R/FOS/WWC1/MUC1/SIAH2/MYC/MAPT/CISH/TFAP2C/TFF3/PMAIP1/CBFA2T3/B4GALT1/RHOBTB3/TIAM1/JAK2/SLC7A5/KLF4/MYB/KLK10/GFRA1/STC2,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_TNFA_SIGNALING_VIA_NFKB,55,199,19938,55/1351,199/19938,0.27638190954773867,4.0788323557089665,11.768007489234803,7.159554920326178e-20,5.727643936260942e-19,RHOB/AREG/RELA/CDKN1A/LIF/CXCL2/DUSP1/MAP3K8/BIRC2/JUN/PDLIM5/CCND1/BMP2/FOSL1/REL/EGR1/BCL6/CXCL10/ATF3/NFAT5/TNC/TNFAIP3/CCN1/SOD2/CFLAR/BCL3/NAMPT/KLF6/CD44/SERPINE1/EFNA1/SGK1/TNF/VEGFA/IL6/CCL2/SPHK1/FOS/CSF2/PTGS2/MYC/SQSTM1/ZBTB10/PLAU/NFE2L2/OLR1/B4GALT1/TNFAIP8/NR4A1/BIRC3/JUNB/KLF4/NFKB1/ACKR3/MCL1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_APOPTOSIS,53,161,19938,53/1351,161/19938,0.32919254658385094,4.858209469865892,13.251695968646125,4.370195970712578e-23,4.370195970712578e-22,LMNA/RHOB/RELA/BMF/RARA/CDKN1A/BRCA1/EREG/TIMP1/PTK2/MGMT/HSPB1/FAS/TOP2A/JUN/CCND1/BMP2/ERBB2/MMP2/ATF3/PDCD4/HGF/PAK1/SOD2/CFLAR/NEDD9/TGFBR3/CAV1/BCL2L2/CD44/CDC25B/TNF/IL6/ERBB3/CDK2/APP/CCND2/ANXA1/SQSTM1/BCL2L1/TIMP3/PMAIP1/BAX/CTNNB1/BIRC3/CYLD/CDKN1B/SATB1/HMOX1/LEF1/ROCK1/MCL1/WEE1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_APICAL_JUNCTION,38,198,19938,38/1351,198/19938,0.1919191919191919,2.8323351950294953,6.985811679545774,4.512779592407126e-09,1.0618304923310885e-08,ITGA2/SYK/WASL/ITGB1/PTK2/SHC1/ACTN4/RASA1/VASP/MYH9/ARPC2/MMP2/CDSN/CDH1/EGFR/CDK8/MAPK14/SRC/CD274/RAC2/TGFBI/CNN2/TNFRSF11B/CDH11/AKT2/ACTB/HRAS/RRAS/NF1/IRS1/CDH4/B4GALT1/CDH3/MMP9/VAV2/PTEN/AKT3/GRB7,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,17,112,19938,17/1351,112/19938,0.15178571428571427,2.2400470550914666,3.5479913732347197,0.0014075909743108367,0.0017594887178885457,ERN1/XBP1/VEGFA/ATF3/DDIT4/LSM4/CCL2/MTHFD2/SHC1/FUS/SLC7A5/EIF4EBP1/EIF4E/DKC1/CKS1B/STC2/LSM1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_ANDROGEN_RESPONSE,22,100,19938,22/1351,100/19938,0.22,3.2467505551443376,6.072378643443347,7.108522874447376e-07,1.184753812407896e-06,LIFR/XRCC6/NDRG1/PTK2B/PDLIM5/CCND1/MAF/INPP4B/HMGCR/AKT1/SGK1/TPD52/IQGAP2/ZBTB10/RPS6KA3/MERTK/B4GALT1/TNFAIP8/CCND3/SPDEF/B2M/SRF,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_HYPOXIA,60,200,19938,60/1351,200/19938,0.3,4.427387120651369,13.13347087743847,1.3965102699132475e-23,1.8620136932176635e-22,JMJD6/CDKN1A/CCN5/NDRG1/GAPDH/DUSP1/CDKN1C/LOX/VHL/ANGPTL4/TES/SCARB1/JUN/CXCR4/MYH9/PIM1/ATF3/EGFR/VLDLR/TNFAIP3/CCN1/RBPJ/S100A4/BCL2/CAV1/MT2A/KLF6/FOXO3/SERPINE1/EFNA1/LDHA/TGFBI/KDM3A/VEGFA/MAP3K1/ANXA2/ATP7A/IL6/SLC2A1/ETS1/FOS/HK2/STC1/SIAH2/TPD52/CCN2/HK1/HOXB9/PDK1/ADORA2B/ENO1/TKTL1/DDIT4/MIF/CSRP2/PRKCA/CDKN1B/HMOX1/ACKR3/STC2,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_CHOLESTEROL_HOMEOSTASIS,13,74,19938,13/1351,74/19938,0.17567567567567569,2.592614079660712,3.700377119271205,0.0012945178512686283,0.0016703456145401654,CHKA/ATF3/SQLE/LGMN/MAL2/CTNNB1/SEMA3B/ALCAM/CBS/PPARG/FABP5/HMGCR/FASN,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_ANGIOGENESIS,11,36,19938,11/1351,36/19938,0.3055555555555556,4.5093757710338025,5.68179672700284,1.6441847759347186e-05,2.3488353941924553e-05,VEGFA/OLR1/SPP1/VAV2/TIMP1/PTK2/STC1/S100A4/CCND2/APP/FGFR1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_MYC_TARGETS_V1,31,199,19938,31/1351,199/19938,0.15577889447236182,2.298978236854145,4.964994469837764,1.1752035536489533e-05,1.8080054671522358e-05,SET/HNRNPC/SRSF2/PCNA/HNRNPA2B1/TRIM28/TFDP1/XRCC6/CDC20/HNRNPA1/C1QBP/HDAC2/RAN/DEK/RPL14/HNRNPU/PSMD14/LDHA/CDK4/TRA2B/SRSF1/CDK2/MYC/COPS5/UBA2/KPNA2/H2AZ1/EIF4E/EIF3D/NAP1L1/XPO1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_ALLOGRAFT_REJECTION,43,200,19938,43/1351,200/19938,0.215,3.1729607698001483,8.326610325408128,9.423149018980197e-12,2.5128397383947194e-11,CSK/NOS2/RPL39/LIF/BRCA1/EREG/TIMP1/WAS/FAS/SOCS1/RARS1/CDKN2A/EGFR/BCL3/LYN/PRKCB/IKBKB/ITGB2/HIF1A/HDAC9/AKT1/TNF/IL6/CCL2/ETS1/HLA-G/TPD52/STAT1/TRAF2/CCND2/SPI1/CCL11/MAP3K7/CAPG/ABI1/MMP9/CCND3/JAK2/EIF3A/B2M/EIF3D/CD47/PTPN6,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_COAGULATION,22,138,19938,22/1351,138/19938,0.15942028985507245,2.352717793582853,4.298996388714582,0.0001479930340463504,0.00020412832282255228,ITGA2/MMP14/TIMP1/RAC1/SPARC/WDR1/MMP2/S100A1/LGMN/ARF4/SERPINE1/HRG/FN1/DUSP6/USP11/ANXA1/FYN/TIMP3/CTSB/OLR1/MMP9/PLAU,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_UV_RESPONSE_UP,34,158,19938,34/1351,158/19938,0.21518987341772153,3.175762913547396,7.40252527895349,1.3479953044617653e-09,3.3699882611544132e-09,RHOB/TYRO3/MMP14/CXCL2/CDKN1C/RET/PTPRD/PPIF/BMP2/ATF3/GLS/SOD2/CCNE1/LYN/IGFBP2/HNRNPU/PRKACA/ABCB1/EPCAM/IL6/FOS/TMBIM6/CDK2/E2F5/SQSTM1/NTRK3/CHKA/MARK2/CCND3/NR4A1/SPR/JUNB/HMOX1/GGH,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_UV_RESPONSE_DN,40,144,19938,40/1351,144/19938,0.2777777777777778,4.099432519121638,10.0635122105966,6.627753951329877e-15,2.410092345938137e-14,MGMT/GJA1/FHL2/DUSP1/KIT/RUNX1/PDLIM5/RGS4/ERBB2/VLDLR/BMPR1A/CCN1/MAPK14/INPP4B/TGFBR3/CAV1/HAS2/NOTCH2/SERPINE1/ANXA2/SNAI2/NFIB/IGF1R/NEK7/PPARG/MYC/FYN/ADORA2B/IRS1/MTA1/VAV2/CDK13/MET/PRKCA/CDKN1B/RND3/AKT3/PTEN/NFKB1/ID1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_GLYCOLYSIS,43,200,19938,43/1351,200/19938,0.215,3.1729607698001483,8.326610325408128,9.423149018980197e-12,2.5128397383947194e-11,HMMR/G6PD/COPB2/PRPS1/ARTN/ANGPTL4/GLCE/STMN1/CXCR4/AURKA/RARS1/VLDLR/EGFR/CDK1/CD44/SOX9/TGFBI/NT5E/LDHA/VEGFA/ECD/ELF3/STC1/HK2/PGLS/DEPDC1/GFUS/PKM/TXN/CHPF/MERTK/TFF3/ENO1/TKTL1/B4GALT1/DDIT4/ADORA2B/MIF/KIF2A/MET/SLC25A10/STC2/ALG1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_G2M_CHECKPOINT,74,199,19938,74/1351,199/19938,0.37185929648241206,5.487883533135701,17.153726129590794,7.983716086446976e-36,1.5967432172893951e-34,SRSF2/PRC1/HMMR/TFDP1/NUP98/EZH2/PTTG1/CDC20/TACC3/NEK2/TMPO/KIF11/TOP2A/EWSR1/STMN1/CCND1/AURKA/RACGAP1/CKS1B/CDKN3/CHEK1/RASAL2/CDC7/E2F3/CDC25A/BCL3/SUV39H1/MAPK14/NUSAP1/CDK1/MT2A/BARD1/ESPL1/CUL4A/HSPA8/NOTCH2/HNRNPU/HIF1A/CDC25B/CCNB2/CDK4/EGF/TRA2B/SRSF1/HMGA1/CTCF/HOXC10/MYBL2/KIF23/MYC/E2F4/E2F1/BIRC5/CENPE/KPNA2/SMC4/SQLE/UBE2C/PRMT5/KIF2C/MKI67/AURKB/ABL1/CDKN1B/H2AZ1/PBK/SLC7A5/KIF4A/PLK1/KIF15/DKC1/HMGB3/NCL/XPO1,Oncogene,h.all.v2023.2.Hs.symbols
HALLMARK_IL2_STAT5_SIGNALING,45,198,19938,45/1351,198/19938,0.22727272727272727,3.354081152008613,8.974977750201223,3.9436523275898033e-13,1.213431485412247e-12,RHOB/HUWE1/IRF6/SPRY4/LIF/NDRG1/SLC39A8/CDKN1C/MAP3K8/SOCS1/BMP2/AHR/PIM1/CXCL10/S100A1/SPP1/CCNE1/CD81/NCOA3/BCL2/ALCAM/KLF6/CD44/PRAF2/NT5E/ABCB1/SLC1A5/XBP1/ETV4/IGF1R/HK2/MUC1/CSF2/SPRED2/CCND2/TNFSF11/MYC/CAPG/BCL2L1/CISH/TIAM1/PUS1/CCND3/BATF/ADAM19,Oncogene,h.all.v2023.2.Hs.symbols
