Node List,Node Source
ADAM17,h.all.v2023.2.Hs.symbols
ATG10,h.all.v2023.2.Hs.symbols
CFHR2,h.all.v2023.2.Hs.symbols
MMP11,h.all.v2023.2.Hs.symbols
INHBA,h.all.v2023.2.Hs.symbols
EPHB2,h.all.v2023.2.Hs.symbols
MMP10,h.all.v2023.2.Hs.symbols
HOXD11,h.all.v2023.2.Hs.symbols
GPNMB,h.all.v2023.2.Hs.symbols
BTC,h.all.v2023.2.Hs.symbols
DNMBP,h.all.v2023.2.Hs.symbols
PRDM1,h.all.v2023.2.Hs.symbols
BMP2,h.all.v2023.2.Hs.symbols
NR1H4,h.all.v2023.2.Hs.symbols
CXCL10,h.all.v2023.2.Hs.symbols
JUP,h.all.v2023.2.Hs.symbols
PSMB8,h.all.v2023.2.Hs.symbols
TSPAN7,h.all.v2023.2.Hs.symbols
GPRC5B,h.all.v2023.2.Hs.symbols
TMEM100,h.all.v2023.2.Hs.symbols
LAPTM5,h.all.v2023.2.Hs.symbols
SEMA3B,h.all.v2023.2.Hs.symbols
FGF9,h.all.v2023.2.Hs.symbols
ANXA10,h.all.v2023.2.Hs.symbols
ARG1,h.all.v2023.2.Hs.symbols
EVI5,h.all.v2023.2.Hs.symbols
ADGRL4,h.all.v2023.2.Hs.symbols
ERO1A,h.all.v2023.2.Hs.symbols
USP12,h.all.v2023.2.Hs.symbols
TRAF1,h.all.v2023.2.Hs.symbols
CROT,h.all.v2023.2.Hs.symbols
GUCY1A1,h.all.v2023.2.Hs.symbols
PTBP2,h.all.v2023.2.Hs.symbols
CBL,h.all.v2023.2.Hs.symbols
RELN,h.all.v2023.2.Hs.symbols
PTPRR,h.all.v2023.2.Hs.symbols
BPGM,h.all.v2023.2.Hs.symbols
CDADC1,h.all.v2023.2.Hs.symbols
TMEM158,h.all.v2023.2.Hs.symbols
ENG,h.all.v2023.2.Hs.symbols
LY96,h.all.v2023.2.Hs.symbols
TOR1AIP2,h.all.v2023.2.Hs.symbols
TRIB2,h.all.v2023.2.Hs.symbols
NIN,h.all.v2023.2.Hs.symbols
SPON1,h.all.v2023.2.Hs.symbols
H2BC3,h.all.v2023.2.Hs.symbols
SATB1,h.all.v2023.2.Hs.symbols
KLF4,h.all.v2023.2.Hs.symbols
F13A1,h.all.v2023.2.Hs.symbols
HSD11B1,h.all.v2023.2.Hs.symbols
TFPI,h.all.v2023.2.Hs.symbols
CLEC4A,h.all.v2023.2.Hs.symbols
RGS16,h.all.v2023.2.Hs.symbols
ITGA2,h.all.v2023.2.Hs.symbols
IKZF1,h.all.v2023.2.Hs.symbols
ADAMDEC1,h.all.v2023.2.Hs.symbols
LIF,h.all.v2023.2.Hs.symbols
EREG,h.all.v2023.2.Hs.symbols
TMEM176B,h.all.v2023.2.Hs.symbols
FLT4,h.all.v2023.2.Hs.symbols
ANGPTL4,h.all.v2023.2.Hs.symbols
KCNN4,h.all.v2023.2.Hs.symbols
ETV1,h.all.v2023.2.Hs.symbols
DOCK2,h.all.v2023.2.Hs.symbols
CXCR4,h.all.v2023.2.Hs.symbols
IL10RA,h.all.v2023.2.Hs.symbols
PCSK1N,h.all.v2023.2.Hs.symbols
G0S2,h.all.v2023.2.Hs.symbols
TLR8,h.all.v2023.2.Hs.symbols
GYPC,h.all.v2023.2.Hs.symbols
IGF2,h.all.v2023.2.Hs.symbols
HBEGF,h.all.v2023.2.Hs.symbols
MAP4K1,h.all.v2023.2.Hs.symbols
NR0B2,h.all.v2023.2.Hs.symbols
MPZL2,h.all.v2023.2.Hs.symbols
CSF2RA,h.all.v2023.2.Hs.symbols
GABRA3,h.all.v2023.2.Hs.symbols
PRKG2,h.all.v2023.2.Hs.symbols
AVL9,h.all.v2023.2.Hs.symbols
IL1RL2,h.all.v2023.2.Hs.symbols
IL33,h.all.v2023.2.Hs.symbols
AMMECR1,h.all.v2023.2.Hs.symbols
ETS1,h.all.v2023.2.Hs.symbols
CTSS,h.all.v2023.2.Hs.symbols
KIF5C,h.all.v2023.2.Hs.symbols
RBP4,h.all.v2023.2.Hs.symbols
CCND2,h.all.v2023.2.Hs.symbols
WNT7A,h.all.v2023.2.Hs.symbols
NRP1,h.all.v2023.2.Hs.symbols
GNG11,h.all.v2023.2.Hs.symbols
SERPINA3,h.all.v2023.2.Hs.symbols
PLAU,h.all.v2023.2.Hs.symbols
USH1C,h.all.v2023.2.Hs.symbols
CFB,h.all.v2023.2.Hs.symbols
MMP9,h.all.v2023.2.Hs.symbols
BIRC3,h.all.v2023.2.Hs.symbols
CMKLR1,h.all.v2023.2.Hs.symbols
CCSER2,h.all.v2023.2.Hs.symbols
CBX8,h.all.v2023.2.Hs.symbols
SCG5,h.all.v2023.2.Hs.symbols
TSPAN13,h.all.v2023.2.Hs.symbols
PTCD2,h.all.v2023.2.Hs.symbols
RABGAP1L,h.all.v2023.2.Hs.symbols
TPH1,h.all.v2023.2.Hs.symbols
PLVAP,h.all.v2023.2.Hs.symbols
SCN1B,h.all.v2023.2.Hs.symbols
RBM4,h.all.v2023.2.Hs.symbols
CIDEA,h.all.v2023.2.Hs.symbols
TNFRSF1B,h.all.v2023.2.Hs.symbols
IL7R,h.all.v2023.2.Hs.symbols
AKAP12,h.all.v2023.2.Hs.symbols
LCP1,h.all.v2023.2.Hs.symbols
C3AR1,h.all.v2023.2.Hs.symbols
SLPI,h.all.v2023.2.Hs.symbols
HKDC1,h.all.v2023.2.Hs.symbols
ITGBL1,h.all.v2023.2.Hs.symbols
RETN,h.all.v2023.2.Hs.symbols
IGFBP3,h.all.v2023.2.Hs.symbols
PCP4,h.all.v2023.2.Hs.symbols
YRDC,h.all.v2023.2.Hs.symbols
ANO1,h.all.v2023.2.Hs.symbols
ITGB2,h.all.v2023.2.Hs.symbols
F2RL1,h.all.v2023.2.Hs.symbols
SOX9,h.all.v2023.2.Hs.symbols
HDAC9,h.all.v2023.2.Hs.symbols
EPB41L3,h.all.v2023.2.Hs.symbols
ABCB1,h.all.v2023.2.Hs.symbols
IL2RG,h.all.v2023.2.Hs.symbols
ETV5,h.all.v2023.2.Hs.symbols
DUSP6,h.all.v2023.2.Hs.symbols
TMEM176A,h.all.v2023.2.Hs.symbols
TRIB1,h.all.v2023.2.Hs.symbols
PEG3,h.all.v2023.2.Hs.symbols
AKT2,h.all.v2023.2.Hs.symbols
CA2,h.all.v2023.2.Hs.symbols
IL1B,h.all.v2023.2.Hs.symbols
ALDH1A2,h.all.v2023.2.Hs.symbols
GFPT2,h.all.v2023.2.Hs.symbols
MALL,h.all.v2023.2.Hs.symbols
TNNT2,h.all.v2023.2.Hs.symbols
GADD45G,h.all.v2023.2.Hs.symbols
PPBP,h.all.v2023.2.Hs.symbols
MAP7,h.all.v2023.2.Hs.symbols
CAB39L,h.all.v2023.2.Hs.symbols
MTMR10,h.all.v2023.2.Hs.symbols
WDR33,h.all.v2023.2.Hs.symbols
SPARCL1,h.all.v2023.2.Hs.symbols
VWA5A,h.all.v2023.2.Hs.symbols
ID2,h.all.v2023.2.Hs.symbols
ZNF639,h.all.v2023.2.Hs.symbols
ADGRA2,h.all.v2023.2.Hs.symbols
PLEK2,h.all.v2023.2.Hs.symbols
FBXO4,h.all.v2023.2.Hs.symbols
DCBLD2,h.all.v2023.2.Hs.symbols
LAT2,h.all.v2023.2.Hs.symbols
ZNF277,h.all.v2023.2.Hs.symbols
SCG3,h.all.v2023.2.Hs.symbols
STRN,h.all.v2023.2.Hs.symbols
PLAT,h.all.v2023.2.Hs.symbols
PRELID3B,h.all.v2023.2.Hs.symbols
SNAP91,h.all.v2023.2.Hs.symbols
CCL20,h.all.v2023.2.Hs.symbols
ALDH1A3,h.all.v2023.2.Hs.symbols
MAFB,h.all.v2023.2.Hs.symbols
FUCA1,h.all.v2023.2.Hs.symbols
SPP1,h.all.v2023.2.Hs.symbols
TNFAIP3,h.all.v2023.2.Hs.symbols
ST6GAL1,h.all.v2023.2.Hs.symbols
CPE,h.all.v2023.2.Hs.symbols
SNAP25,h.all.v2023.2.Hs.symbols
BTBD3,h.all.v2023.2.Hs.symbols
APOD,h.all.v2023.2.Hs.symbols
ANKH,h.all.v2023.2.Hs.symbols
TSPAN1,h.all.v2023.2.Hs.symbols
CBR4,h.all.v2023.2.Hs.symbols
MAP3K1,h.all.v2023.2.Hs.symbols
ETV4,h.all.v2023.2.Hs.symbols
CFH,h.all.v2023.2.Hs.symbols
PDCD1LG2,h.all.v2023.2.Hs.symbols
IRF8,h.all.v2023.2.Hs.symbols
SPRY2,h.all.v2023.2.Hs.symbols
PIGR,h.all.v2023.2.Hs.symbols
GALNT3,h.all.v2023.2.Hs.symbols
CSF2,h.all.v2023.2.Hs.symbols
MMD,h.all.v2023.2.Hs.symbols
SDCCAG8,h.all.v2023.2.Hs.symbols
ACE,h.all.v2023.2.Hs.symbols
PTGS2,h.all.v2023.2.Hs.symbols
EMP1,h.all.v2023.2.Hs.symbols
PRRX1,h.all.v2023.2.Hs.symbols
CD37,h.all.v2023.2.Hs.symbols
NGF,h.all.v2023.2.Hs.symbols
PLAUR,h.all.v2023.2.Hs.symbols
PPP1R15A,h.all.v2023.2.Hs.symbols
ADAM8,h.all.v2023.2.Hs.symbols
GLRX,h.all.v2023.2.Hs.symbols
FCER1G,h.all.v2023.2.Hs.symbols
MYCN,h.all.v2023.2.Hs.symbols
PECAM1,h.all.v2023.2.Hs.symbols
NAP1L2,h.all.v2023.2.Hs.symbols
TBC1D30,h.all.v2023.2.Hs.symbols
CA12,h.all.v2023.2.Hs.symbols
ANXA9,h.all.v2023.2.Hs.symbols
CALCR,h.all.v2023.2.Hs.symbols
CCN5,h.all.v2023.2.Hs.symbols
GJA1,h.all.v2023.2.Hs.symbols
BHLHE40,h.all.v2023.2.Hs.symbols
DHCR7,h.all.v2023.2.Hs.symbols
IL17RB,h.all.v2023.2.Hs.symbols
TFF1,h.all.v2023.2.Hs.symbols
FRK,h.all.v2023.2.Hs.symbols
KLF10,h.all.v2023.2.Hs.symbols
CHPT1,h.all.v2023.2.Hs.symbols
