PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
MAPK6/MAPK4 Signaling R-HSA-5687128,18,90,19938,18/1351,90/19938,0.2,2.95159141376758,5.002702847806566,2.8515665564855928e-05,4.7490375358011947e-05,CCND3/HSPB1/FOXO3/MMP2/PSMD10/NCOA3/FOXO1/ETV4/XPO1/PSMD5/JUN/PRKCA/IGF2BP1/UBC/MYC/PSMD14/PSMD12/CDK1,Oncogene,Reactome_2022
RAF/MAP Kinase Cascade R-HSA-5673001,58,270,19938,58/1351,270/19938,0.21481481481481482,3.1702278147874003,9.679658532959351,2.3445099316424766e-15,2.2098253185481215e-14,FGFR2/ERBB2/SOS1/AREG/IRS1/SPRED2/RNMT/NRAS/JAK1/EREG/FLT3/BRAF/CSK/FGFR1/CSF2/ARTN/MAP3K11/DUSP8/ERBB3/PIK3CA/GFRA1/DUSP6/PSMD5/ERBB4/FGF7/RAP1A/NRG1/FGF19/FGFR3/SRC/PTK2/FYN/PSMD12/MAPK1/NRG2/RET/EGFR/MAPK3/IQGAP1/JAK2/FGF3/BCL2L1/PSMD14/FGF4/FGF10/NF1/GRB2/RASAL2/PSMD10/KIT/HRAS/EGF/SHC1/FGF8/UBC/FGFR4/PTPN3/FN1,Oncogene,Reactome_2022
SHC-mediated cascade:FGFR1 R-HSA-5654688,10,20,19938,10/1351,20/19938,0.5,7.378978534418949,7.69477993809923,1.9467703623439383e-07,4.6870612528172e-07,FGF10/GRB2/SOS1/FGF3/NRAS/HRAS/SHC1/FGF8/FGFR1/FGF4,Oncogene,Reactome_2022
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,17,24,19938,17/1351,24/19938,0.7083333333333334,10.453552923760178,12.493219166149508,2.6687713066531136e-15,2.4127871200965902e-14,FOS/SRF/AKT3/FOXO3/MAPK1/EGFR/MAPK3/AREG/EGF/XPO1/CCND1/AKT1/EREG/AKT2/CDKN1B/BCL2/PTK2,Oncogene,Reactome_2022
Pre-NOTCH Expression And Processing R-HSA-1912422,18,76,19938,18/1351,76/19938,0.23684210526315788,3.4953056215668705,5.875867336183691,2.3317057354391745e-06,4.716646761641801e-06,ELF3/RUNX1/TFDP1/E2F1/MAML2/RBPJ/NOTCH3/H2AZ1/NOTCH2/JUN/NOTCH4/CCND1/B4GALT1/MFNG/E2F3/PRKCI/NOTCH1/TP53,Oncogene,Reactome_2022
DNA Double Strand Break Response R-HSA-5693606,15,59,19938,15/1351,59/19938,0.2542372881355932,3.7520229836028554,5.70733973392205,6.308899691721382e-06,1.2151489406228574e-05,ARTN/RNF168/BRCA1/EYA2/ABL1/KDM4B/CHEK2/KPNA2/ATM/BARD1/EYA4/UBC/MAPK8/KDM4A/TP53,Oncogene,Reactome_2022
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,11,75,19938,11/1351,75/19938,0.14666666666666667,2.164500370096225,2.723960281480824,0.011890516848012669,0.013972145792227088,PSMD10/NEK2/CCNB1/PTTG1/CDC20/PSMD5/UBE2C/UBC/PSMD14/PSMD12/CDK1,Oncogene,Reactome_2022
Neddylation R-HSA-8951664,27,236,19938,27/1351,236/19938,0.11440677966101695,1.688410342621285,2.8681453741498224,0.005335317658224669,0.006529131830368864,FBXO31/ZBTB16/FBXO11/CISH/FBXO22/NFE2L2/CUL4A/COPS5/DDB2/HIF1A/PSMD5/COPS6/PSMD12/VHL/SQSTM1/BTRC/FBXO32/DCAF13/ASB2/PSMD14/BIRC5/PSMD10/DCAF7/SKP2/FBXL20/UBC/DTL,Oncogene,Reactome_2022
Mitotic G1 Phase And G1/S Transition R-HSA-453279,45,147,19938,45/1351,147/19938,0.30612244897959184,4.517741959848336,11.54095390754935,2.126851133590206e-18,3.2489484557946944e-17,TFDP1/MYBL2/CCNE1/CCNB1/CDC7/CKS1B/PCNA/AKT2/CDKN1B/RRM2/CDKN1A/CDK1/AKT3/E2F4/WEE1/PSMD5/UBC/CDK2/SRC/PSMD12/CCND3/CDC25A/CDKN1C/E2F6/JAK2/CCND1/CDK4/LYN/AKT1/RB1/E2F3/CCND2/PSMD14/TOP2A/MYC/CDKN2A/E2F1/PSMD10/ABL1/CDK7/E2F5/SKP2/CDT1/PTK6/HDAC1,Oncogene,Reactome_2022
G Alpha (12/13) Signaling Events R-HSA-416482,15,78,19938,15/1351,78/19938,0.19230769230769232,2.8380686670842112,4.385027694563038,0.00020491951749736153,0.00030059386175937473,VAV2/PREX1/ROCK1/VAV3/TIAM1/ARHGEF2/ROCK2/SOS1/MCF2/RHOA/PLXNB1/AKAP13/RHOB/ARHGEF5/FGD1,Oncogene,Reactome_2022
Signaling By ERBB2 In Cancer R-HSA-1227990,17,25,19938,17/1351,25/19938,0.68,10.035410806809772,12.187159360702033,7.813071198851813e-15,6.656135655944909e-14,PTPN12/ERBB3/NRG2/ERBB2/PIK3CA/SOS1/EGFR/GRB2/HSP90AA1/HRAS/NRAS/ERBB4/EGF/SHC1/NRG1/EREG/PIGU,Oncogene,Reactome_2022
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,11,59,19938,11/1351,59/19938,0.1864406779661017,2.751483521308761,3.6323502943236194,0.0018212477674811774,0.0023522237929858936,ARTN/CCNE1/HMGA2/TP53/CDK2/H2AZ1/ATM/RB1/CDKN1B/CDKN1A/HMGA1,Oncogene,Reactome_2022
EPH-Ephrin Signaling R-HSA-2682334,24,91,19938,24/1351,91/19938,0.26373626373626374,3.8922084577154896,7.455139641332051,5.221096094146344e-09,1.676047514280312e-08,YES1/EPHA1/VAV3/ARPC2/MMP9/RHOA/WASL/SRC/PTK2/FYN/VAV2/ROCK1/MMP2/LIMK1/ROCK2/LYN/EFNA1/NCSTN/TIAM1/EFNB2/HRAS/MYH9/EPHA2/EPHA8,Oncogene,Reactome_2022
