PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
HALLMARK_KRAS_SIGNALING_UP,14,200,19938,14/473,200/19938,0.07,2.950655391120508,4.32192522393702,0.0003144453376804037,0.000389313275223357,CCL20/ALDH1A3/ADAM17/MAP3K1/MMP9/LIF/ETS1/IL1B/ID2/PTGS2/ANGPTL4/RELN/SOX9/CXCR4,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_ESTROGEN_RESPONSE_EARLY,24,198,19938,24/473,198/19938,0.12121212121212122,5.1093599846242554,9.058712559692523,6.2244147476411e-11,2.2505166422805852e-10,AREG/RARA/GJA1/RET/MYOF/FOXC1/CCND1/GAB2/PGR/CXCL12/BAG1/BCL2/KDM4B/CD44/NHERF1/FOS/AR/MUC1/MYC/TFAP2C/TIAM1/MYB/FASN/PODXL,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_TNFA_SIGNALING_VIA_NFKB,33,199,19938,33/473,199/19938,0.1658291457286432,6.99006661213042,13.238198457119786,1.0754980093102577e-18,1.398147412103335e-17,AREG/RELA/PMEPA1/CDKN1A/LIF/GADD45A/MSC/CCND1/REL/CCL20/CCN1/RIGI/JAG1/KLF6/CD44/NFKB2/SERPINE1/PTGER4/TNF/VEGFA/IL6/CCL2/FOS/IRF1/IL1B/PTGS2/MYC/SMAD3/CSF1/ID2/MCL1/IL18/DUSP4,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_APOPTOSIS,23,161,19938,23/473,161/19938,0.14285714285714285,6.0217456961643006,9.9728828633123,5.173126191701232e-12,3.414600214772955e-11,RELA/RARA/CDKN1A/BRCA1/PTK2/GADD45A/ISG20/TOP2A/CCND1/ERBB2/HGF/CD44/TNF/CASP8/IL6/ERBB3/IRF1/IL1B/BIK/CTNNB1/CDKN1B/MCL1/IL18,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_APICAL_JUNCTION,13,198,19938,13/473,198/19938,0.06565656565656566,2.767569991671472,3.8964482409914836,0.0009277649184820879,0.001096449449115195,NF1/EGFR/CDH1/MMP9/PTK2/SHC1/TNFRSF11B/CDH11/MAPK14/SRC/PTEN/HRAS/MYH9,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_HYPOXIA,23,200,19938,23/473,200/19938,0.115,4.847505285412263,8.524637523341495,4.5174629831211084e-10,1.1745403756114882e-09,CDKN1A/NDRG1/LOX/ANGPTL4/ISG20/MYH9/CXCR4/EGFR/CCN1/BCL2/KLF6/SERPINE1/LDHA/MAP3K1/VEGFA/IL6/MXI1/ETS1/FOS/CCN2/PGF/MIF/CDKN1B,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_MYC_TARGETS_V1,10,199,19938,10/473,199/19938,0.05025125628140704,2.118202003675885,2.471254661815111,0.020766519993144106,0.020766519993144106,HDGF/CDK4/PRPF31/DEK/EIF4E/TCP1/MYC/SMARCC1/LDHA/EIF4A1,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_ALLOGRAFT_REJECTION,21,200,19938,21/473,200/19938,0.105,4.425983086680762,7.590701456807167,1.338372426810498e-08,2.485548792648068e-08,NCK1/NOS2/LIF/BRCA1/IL11/EGFR/TLR3/IL13/AKT1/TNF/IL6/CCL2/ETS1/STAT1/TRAF2/TGFB1/IL1B/MMP9/CSF1/IL18/FLNA,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_UV_RESPONSE_UP,10,158,19938,10/473,158/19938,0.06329113924050633,2.6678620172879817,3.2810193305855258,0.004534713381193727,0.004716101916441476,BSG/MMP14/IL6/SHOX2/FOS/IRF1/RET/GAL/CTSV/NTRK3,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_UV_RESPONSE_DN,19,144,19938,19/473,144/19938,0.13194444444444445,5.561751233262862,8.564052717238333,1.4793900270489895e-09,3.496740063933975e-09,TGFBR2/GJA1/KIT/RUNX1/ABCC1/ERBB2/CCN1/MAPK14/INPP4B/NOTCH2/SERPINE1/SNAI2/NFIB/MYC/SMAD3/MET/CDKN1B/PTEN/ID1,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_GLYCOLYSIS,14,200,19938,14/473,200/19938,0.07,2.950655391120508,4.32192522393702,0.0003144453376804037,0.000389313275223357,RBCK1/SOX9/VEGFA/EGFR/MXI1/MIF/MET/BIK/ANGPTL4/CD44/ISG20/NT5E/LDHA/CXCR4,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_G2M_CHECKPOINT,24,199,19938,24/473,199/19938,0.12060301507537688,5.083684808822124,9.025046537217957,6.92466659163257e-11,2.2505166422805852e-10,EZH2/TOP2A/CCND1/STAG1/RASAL2/MAPK14/ESPL1/NOTCH2/BRCA2/SMARCC1/EGF/CDK4/PLK4/HMGA1/CTCF/TGFB1/MYC/E2F1/SMAD3/TTK/PRMT5/ABL1/CDKN1B/NCL,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_IL2_STAT5_SIGNALING,19,198,19938,19/473,198/19938,0.09595959595959595,4.044909987827536,6.712228778464778,2.7408847476545664e-07,4.45393771493867e-07,IRF6/LIF/NDRG1/ITIH5/AHR/IL13/NCOA3/BCL2/KLF6/CD44/NT5E/SLC1A5/MUC1/TNFSF11/MYC/CDCP1/TIAM1/CSF1/IKZF2,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_COMPLEMENT,13,200,19938,13/473,200/19938,0.065,2.7398942917547573,3.854957190669856,0.0010174208635427093,0.0011501279327004541,GATA3/MMP14/IL6/IRF1/F7/SRC/PIK3CA/SERPINE1/CPM/NOTCH4/CTSV/ITGAM/ZEB1,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_INFLAMMATORY_RESPONSE,25,200,19938,25/473,200/19938,0.125,5.269027484143764,9.458573589875822,1.2504857059736411e-11,5.4187713925524446e-11,RELA/OSM/MMP14/CDKN1A/P2RX7/LIF/AHR/CCL20/TLR3/KLF6/SERPINE1/PTGER4/CSF3/IL6/CCL2/IRF1/CCR7/C5AR1/IL18/IL1B/MYC/CSF1/MET/ROS1/GPR132,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_PI3K_AKT_MTOR_SIGNALING,19,105,19938,19/473,105/19938,0.18095238095238095,7.6275445484747815,10.614178085705056,5.253231099650701e-12,3.414600214772955e-11,NCK1/CDKN1A/RAC1/CXCR4/EGFR/AKT1/CDK4/THEM4/TRAF2/E2F1/HRAS/TIAM1/MYD88/PIN1/CDKN1B/PTEN/EIF4E/PAK4/MAPK1,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_MITOTIC_SPINDLE,21,199,19938,21/473,199/19938,0.10552763819095477,4.448224207719358,7.620662563917347,1.2243318611722544e-08,2.485548792648068e-08,NCK1/RICTOR/TOP2A/MYH9/MAP3K11/RASAL2/ESPL1/APC/NOTCH2/BRCA2/EZR/CENPJ/MARK4/ANLN/NF1/TTK/TIAM1/ATG4B/ABL1/CDC42/FLNA,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,35,200,19938,35/473,200/19938,0.175,7.376638477801269,14.128253922547461,1.509130023501692e-20,3.923738061104399e-19,AREG/PMEPA1/MMP14/POSTN/GJA1/GADD45A/GREM1/LOX/MFAP5/SPARC/PTHLH/WNT5A/CCN1/CXCL12/FAP/CD44/NOTCH2/CDH2/SERPINE1/NT5E/VEGFA/SNAI2/IL6/TGFB1/TNFRSF11B/CDH11/CCN2/OXTR/VIM/THBS1/DPYSL3/LOXL2/ID2/FLNA/FGF2,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_INTERFERON_GAMMA_RESPONSE,15,199,19938,15/473,199/19938,0.07537688442211055,3.177303005513827,4.811894617316128,8.544415428428673e-05,0.00011692357954691868,RBCK1/CASP8/NUP93/MYD88/CDKN1A/CCL2/IL6/RIGI/IRF1/PTPN1/STAT1/NCOA3/STAT3/PTGS2/ISG20,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_E2F_TARGETS,21,200,19938,21/473,200/19938,0.105,4.425983086680762,7.590701456807167,1.338372426810498e-08,2.485548792648068e-08,CDKN1A/BRCA1/EZH2/TOP2A/PRKDC/LYAR/STAG1/DEK/ESPL1/BRCA2/CDK4/DNMT1/PLK4/HMGA1/CTCF/MYC/RRM2/CDKN1B/MELK/TP53/CHEK2,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_P53_PATHWAY,17,198,19938,17/473,198/19938,0.08585858585858586,3.6191299891088478,5.77363526597368,5.331798839345886e-06,8.154515871940767e-06,TP53/ZFP36L1/NOTCH1/CDKN1A/LIF/HDAC3/TP63/NDRG1/FOS/EPHA2/TRAF4/TGFB1/GADD45A/RB1/HRAS/MDM2/JAG2,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_ESTROGEN_RESPONSE_LATE,25,198,19938,25/473,198/19938,0.12626262626262627,5.3222499839836,9.528009315938071,9.995689752849142e-12,5.197758671481554e-11,AREG/RET/LSR/IDH2/ISG20/MYOF/TOP2A/FOXC1/CCND1/CDH1/PGR/CXCL12/GPER1/BAG1/BCL2/METTL3/CD44/NHERF1/PLK4/FOS/TFAP2C/TIAM1/ID2/MYB/GAL,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_WNT_BETA_CATENIN_SIGNALING,10,42,19938,10/473,42/19938,0.23809523809523808,10.036242826940502,9.138247637917663,3.827309558726183e-08,6.634003235125384e-08,ADAM17/TP53/NOTCH1/CTNNB1/WNT1/JAG1/MYC/NOTCH4/DLL1/JAG2,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_MYOGENESIS,12,199,19938,12/473,199/19938,0.06030150753768844,2.541842404411062,3.4075106440155176,0.002928218135109476,0.0031722363130352654,NOTCH1/CDKN1A/ERBB3/SPDEF/TGFB1/BAG1/LSP1/SPARC/IGF1/RB1/MYH9/FGF2,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_TGF_BETA_SIGNALING,13,54,19938,13/473,54/19938,0.24074074074074073,10.14775663612873,10.492835775253976,2.924559070269763e-10,8.448726203001538e-10,THBS1/SMURF2/PMEPA1/CDH1/CDK9/RHOA/CTNNB1/TGFB1/ID1/ID2/APC/SERPINE1/SMAD3,Driver,h.all.v2023.2.Hs.symbols
HALLMARK_IL6_JAK_STAT3_SIGNALING,11,87,19938,11/473,87/19938,0.12643678160919541,5.329591018444267,6.3088263899506565,6.586738065975627e-06,9.514177206409239e-06,TNF/MYD88/IL6/CSF1/IRF1/PTPN1/STAT1/TGFB1/STAT3/IL1B/CD44,Driver,h.all.v2023.2.Hs.symbols
