PathwayID,Library Source,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50,Gene_51,Gene_52,Gene_53,Gene_54,Gene_55,Gene_56,Gene_57,Gene_58,Gene_59,Gene_60,Gene_61,Gene_62,Gene_63,Gene_64,Gene_65,Gene_66,Gene_67,Gene_68,Gene_69,Gene_70,Gene_71,Gene_72,Gene_73,Gene_74,Gene_75,Gene_76,Gene_77,Gene_78,Gene_79,Gene_80,Gene_81,Gene_82,Gene_83,Gene_84,Gene_85,Gene_86,Gene_87,Gene_88,Gene_89,Gene_90,Gene_91,Gene_92,Gene_93,Gene_94,Gene_95,Gene_96,Gene_97,Gene_98,Gene_99,Gene_100,Gene_101,Gene_102,Gene_103,Gene_104,Gene_105,Gene_106,Gene_107,Gene_108,Gene_109,Gene_110,Gene_111,Gene_112,Gene_113,Gene_114,Gene_115,Gene_116,Gene_117,Gene_118,Gene_119,Gene_120,Gene_121,Gene_122,Gene_123,Gene_124,Gene_125,Gene_126,Gene_127,Gene_128,Gene_129,Gene_130,Gene_131,Gene_132,Gene_133,Gene_134,Gene_135,Gene_136,Gene_137,Gene_138,Gene_139,Gene_140,Gene_141,Gene_142,Gene_143,Gene_144,Gene_145,Gene_146,Gene_147,Gene_148,Gene_149,Gene_150,Gene_151,Gene_152,Gene_153,Gene_154,Gene_155,Gene_156,Gene_157,Gene_158,Gene_159,Gene_160,Gene_161,Gene_162,Gene_163,Gene_164,Gene_165,Gene_166,Gene_167,Gene_168,Gene_169,Gene_170,Gene_171,Gene_172,Gene_173,Gene_174,Gene_175,Gene_176,Gene_177,Gene_178,Gene_179,Gene_180,Gene_181,Gene_182,Gene_183,Gene_184,Gene_185,Gene_186,Gene_187,Gene_188,Gene_189,Gene_190,Gene_191,Gene_192,Gene_193,Gene_194,Gene_195,Gene_196,Gene_197,Gene_198,Gene_199,Gene_200
HALLMARK_KRAS_SIGNALING_UP,h.all.v2023.2.Hs.symbols,ADAM17,ATG10,CFHR2,MMP11,INHBA,EPHB2,MMP10,HOXD11,GPNMB,BTC,DNMBP,PRDM1,BMP2,NR1H4,CXCL10,JUP,PSMB8,TSPAN7,GPRC5B,TMEM100,LAPTM5,SEMA3B,FGF9,ANXA10,ARG1,EVI5,ADGRL4,ERO1A,USP12,TRAF1,CROT,GUCY1A1,PTBP2,CBL,RELN,PTPRR,BPGM,CDADC1,TMEM158,ENG,LY96,TOR1AIP2,TRIB2,NIN,SPON1,H2BC3,SATB1,KLF4,F13A1,HSD11B1,TFPI,CLEC4A,RGS16,ITGA2,IKZF1,ADAMDEC1,LIF,EREG,TMEM176B,FLT4,ANGPTL4,KCNN4,ETV1,DOCK2,CXCR4,IL10RA,PCSK1N,G0S2,TLR8,GYPC,IGF2,HBEGF,MAP4K1,NR0B2,MPZL2,CSF2RA,GABRA3,PRKG2,AVL9,IL1RL2,IL33,AMMECR1,ETS1,CTSS,KIF5C,RBP4,CCND2,WNT7A,NRP1,GNG11,SERPINA3,PLAU,USH1C,CFB,MMP9,BIRC3,CMKLR1,CCSER2,CBX8,SCG5,TSPAN13,PTCD2,RABGAP1L,TPH1,PLVAP,SCN1B,RBM4,CIDEA,TNFRSF1B,IL7R,AKAP12,LCP1,C3AR1,SLPI,HKDC1,ITGBL1,RETN,IGFBP3,PCP4,YRDC,ANO1,ITGB2,F2RL1,SOX9,HDAC9,EPB41L3,ABCB1,IL2RG,ETV5,DUSP6,TMEM176A,TRIB1,PEG3,AKT2,CA2,IL1B,ALDH1A2,GFPT2,MALL,TNNT2,GADD45G,PPBP,MAP7,CAB39L,MTMR10,WDR33,SPARCL1,VWA5A,ID2,ZNF639,ADGRA2,PLEK2,FBXO4,DCBLD2,LAT2,ZNF277,SCG3,STRN,PLAT,PRELID3B,SNAP91,CCL20,ALDH1A3,MAFB,FUCA1,SPP1,TNFAIP3,ST6GAL1,CPE,SNAP25,BTBD3,APOD,ANKH,TSPAN1,CBR4,MAP3K1,ETV4,CFH,PDCD1LG2,IRF8,SPRY2,PIGR,GALNT3,CSF2,MMD,SDCCAG8,ACE,PTGS2,EMP1,PRRX1,CD37,NGF,PLAUR,PPP1R15A,ADAM8,GLRX,FCER1G,MYCN,PECAM1,NAP1L2
HALLMARK_ESTROGEN_RESPONSE_EARLY,h.all.v2023.2.Hs.symbols,TBC1D30,CA12,ANXA9,CALCR,CCN5,GJA1,BHLHE40,DHCR7,IL17RB,TFF1,FRK,KLF10,CHPT1,GREB1,HES1,PGR,NBL1,ADCY9,RBBP8,SEMA3B,ABHD2,KDM4B,CALB2,TPBG,NHERF1,NRIP1,XBP1,ZNF185,AMFR,RRP12,ELOVL2,NCOR2,EGR3,SFN,RETREG1,CISH,ISG20L2,TFF3,FKBP5,B4GALT1,RHOBTB3,TIAM1,DHRS3,SCNN1A,SVIL,KLF4,MYB,FARP1,STC2,IGFBP4,UGCG,DHRS2,ADCY1,TIPARP,ABCA3,NXT1,PEX11A,KCNK5,SLC1A4,FKBP4,TPD52L1,MYOF,MYBBP1A,PPIF,NAV2,RAB17,SYNGR1,OPN3,TSKU,BAG1,MSMB,SLC24A3,CANT1,SEC14L2,CD44,SLC37A1,CLDN7,ELOVL5,CELSR1,MAST4,PLAAT3,PTGES,SLC2A1,MYBL1,SLC16A1,AR,MYC,EEIG1,FLNB,PMAIP1,RAPGEFL1,SLC27A2,MICB,RPS6KA2,SLC19A2,OVOL2,KLK10,MED13L,TMPRSS3,SLC26A2,SLC7A2,TMEM164,MREG,P2RY2,RHOD,FHL2,FCMR,DEPTOR,SH3BP5,INHBB,THSD4,CCND1,FOXC1,LRIG1,OLFML3,TOB1,TTC39A,RASGRP1,SNX24,UNC119,ENDOD1,BCL2,AFF1,MINDY1,AKAP1,ELF1,FDFT1,IGF1R,KRT15,MUC1,NPY1R,MED24,ADD3,MAPT,TGIF2,KRT8,CBFA2T3,TGM2,OLFM1,JAK2,SLC7A5,FASN,KCNK15,KRT13,AREG,ARL3,IL6ST,ESRP2,LAD1,BLVRB,KRT18,MPPED2,NADSYN1,PRSS23,KAZN,RARA,BCL11B,SLC22A5,SLC39A6,CELSR2,PAPSS2,RET,DLC1,SCARB1,HR,KRT19,GAB2,SLC1A1,CYP26B1,PDLIM3,TJP3,ALDH3B1,CXCL12,ABAT,SULT2B1,MLPH,ASB13,INPP5F,PDZK1,ABLIM1,SYT12,ELF3,FOS,WWC1,SIAH2,SYBU,WFS1,GLA,REEP1,RAB31,TFAP2C,TUBB2B,SOX3,CLIC3,HSPB8,GFRA1,DYNLT3,ITPK1,PODXL,AQP3
HALLMARK_TNFA_SIGNALING_VIA_NFKB,h.all.v2023.2.Hs.symbols,ABCA1,PMEPA1,PLK2,BHLHE40,DUSP1,GADD45A,INHBA,MAP3K8,KLF10,CD83,BMP2,HES1,CXCL10,NFAT5,ICAM1,PER1,BCL3,TNIP1,SERPINE1,SOCS3,TRIP10,PTGER4,TRAF1,IL6,CCL2,SAT1,EGR3,FOSB,IFIT2,SQSTM1,GPR183,ZC3H12A,CD69,B4GALT1,NR4A1,CCRL2,NINJ1,GCH1,PHLDA2,KLF4,IER5,NFKB1,TNFAIP6,TSC22D1,BCL2A1,DUSP4,SLC2A6,PTPRE,TIPARP,BTG3,CDKN1A,LIF,B4GALT5,EHD1,NFKBIA,BIRC2,PNRC1,FOSL2,IL23A,RIPK2,TNIP2,EGR2,G0S2,HBEGF,ICOSLG,CCN1,CFLAR,NAMPT,SDC4,CD44,IER3,SERPINB2,CXCL3,MAP2K3,KLF2,SGK1,TNF,DUSP5,SPHK1,GADD45B,IRF1,RNF19B,PLPP3,MYC,NR4A2,EIF1,TLR2,ETS2,IL15RA,CSF1,BIRC3,STAT5A,MCL1,MARCKS,SNN,RELA,NFIL3,CXCL2,RCAN1,DUSP2,SLC2A3,KLF9,TNFAIP2,GEM,TNFRSF9,JUN,CCND1,CCL4,IL7R,EGR1,ATF3,SOD2,CCL5,FUT4,PTX3,YRDC,CD80,JAG1,F2RL1,KLF6,EFNA1,ZFP36,VEGFA,LITAF,DRAM1,NFKBIE,ATP2B1,TRIB1,IL1B,PLEK,FJX1,SIK1,GFPT2,RELB,TANK,IFNGR2,TUBB2A,OLR1,SPSB1,TGIF1,JUNB,ID2,CXCL6,ACKR3,PANX1,IL18,RHOB,AREG,IL6ST,IER2,MAFF,SLC16A6,CLCF1,DENND5A,IFIH1,MSC,KYNU,PDLIM5,FOSL1,REL,CCL20,BCL6,BTG1,TNC,TNFAIP3,RIGI,SERPINB8,IL12B,KDM6B,TAP1,IRS2,NFKB2,PFKFB3,EDN1,LAMB3,F3,PDE4B,BTG2,CXCL11,CEBPB,FOS,IL1A,CSF2,TNFSF9,PHLDA1,NR4A3,PTGS2,MXD1,ZBTB10,SMAD3,DNAJB4,CEBPD,NFE2L2,PLAUR,TNFAIP8,PPP1R15A,CXCL1,LDLR,CCNL1,PLAU
HALLMARK_APOPTOSIS,h.all.v2023.2.Hs.symbols,BID,GUCY2D,GADD45A,ISG20,HMGB2,AVPR1A,BMP2,ERBB2,MMP2,DNAJA1,CAV1,PPP2R5B,BGN,PPT1,F2R,IFITM3,IL6,MADD,SAT1,EGR3,GSTM1,PLPPR4,IFNGR1,SQSTM1,DPYD,CD69,BNIP3L,IFNB1,CTNNB1,DCN,ETF1,CDKN1B,GCH1,SATB1,ADD1,PRF1,ENO2,BCL2L10,LMNA,PDGFRB,RHOT2,BTG3,CDKN1A,BRCA1,EREG,PPP3R1,SC5D,TIMP1,TIMP2,HSPB1,VDAC2,FAS,PDCD4,CASP9,CFLAR,BCL2L11,AIFM3,GSR,TSPO,CD44,IER3,PEA15,TNF,CASP8,CASP7,CTH,ERBB3,GADD45B,IRF1,APP,BIK,CASP6,CCND2,FEZ1,IGFBP6,TIMP3,GPX3,PMAIP1,DAP3,BAX,XIAP,GNA15,BIRC3,DNM1L,FASLG,MCL1,RELA,RNASEL,FDXR,PSEN2,PTK2,SMAD7,CD38,LGALS3,TOP2A,JUN,CCND1,EBP,ATF3,DFFA,HGF,SOD2,CASP2,NEDD9,BCAP31,SOD1,CCNA1,F2,CD14,BCL10,CDK2,IL1B,SPTAN1,DNAJC3,BCL2L1,CREBBP,TXNIP,CASP4,CASP3,SLC20A1,HMOX1,IL18,GSN,WEE1,NEFH,RHOB,BMF,RARA,KRT18,DDIT3,MGMT,PLAT,IGF2R,GPX4,PLCB2,PAK1,RETSAT,TGFB2,TGFBR3,BCL2L2,LUM,TAP1,TNFSF10,ANKH,CDC25B,TNFRSF12A,BTG2,IL1A,PSEN1,ANXA1,CLU,CASP1,EMP1,DIABLO,CYLD,CD2,LEF1,ROCK1,DAP,H1-0,GPX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_APICAL_JUNCTION,h.all.v2023.2.Hs.symbols,MAP3K20,WASL,INPPL1,SYMPK,ACTC1,CTNNA1,NRAP,MMP2,WNK4,JUP,COL9A1,CDH1,ICAM1,LAMC2,PPP2R2C,THBS3,COL16A1,CALB2,TRAF1,GNAI1,LAYN,NECTIN2,MSN,CDH11,CD276,TMEM8B,ACTB,TJP1,CDH15,RRAS,ADAMTS5,DLG1,IKBKG,NF1,B4GALT1,CDH3,DHX16,ADAM15,FBN1,CLDN4,NRTN,MPZL1,NRXN2,ITGA2,ACTG1,SYK,SKAP2,PARVA,SORBS3,CDH8,FSCN1,TSPAN4,ITGB4,MYH9,CDSN,AMIGO2,CLDN5,EGFR,ACTN1,CDK8,BAIAP2,FLNC,MPZL2,SDC3,NEGR1,CD209,CLDN14,CD86,CLDN7,NECTIN1,CX3CL1,ADAM9,CDH6,MAPK11,PCDH1,AMIGO1,NECTIN4,ACTN3,PALS1,PLCG1,ACTG2,CLDN8,NLGN2,CD34,LIMA1,MMP9,VAV2,TAOK2,CLDN9,CERCAM,GRB7,MDK,ICAM4,DSC1,VCAN,DSC3,CLDN11,ITGB1,NFASC,PTK2,INSIG1,ACTA1,GTF2F1,SHROOM2,COL17A1,RHOF,JAM3,VASP,ALOX15B,ARHGEF6,GAMT,CLDN18,MYL12B,LAMA3,CLDN19,SGCE,YWHAH,ATP1A3,CRB3,ICAM2,MYL9,NEXN,VCL,CNN2,BMP1,STX4,TNFRSF11B,AKT2,FYB1,TIAL1,CTNND1,ITGA10,MADCAM1,HRAS,DMP1,CLDN15,PKD1,EXOC4,NECTIN3,KCNH2,ITGA9,VWF,SLIT2,CLDN6,TSC1,HADH,KRT31,SHC1,MAPK13,MAP4K2,SIRPA,ACTN4,RASA1,ZYX,PIK3R3,ARPC2,TUBG1,ADRA1B,MAPK14,CNTN1,NHERF4,SRC,EPB41L2,CD274,RAC2,PTPRC,CADM2,TGFBI,LAMB3,ITGA3,PFN1,RSU1,SPEG,TRO,CAP1,CD99,GNAI2,PARD6G,NLGN3,ICAM5,THY1,MVD,PBX2,VCAM1,SLC30A3,EVL,IRS1,CDH4,LDLRAP1,CADM3,PECAM1,PTEN,AKT3,CRAT,PIK3CB,ACTN2,MYH10,ADAM23,NF2,AMH
HALLMARK_HYPOXIA,h.all.v2023.2.Hs.symbols,CA12,JMJD6,CCN5,NDRG1,INHA,KDELR3,BHLHE40,DUSP1,CDKN1C,PLIN2,VHL,ISG20,BCAN,EDN2,NR3C1,PIM1,ADM,IGFBP1,RBPJ,CAV1,ANKZF1,GYS1,PGM2,SERPINE1,TPBG,BGN,KLHL24,ERO1A,ENO3,IL6,CHST3,MXI1,NDST2,TPD52,CAVIN1,EFNA3,ENO1,BNIP3L,DCN,CDKN1B,RORA,SLC25A1,GCK,ENO2,CAVIN3,STC2,UGP2,SDC2,TIPARP,PDGFB,CDKN1A,AMPD3,GCNT2,LOX,PNRC1,PHKG1,FOSL2,ANGPTL4,GALK1,HEXA,CXCR4,MYH9,GPC3,WSB1,EGFR,FBP1,SDC3,CCN1,PPARGC1A,SDC4,IER3,SLC6A6,LDHA,COL5A1,PGK1,TPST2,CHST2,GBE1,SLC2A1,ETS1,TGFB3,TPI1,KIF5A,CCN2,GPC1,CASP6,PGF,NDST1,HK1,HOXB9,SELENBP1,PKLR,TKTL1,PLAC8,PRKCA,HSPA5,NAGK,SLC2A5,GRHPR,PGAM2,XPNPEP1,ALDOB,ALDOC,NFIL3,HDLBP,PFKL,LARGE1,GPI,SRPX,SLC2A3,B3GALT6,GAPDHS,JUN,PFKP,EXT1,AKAP12,SLC37A4,PPFIA4,ATF3,BRS3,S100A4,BCL2,IGFBP3,NOCT,KLF6,FOXO3,ERRFI1,EFNA1,CP,ZFP36,KDM3A,VEGFA,ANXA2,ATP7A,HK2,ILVBL,PCK1,GAA,HAS1,LDHC,PDK1,DDIT4,PKP1,TGM2,DTNA,KLF7,MIF,NEDD4L,CCNG2,PDK3,LALBA,HMOX1,PYGM,ACKR3,P4HA1,ZNF292,NCAN,DPYSL4,HS3ST1,CITED2,GPC4,DDIT3,GAPDH,MAFF,PRDX5,TES,SCARB1,BTG1,VLDLR,TNFAIP3,P4HA2,PPP1R3C,STBD1,RRAGD,MT2A,SAP30,PGM1,SULT2B1,IRS2,PFKFB3,TGFBI,MAP3K1,FAM162A,MT1E,F3,FOS,STC1,B4GALNT2,SIAH2,IDS,LXN,AK4,ADORA2B,ALDOA,PLAUR,PAM,CSRP2,GLRX,PPP1R15A,TMEM45A
HALLMARK_MYC_TARGETS_V1,h.all.v2023.2.Hs.symbols,HNRNPC,NCBP2,PCNA,STARD7,DDX18,ERH,TFDP1,EIF1AX,TOMM70,CCT5,EPRS1,MCM6,RAD23B,EIF3B,SLC25A3,HNRNPR,ODC1,CCT7,MCM2,CDK4,FBL,RSL1D1,GNL3,CCNA2,VDAC1,AIMP2,PSMD1,PPIA,RPS3,RPS10,CYC1,COPS5,PA2G4,NHP2,UBA2,EIF4A1,HDGF,LSM7,MRPS18B,TYMS,RANBP1,ETF1,DUT,RPS6,NAP1L1,PSMA6,PRDX3,NDUFAB1,SRSF2,PSMB2,ORC2,PABPC4,CDC20,PSMD7,RRP9,GSPT1,ILF2,UBE2L3,COX5A,NOP56,RPL34,EIF3J,EXOSC7,IMPDH2,NPM1,PRDX4,XPOT,CUL1,PRPF31,PSMA2,HNRNPD,PSMB3,MCM7,LDHA,PGK1,CCT3,TXNL4A,PABPC1,SF3A1,ACP1,UBE2E1,PPM1G,EEF1B2,RPL6,RFC4,MYC,IFRD1,EIF2S1,RNPS1,SERBP1,HPRT1,PRPS2,NOP16,USP1,CCT4,CNBP,EIF4G2,HNRNPA3,PHB1,RPS2,CCT2,U2AF1,VBP1,TCP1,EIF3D,POLD2,TUFM,PTGES3,SNRPG,SRPK1,HNRNPA2B1,XRCC6,LSM2,APEX1,CBX3,PSMA7,HDAC2,CSTF2,MCM5,PSMD3,HSP90AB1,RPLP0,DEK,RPS5,SSBP1,RPL14,PSMA1,PSMD14,ABCE1,SNRPD3,FAM120A,MRPL9,TRA2B,SRSF1,GLO1,MRPL23,SNRPA,CDK2,EIF2S2,NCBP1,RPL22,MCM4,PWP1,RRM1,G3BP1,KPNA2,NOLC1,POLE3,SNRPA1,H2AZ1,EIF4E,YWHAQ,DDX21,AP3S1,MAD2L1,SSB,GOT2,SRSF3,SET,TRIM28,BUB3,HNRNPA1,HSPE1,CAD,RPL18,CLNS1A,C1QBP,SNRPD2,PSMC6,SRM,PHB2,RAN,CANX,PCBP1,YWHAE,TARDBP,HNRNPU,SMARCC1,NME1,KPNB1,DHX15,SNRPB2,EIF4H,SNRPD1,SRSF7,RACK1,HSPD1,PSMD8,CDC45,CTPS1,IARS1,SYNCRIP,KARS1,PSMA4,PSMC4,RUVBL2,HDDC2,SF3B3,VDAC3,XPO1
HALLMARK_ALLOGRAFT_REJECTION,h.all.v2023.2.Hs.symbols,IFNG,NCK1,SOCS5,CCR1,INHBA,TLR1,IRF7,LCK,UBE2D1,IL9,CD96,IL2,ICAM1,CFP,CXCR3,MBL2,BCL3,GALNT1,IL27RA,LYN,PRKCB,CD8B,AARS1,F2R,IL6,CCL2,RPL3L,IL16,HLA-G,TPD52,NLRP3,CD1D,IFNGR1,TAP2,ITGAL,CD8A,TAPBP,HLA-DOA,CCND3,GBP2,EIF3A,RPS19,PRF1,FLNA,KLRD1,ELF4,LIF,BRCA1,EREG,TIMP1,WAS,RPL9,PRKCG,HLA-DOB,IL12RB1,IL11,UBE2N,MTIF2,CARTPT,CD7,EIF4G3,FAS,CCL22,HLA-E,EIF3J,IFNAR2,RARS1,RIPK2,CDKN2A,EGFR,APBB1,ICOSLG,MAP4K1,NPM1,GZMA,HLA-DQA1,HLA-DRA,IKBKB,IL4,C2,CCR2,CD86,HIF1A,TNF,ETS1,CTSS,HLA-A,IGSF6,GZMB,LCP2,LY75,RPS3A,STAT1,TRAF2,CCND2,SPI1,CCL11,IL12A,IL18RAP,RPS9,CAPG,IL15,TLR2,LTB,ABI1,MMP9,CSF1,CD40,FASLG,B2M,EIF3D,ZAP70,PTPN6,ITK,IL2RB,LY86,HLA-DMA,DEGS1,RPL39,DYRK3,CXCL13,CD28,CD3D,MRPL3,HLA-DMB,INHBB,CCL13,CCL4,ACHE,IL10,TRAT1,FCGR2B,TLR3,CCL7,ACVR2A,ELANE,WARS1,CCL5,EIF5A,CD40LG,CD80,ITGB2,HDAC9,ABCE1,IL2RA,AKT1,IL2RG,CD74,F2,BCL10,PSMB10,GLMN,FYB1,IL1B,MAP3K7,IFNGR2,CD4,CD79A,FGR,SIT1,IRF4,DARS1,JAK2,NCR1,STAT4,ST8SIA4,NCF4,IL18,CD247,GPR65,CD3G,KRT1,CSK,NOS2,CD3E,CCR5,SRGN,SOCS1,IL4R,IL7,IL13,TGFB2,HCLS1,IL12B,TAP1,PTPRC,NME1,CCL19,PF4,IRF8,CRTAM,TLR6,TGFB1,THY1,CXCL9,STAB1,BCAT1,CD2,CD47,GCNT1
HALLMARK_UV_RESPONSE_UP,h.all.v2023.2.Hs.symbols,BID,CDKN1C,PTPRD,DGAT1,GRPEL1,BMP2,DNAJA1,TCHH,ICAM1,GLS,FGF18,SLC6A8,NUP58,LYN,IGFBP2,GRINA,PPP1R2,PPT1,TST,CDKN2B,RRAD,WIZ,IL6,HTR7,FOSB,E2F5,MAOA,CLCN2,SQSTM1,MARK2,CNP,CCND3,NR4A1,FURIN,ALAS1,GCH1,SLC6A12,PPAT,ENO2,BTG3,MAPK8IP2,CEBPG,NFKBIA,NKX2-5,FKBP4,APOM,EPHX1,PPIF,CYB5R1,EIF5,MGAT1,CCNE1,BCL2L11,YKT6,ONECUT1,HLA-F,PRKACA,SIGMAR1,CDC34,IRF1,RFC4,KLHDC3,NAT1,PRPF3,GPX3,POLG2,BSG,TFRC,SULT1A1,HYAL2,NPTX2,H2AX,TARS1,SHOX2,CXCL2,DLG4,PSMC3,FEN1,PLCL1,PARP2,FMO1,RAB27A,STIP1,LHX2,ATF3,ACAA1,RASGRP1,SOD2,CDO1,TACR3,NXF1,ABCB1,MRPL23,UROD,CDK2,PRKCD,CA2,ASNS,NTRK3,CHKA,POLE3,POLR2H,OLFM1,CASP3,CREG1,JUNB,KCNH2,HMOX1,DDX21,GGH,PDAP1,SLC25A4,CHRNA5,NPTXR,ATP6V1C1,AMD1,HSPA2,BAK1,IL6ST,RHOB,TYRO3,MMP14,HSPA13,CYP1A1,STARD3,RET,CCK,CYB5B,BTG1,PDLIM3,AGO2,ATP6V1F,HNRNPU,AP2S1,TAP1,CTSV,EPCAM,RPN1,CDC5L,BTG2,FOS,EIF2S3,RXRB,TMBIM6,DNAJB1,COL2A1,TGFBRAP1,C4BPB,MSX1,SELENOW,CLTB,ALDOA,SPR,STK25,TUBA4A,ARRB2,GAL,AQP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALLMARK_UV_RESPONSE_DN,h.all.v2023.2.Hs.symbols,PRDM2,SCN8A,GJA1,BCKDHB,BHLHE40,DUSP1,KCNMA1,MGLL,DBP,KIT,PRKAR2B,MAP2K5,NR3C1,ERBB2,BMPR1A,FZD2,ATXN1,CAV1,SFMBT1,HAS2,DYRK1A,CAP2,SERPINE1,SYNE1,SLC22A18,PPARG,FYN,TJP1,PLCB4,DLG1,CACNA1A,RXRA,MET,CDKN1B,FBLN5,NFKB1,ARHGEF9,CDC42BPA,TFPI,KALRN,PDGFRB,TENT4A,ATP2B4,SDC2,SIPA1L1,COL1A2,SRI,PEX14,DMAC2L,GRK5,BDNF,ZMIZ1,CCN1,PHF3,PRKCE,PMP22,COL11A1,NFIB,MRPS31,EFEMP1,PLPP3,NEK7,NRP1,MYC,RBPMS,MIOS,SCAF8,MTA1,VAV2,SPOP,SYNJ2,PRKCA,CELF2,ID1,ATRN,MMP16,INSIG1,TGFBR2,FHL2,SMAD7,APBB2,ABCC1,IGFBP5,COL5A2,CDON,ACVR2A,NIPBL,PTGFR,NOTCH2,AGGF1,ANXA2,ATRX,IGF1R,ATP2B1,COL1A1,PIAS3,ADD3,ICA1,LAMC1,RND3,SCHIP1,TOGARAM1,CITED2,SLC7A1,MGMT,LTBP1,DLC1,RUNX1,PDLIM5,PIK3R3,ITGB3,PTPN21,RGS4,DAB2,VLDLR,ANXA4,MAPK14,INPP4B,TGFBR3,LPAR1,MAGI2,ATP2C1,YTHDC1,MT1E,F3,SNAI2,PTPRM,MAP1B,WDR37,AMPH,SMAD3,ADORA2B,IRS1,CDK13,LDLR,AKT3,NR1D2,PTEN,RASA2,DDAH1,ADGRL2,COL3A1,PIK3CD,GCNT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
