PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,20,326,19938,20/473,326/19938,0.06134969325153374,2.586025759088964,4.500817102236764,0.00011155118005912769,0.0001474415597303253,CCL27/ADORA1/CCL20/GAL/C5AR1/PTGER4/CCL2/CXCR4/OXTR/LPAR3/CXCL12/CXCL5/GPER1/PTGDR/S1PR3/AGTR1/CCR7/GPR132/KISS1R/CXCR2,Driver,Reactome_2022
VEGFA-VEGFR2 Pathway R-HSA-4420097,18,93,19938,18/473,93/19938,0.1935483870967742,8.158494168996794,10.786259610920954,5.814389495201296e-12,3.047542080243438e-11,VEGFA/PIK3CA/CTNNB1/PIK3R1/RHOA/THEM4/HRAS/NRAS/PTK2B/WASF3/RICTOR/MAPK14/MTOR/AKT1/NCK1/SRC/PTK2/CDC42,Driver,Reactome_2022
RAF/MAP Kinase Cascade R-HSA-5673001,28,270,19938,28/473,270/19938,0.1037037037037037,4.37134132017853,8.6943631589647,6.690621163169423e-11,2.824928935560423e-10,SPTBN2/FGFR2/ERBB2/PIK3R1/AREG/NRAS/BRAF/FGFR1/MAP3K11/ERBB3/PIK3CA/NRG1/FGF19/SRC/PTK2/MAPK1/EGFR/RET/DAB2IP/NF1/RASAL2/KIT/DUSP4/HRAS/EGF/SHC1/ICMT/FGFR4,Driver,Reactome_2022
Signaling By FGFR4 R-HSA-5654743,10,40,19938,10/473,40/19938,0.25,10.538054968287527,9.412790097193529,2.3005566542484513e-08,5.471016156874493e-08,MAPK1/PIK3CA/PIK3R1/HRAS/NRAS/SHC1/FGF19/BRAF/SRC/FGFR4,Driver,Reactome_2022
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,10,24,19938,10/473,24/19938,0.4166666666666667,17.56342494714588,12.656388119558805,7.482252238399402e-11,2.9929008953597607e-10,FOS/MAPK1/EGFR/AREG/EGF/CCND1/BCL2/CDKN1B/AKT1/PTK2,Driver,Reactome_2022
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,14,130,19938,14/473,130/19938,0.1076923076923077,4.539469832493089,6.311358478931371,2.622590134613325e-06,4.380590114958521e-06,MAP3K1/FOS/MAP2K7/TRAF6/GAB2/NFATC1/PIK3CA/RELA/PIK3R1/MAPK1/HRAS/NRAS/NFATC2/SHC1,Driver,Reactome_2022
Toll-like Receptor Cascades R-HSA-168898,17,162,19938,17/473,162/19938,0.10493827160493827,4.423381097799703,6.819881047084521,3.2682851346414904e-07,6.368965903403929e-07,IKBKE/MAP3K1/FOS/NFKB2/MAP2K7/TRAF6/TLR3/MAPK1/RELA/DUSP4/CASP8/ITGAM/MAPK14/CTSV/MYD88/TP53/TLR4,Driver,Reactome_2022
Signaling By ERBB2 KD Mutants R-HSA-9664565,10,24,19938,10/473,24/19938,0.4166666666666667,17.56342494714588,12.656388119558805,7.482252238399402e-11,2.9929008953597607e-10,ERBB3/PIK3CA/PIK3R1/ERBB2/EGFR/HRAS/NRAS/EGF/SHC1/NRG1,Driver,Reactome_2022
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,10,84,19938,10/473,84/19938,0.11904761904761904,5.018121413470251,5.752703100717866,2.95083450475111e-05,4.271684235449226e-05,E2F1/CDKN1A/LIN9/CCND1/CDK4/PTK6/RB1/CDKN1B/AKT1/MYC,Driver,Reactome_2022
MyD88-independent TLR4 Cascade R-HSA-166166,12,107,19938,12/473,107/19938,0.11214953271028037,4.727351761474779,6.026334480630476,8.915601679667481e-06,1.382828015621895e-05,IKBKE/FOS/TRAF6/NFKB2/MAP2K7/MAPK1/RELA/DUSP4/CASP8/MAPK14/TP53/TLR4,Driver,Reactome_2022
