Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Regulation,Project ID
A1CF,15.3210009610634,2.79941713885918,0.415460323154316,6.73810947241618,1.6046065973103198e-11,9.300421948381869e-11,Upregulated,Project_TCGA-PRAD
ABCG2,815.589268695218,-2.84247191184884,0.152321853756662,-18.6609592894645,1.0286786138596598e-77,8.35715650543151e-75,Downregulated,Project_TCGA-PRAD
AC000093.1,22.4324678652162,2.78530097534676,0.225223556372292,12.3668279651116,3.95119169045566e-35,3.81387799903487e-33,Upregulated,Project_TCGA-PRAD
AC005041.1,5.94853674015469,-2.52771621544955,0.182310098668125,-13.8649270332028,1.03331125217496e-43,1.83159116317341e-41,Downregulated,Project_TCGA-PRAD
AC005726.1,7.22970040229451,4.84040752998905,0.592426182095221,8.17048212297115,3.07159461208798e-16,3.18225035847457e-15,Upregulated,Project_TCGA-PRAD
AC010255.2,63.1042455388531,3.3382942405485,0.359881165546765,9.27610155834817,1.75793030234504e-20,3.17077937420199e-19,Upregulated,Project_TCGA-PRAD
AC010980.1,5.70347411817492,-3.04190168078494,0.260081468694534,-11.6959570247493,1.3367172137669402e-31,8.658907718946089e-30,Downregulated,Project_TCGA-PRAD
AC013470.2,13.542230027334,2.50661576001813,0.265393825763922,9.44489101358322,3.55774368890665e-21,7.028255972269691e-20,Upregulated,Project_TCGA-PRAD
AC090517.4,1.07592470005037,2.18574926657508,0.442768884444901,4.93654668013845,7.9518011158942e-07,2.54379357108622e-06,Upregulated,Project_TCGA-PRAD
AC113554.1,6.80970254995813,2.40137013517455,0.329514076423856,7.28761017203299,3.1550128423309e-13,2.25087597511042e-12,Upregulated,Project_TCGA-PRAD
ACSL6,160.959076644158,-4.95265696880307,0.195566545925667,-25.3246635070475,1.70929997762329e-141,1.1109310321233e-137,Downregulated,Project_TCGA-PRAD
ACSM1,5016.99253808227,2.83797780551546,0.246511468434829,11.5125589228549,1.14043387145091e-30,6.905645846444049e-29,Upregulated,Project_TCGA-PRAD
ACTC1,1262.71417473519,-2.67795002024881,0.306188773786798,-8.74607513243935,2.20902053854762e-18,3.00149703558199e-17,Downregulated,Project_TCGA-PRAD
