Gene Name,Source
A1CF,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ABCG2,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AC000093.1,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AC005041.1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AC005726.1,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AC010255.2,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AC010980.1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AC013470.2,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AC090517.4,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AC113554.1,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ACSL6,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ACSM1,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ACTC1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ADAM18,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ADAM2,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ADAMTS18,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ADCY8,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ADGRD2,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ADGRG4,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ADRA1A,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ADRB3,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ADTRP,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AFP,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AGXT2,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AHSG,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AKAP14,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AKR1B1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AKR1C4,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AKR1D1,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AL354761.1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ALB,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AMACR,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AMELX,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AMH,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ANGPT1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ANGPTL3,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ANKRD30A,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ANKRD34B,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ANKRD66,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ANO1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
ANXA10,GDC_DEGs_Upregulated_Project_TCGA-PRAD
ANXA13,GDC_DEGs_Downregulated_Project_TCGA-PRAD
AOX1,GDC_DEGs_Downregulated_Project_TCGA-PRAD
APCS,GDC_DEGs_Upregulated_Project_TCGA-PRAD
APOA2,GDC_DEGs_Upregulated_Project_TCGA-PRAD
APOBEC3C,GDC_DEGs_Downregulated_Project_TCGA-PRAD
APOBEC4,GDC_DEGs_Upregulated_Project_TCGA-PRAD
APOC1,GDC_DEGs_Upregulated_Project_TCGA-PRAD
APOC3,GDC_DEGs_Upregulated_Project_TCGA-PRAD
APOF,GDC_DEGs_Upregulated_Project_TCGA-PRAD
APOH,GDC_DEGs_Upregulated_Project_TCGA-PRAD
AQP2,GDC_DEGs_Downregulated_Project_TCGA-PRAD
