Node List,Source
PTEN,Tumor_Suppressor_CancerMine
NKX3-1,Tumor_Suppressor_CancerMine
TP53,Tumor_Suppressor_CancerMine
SPOP,Tumor_Suppressor_CancerMine
KLF6,Tumor_Suppressor_CancerMine
FOXO1,Tumor_Suppressor_CancerMine
SERPINB5,Tumor_Suppressor_CancerMine
FOXP3,Tumor_Suppressor_CancerMine
CHD1,Tumor_Suppressor_CancerMine
ALDH1A2,Tumor_Suppressor_CancerMine
ANXA7,Tumor_Suppressor_CancerMine
DAB2IP,Tumor_Suppressor_CancerMine
ZFHX3,Tumor_Suppressor_CancerMine
PRUNE2,Tumor_Suppressor_CancerMine
WWOX,Tumor_Suppressor_CancerMine
AR,Tumor_Suppressor_CancerMine
ID4,Tumor_Suppressor_CancerMine
CDKN2A,Tumor_Suppressor_CancerMine
ATF3,Tumor_Suppressor_CancerMine
INPP4B,Tumor_Suppressor_CancerMine
EAF2,Tumor_Suppressor_CancerMine
SLC39A1,Tumor_Suppressor_CancerMine
NGFR,Tumor_Suppressor_CancerMine
KLF5,Tumor_Suppressor_CancerMine
GLIPR1,Tumor_Suppressor_CancerMine
BRCA2,Tumor_Suppressor_CancerMine
BRCA1,Tumor_Suppressor_CancerMine
RB1,Tumor_Suppressor_CancerMine
RARRES1,Tumor_Suppressor_CancerMine
SMAD4,Tumor_Suppressor_CancerMine
KLF4,Tumor_Suppressor_CancerMine
IQGAP2,Tumor_Suppressor_CancerMine
ZBTB7A,Tumor_Suppressor_CancerMine
DACH1,Tumor_Suppressor_CancerMine
SCARA3,Tumor_Suppressor_CancerMine
CDKN1B,Tumor_Suppressor_CancerMine
CDKN1A,Tumor_Suppressor_CancerMine
KDM5D,Tumor_Suppressor_CancerMine
PAX6,Tumor_Suppressor_CancerMine
PAWR,Tumor_Suppressor_CancerMine
NDRG1,Tumor_Suppressor_CancerMine
MAP3K7,Tumor_Suppressor_CancerMine
HMGCS2,Tumor_Suppressor_CancerMine
GPX3,Tumor_Suppressor_CancerMine
FOXP1,Tumor_Suppressor_CancerMine
EPHB2,Tumor_Suppressor_CancerMine
