Node List,Source
MYC,Oncogene_CancerMine
ERG,Oncogene_CancerMine
AR,Oncogene_CancerMine
EZH2,Oncogene_CancerMine
ERBB2,Oncogene_CancerMine
PTEN,Oncogene_CancerMine
SPOP,Oncogene_CancerMine
EGFR,Oncogene_CancerMine
KRAS,Oncogene_CancerMine
TMPRSS2,Oncogene_CancerMine
MYCN,Oncogene_CancerMine
AKT1,Oncogene_CancerMine
PIM1,Oncogene_CancerMine
BCL2,Oncogene_CancerMine
PTGDR,Oncogene_CancerMine
STAT3,Oncogene_CancerMine
SOX4,Oncogene_CancerMine
NKX3-1,Oncogene_CancerMine
FASN,Oncogene_CancerMine
TPD52,Oncogene_CancerMine
TRIM24,Oncogene_CancerMine
MDM2,Oncogene_CancerMine
FOXA1,Oncogene_CancerMine
ETV1,Oncogene_CancerMine
EGR1,Oncogene_CancerMine
ADGRF1,Oncogene_CancerMine
SRC,Oncogene_CancerMine
NRAS,Oncogene_CancerMine
MTDH,Oncogene_CancerMine
VAV3,Oncogene_CancerMine
TP53,Oncogene_CancerMine
AXL,Oncogene_CancerMine
HGF,Oncogene_CancerMine
WWP1,Oncogene_CancerMine
CCND1,Oncogene_CancerMine
SKP2,Oncogene_CancerMine
RUNX2,Oncogene_CancerMine
LMO2,Oncogene_CancerMine
PPARG,Oncogene_CancerMine
PI3,Oncogene_CancerMine
PNP,Oncogene_CancerMine
NCOA2,Oncogene_CancerMine
GLI1,Oncogene_CancerMine
FOXM1,Oncogene_CancerMine
FOS,Oncogene_CancerMine
TRIM59,Oncogene_CancerMine
PELP1,Oncogene_CancerMine
DEK,Oncogene_CancerMine
UBE2T,Oncogene_CancerMine
KDM5B,Oncogene_CancerMine
CDKN2A,Oncogene_CancerMine
CDK8,Oncogene_CancerMine
METTL3,Oncogene_CancerMine
YAP1,Oncogene_CancerMine
SIRT6,Oncogene_CancerMine
TWIST1,Oncogene_CancerMine
SMARCA5,Oncogene_CancerMine
BRAF,Oncogene_CancerMine
PTOV1,Oncogene_CancerMine
PLK1,Oncogene_CancerMine
YBX1,Oncogene_CancerMine
NR2F2,Oncogene_CancerMine
NR2E1,Oncogene_CancerMine
ATF3,Oncogene_CancerMine
ATF2,Oncogene_CancerMine
NFKB1,Oncogene_CancerMine
NCOA3,Oncogene_CancerMine
ASAH1,Oncogene_CancerMine
MGMT,Oncogene_CancerMine
MEN1,Oncogene_CancerMine
MCM7,Oncogene_CancerMine
KIT,Oncogene_CancerMine
IL6,Oncogene_CancerMine
APC,Oncogene_CancerMine
HPN,Oncogene_CancerMine
HOXB13,Oncogene_CancerMine
MNX1,Oncogene_CancerMine
MTOR,Oncogene_CancerMine
EGF,Oncogene_CancerMine
YTHDF2,Oncogene_CancerMine
E2F5,Oncogene_CancerMine
MIEN1,Oncogene_CancerMine
KDM8,Oncogene_CancerMine
CTNNB1,Oncogene_CancerMine
FLVCR1,Oncogene_CancerMine
TBC1D3,Oncogene_CancerMine
CD274,Oncogene_CancerMine
GOLM1,Oncogene_CancerMine
ING3,Oncogene_CancerMine
WWOX,Oncogene_CancerMine
NSD2,Oncogene_CancerMine
VEGFA,Oncogene_CancerMine
USP7,Oncogene_CancerMine
TRAF6,Oncogene_CancerMine
BRCA2,Oncogene_CancerMine
BECN1,Oncogene_CancerMine
HOXA13,Oncogene_CancerMine
MARK2,Oncogene_CancerMine
RET,Oncogene_CancerMine
BCL2L1,Oncogene_CancerMine
RARB,Oncogene_CancerMine
RAF1,Oncogene_CancerMine
RAD9A,Oncogene_CancerMine
PTP4A2,Oncogene_CancerMine
PTK6,Oncogene_CancerMine
PSMD12,Oncogene_CancerMine
PSCA,Oncogene_CancerMine
PPARA,Oncogene_CancerMine
PML,Oncogene_CancerMine
PDGFB,Oncogene_CancerMine
