Gene_Hugo_ID,Gene_Name,Role,Cancer_ID,Cancer_Name,TCGA_based_Cancer_Type
HGNC:644,AR,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9588,PTEN,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7553,MYC,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3446,ERG,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7559,MYCN,Driver,DOID:10283,prostate cancer,Prostate
HGNC:391,AKT1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11998,TP53,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11254,SPOP,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5021,FOXA1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3527,EZH2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6018,IL6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11876,TMPRSS2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7553,MYC,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:8139,ONECUT2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3688,FGFR1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1097,BRAF,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9588,PTEN,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:8947,PI3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11204,SOX9,Driver,DOID:10283,prostate cancer,Prostate
HGNC:644,AR,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:9413,PRKDC,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6770,SMAD4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3818,FOXM1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3430,ERBB2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3236,EGFR,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1915,CHD1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1748,CDH1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16262,YAP1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:12766,NSD2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11530,TACSTD2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1101,BRCA2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10894,PRMT5,Driver,DOID:10283,prostate cancer,Prostate
HGNC:644,AR,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:1383,CA9,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:11283,SRC,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:9884,RB1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9801,RAC1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9591,PTGDR,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9445,PRL,Driver,DOID:10283,prostate cancer,Prostate
HGNC:8975,PIK3CA,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7838,NKX3-1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7410,MTA1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6866,MAP4K4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6859,MAP3K7,Driver,DOID:10283,prostate cancer,Prostate
HGNC:583,APC,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4805,HAGH,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4638,GSTP1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4171,GATA2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4019,FUT8,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3796,FOS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3788,FOLH1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3594,FASN,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3490,ETV1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3287,EIF4E,Driver,DOID:10283,prostate cancer,Prostate
HGNC:30257,PYGO2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:24502,WDR62,Driver,DOID:10283,prostate cancer,Prostate
HGNC:24357,CDCP1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:24224,CDK12,Driver,DOID:10283,prostate cancer,Prostate
HGNC:22978,KDM4A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:21478,RFX6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1857,CENPF,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1784,CDKN1A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:17294,DAB2IP,Driver,DOID:10283,prostate cancer,Prostate
HGNC:1722,CDK1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16904,CRISP3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16734,MEX3D,Driver,DOID:10283,prostate cancer,Prostate
HGNC:16264,TRAP1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:13853,ZKSCAN3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:13533,ATP8A2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11973,TNS1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11366,STAT5A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:11195,SOX2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:10452,RRM2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7881,NOTCH1,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:6770,SMAD4,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:5981,IL17A,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:4909,HIC1,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:391,AKT1,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:3688,FGFR1,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:3527,EZH2,Driver,DOID:2526,prostate adenocarcinoma,Prostate
