Node List,Source
AR,Driver_CancerMine
PTEN,Driver_CancerMine
MYC,Driver_CancerMine
ERG,Driver_CancerMine
MYCN,Driver_CancerMine
AKT1,Driver_CancerMine
TP53,Driver_CancerMine
SPOP,Driver_CancerMine
FOXA1,Driver_CancerMine
EZH2,Driver_CancerMine
IL6,Driver_CancerMine
TMPRSS2,Driver_CancerMine
ONECUT2,Driver_CancerMine
FGFR1,Driver_CancerMine
BRAF,Driver_CancerMine
PI3,Driver_CancerMine
SOX9,Driver_CancerMine
PRKDC,Driver_CancerMine
SMAD4,Driver_CancerMine
FOXM1,Driver_CancerMine
ERBB2,Driver_CancerMine
EGFR,Driver_CancerMine
CHD1,Driver_CancerMine
CDH1,Driver_CancerMine
YAP1,Driver_CancerMine
NSD2,Driver_CancerMine
TACSTD2,Driver_CancerMine
BRCA2,Driver_CancerMine
PRMT5,Driver_CancerMine
CA9,Driver_CancerMine
SRC,Driver_CancerMine
RB1,Driver_CancerMine
RAC1,Driver_CancerMine
PTGDR,Driver_CancerMine
PRL,Driver_CancerMine
PIK3CA,Driver_CancerMine
NKX3-1,Driver_CancerMine
MTA1,Driver_CancerMine
MAP4K4,Driver_CancerMine
MAP3K7,Driver_CancerMine
APC,Driver_CancerMine
HAGH,Driver_CancerMine
GSTP1,Driver_CancerMine
GATA2,Driver_CancerMine
FUT8,Driver_CancerMine
FOS,Driver_CancerMine
FOLH1,Driver_CancerMine
FASN,Driver_CancerMine
ETV1,Driver_CancerMine
EIF4E,Driver_CancerMine
PYGO2,Driver_CancerMine
WDR62,Driver_CancerMine
CDCP1,Driver_CancerMine
CDK12,Driver_CancerMine
KDM4A,Driver_CancerMine
RFX6,Driver_CancerMine
CENPF,Driver_CancerMine
CDKN1A,Driver_CancerMine
DAB2IP,Driver_CancerMine
CDK1,Driver_CancerMine
CRISP3,Driver_CancerMine
MEX3D,Driver_CancerMine
TRAP1,Driver_CancerMine
ZKSCAN3,Driver_CancerMine
ATP8A2,Driver_CancerMine
TNS1,Driver_CancerMine
STAT5A,Driver_CancerMine
SOX2,Driver_CancerMine
RRM2,Driver_CancerMine
NOTCH1,Driver_CancerMine
IL17A,Driver_CancerMine
HIC1,Driver_CancerMine
SRRM4,Driver_CancerMine
PTK2,Driver_CancerMine
HGF,Driver_CancerMine
ESR1,Driver_CancerMine
EPHA2,Driver_CancerMine
CHD1L,Driver_CancerMine
RELA,Driver_CancerMine
RAMP1,Driver_CancerMine
RAD9A,Driver_CancerMine
PTGS2,Driver_CancerMine
PSCA,Driver_CancerMine
PRSS3,Driver_CancerMine
PRDX1,Driver_CancerMine
PRC1,Driver_CancerMine
PPP3CC,Driver_CancerMine
MED1,Driver_CancerMine
AXL,Driver_CancerMine
SERPINB5,Driver_CancerMine
PGD,Driver_CancerMine
PAK1,Driver_CancerMine
NTRK3,Driver_CancerMine
NTRK2,Driver_CancerMine
NRAS,Driver_CancerMine
NR3C1,Driver_CancerMine
