PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,21,46,19938,21/705,46/19938,0.45652173913043476,12.91082331174838,15.483973520220069,7.454135619299335e-19,3.605721415847121e-18,NFE2L2/MAP2K1/EGFR/SRC/KRAS/CDKN1A/HSP90AA1/NRAS/HRAS/ESR1/RB1/RAF1/EP300/MAPK1/KLF6/NCOR2/CDKN1B/ARNT/MYC/RET/NF1,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_IL_24_SIGNALING_PATHWAY,53,232,19938,53/705,232/19938,0.22844827586206898,6.460711665443874,16.017507869083097,4.159175134593341e-28,4.553202252607447e-27,NFE2L2/PIK3CA/CDH1/CXCR4/IL2/PLCG1/TP53/APC/SOX2/PRF1/SRC/EGFR/MTOR/CASP9/PIK3R1/AKT1/FAS/CCND1/IKBKB/DDIT3/BAX/STAT3/MAP3K1/CDKN1A/CASP3/HOXA9/HSP90AA1/CDKN2A/PRKACA/CHEK2/BRCA2/JUN/PTEN/RB1/KDR/PRDM1/MAPK1/PTPRC/CCNE1/PDGFB/CDKN1B/JAK1/NDRG1/ATM/PDGFRA/CREBBP/MYC/BCL6/CASP8/CTNNB1/KEAP1/BCL2/SF3B1,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_IL_5_SIGNALING_PATHWAY,17,37,19938,17/705,37/19938,0.4594594594594595,12.993904542840713,13.980572221990128,1.4348999787880747e-15,4.307884010427617e-15,KRAS/MAP2K2/BTK/SYK/JAK1/MAP2K1/IL2/JUN/STAT3/RAF1/STAT5B/JAK2/MAPK1/FOXO3/PTPN11/PIK3R1/AKT1,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_SEROTONIN_HTR1_GROUP_AND_FOS_PATHWAY,12,37,19938,12/705,37/19938,0.32432432432432434,9.172167912593444,9.525803986862721,2.8629087062310353e-09,4.16423084542696e-09,PIK3CA/MAP2K2/GNAQ/MAP2K1/CREB1/STAT3/MAP3K1/RHOA/JAK2/MAPK1/ELK4/BRAF,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ALZHEIMER_39_S_DISEASE,32,261,19938,32/705,261/19938,0.12260536398467432,3.4673840384772148,7.682074399965413,9.65524979050741e-10,1.4766852620776039e-09,IRS4/PIK3CA/KIF5B/GRIN2A/MAP2K1/AXIN1/APC/SFRP4/AXIN2/MTOR/CASP9/PIK3R1/AKT1/FAS/KRAS/ARAF/IKBKB/DDIT3/CASP3/MAP2K2/NRAS/GNAQ/HRAS/RAF1/MAPK1/PIK3CB/AKT2/BRAF/AKT3/CASP8/CTNNB1/CACNA1D,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ANGIOGENESIS,12,24,19938,12/705,24/19938,0.5,14.140425531914893,12.332091715600741,6.379307214797179e-12,1.2882484472600128e-11,PIK3CA/FGFR2/PDGFRA/ARNT/PLCG1/CREBBP/KDR/MAPK1/SRC/HIF1A/AKT1/PDGFB,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_PROLACTIN_SIGNALING_PATHWAY,28,74,19938,28/705,74/19938,0.3783783783783784,10.700862564692352,16.0064051540255,5.732731454239856e-22,3.726275445255906e-21,FLNA/PIK3CA/MAP2K1/CBL/VAV1/SRC/MTOR/PTPN11/PIK3R1/SIRPA/AKT1/PTPN6/STAT3/ERBB2/CASP3/JAK2/SOCS1/MAP2K2/RAC1/HRAS/JUN/RAF1/STAT5B/MAPK1/PIK3CB/TEC/JAK1/MYC,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,34,87,19938,34/705,87/19938,0.39080459770114945,11.052286622646124,17.990127527807747,5.8370768388338026e-27,5.781485630844909e-26,NCOA2/FLNA/SMAD3/SRC/EGFR/PIK3R1/MDM2/SMARCE1/AKT1/CCND1/FOXO1/STAT3/DAXX/NCOA1/CALR/RAC1/JUN/PTEN/RHOA/SMAD4/RB1/EP300/ETV5/AR/PATZ1/NCOR2/CCNE1/BRCA1/CREBBP/NCOA4/NCOR1/CTNNB1/KAT7/CREB1,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_AGE_RAGE_PATHWAY,24,66,19938,24/705,66/19938,0.36363636363636365,10.283945841392649,14.46387713389645,1.5310154766233344e-18,6.634400398701115e-18,SMAD3/MAP2K1/SRC/EGFR/HIF1A/CASP9/AKT1/EZR/FOXO1/IKBKB/STAT3/CASP3/JAK2/RAC1/PRKCB/JUN/RHOA/SMAD2/RAF1/STAT5B/MAPK1/MYD88/MSN/CASP8,General,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_HIPPO_MERLIN_SIGNALING_DYSREGULATION,31,120,19938,31/705,120/19938,0.25833333333333336,7.305886524822696,13.265016954772955,1.3368305193006679e-18,5.916186127968913e-18,CDH1/FGFR1/EGFR/CDH17/CCND1/KRAS/CDH10/LATS1/PDGFRB/NF2/PRKACA/FLT4/NRAS/HRAS/KDR/NTRK1/MET/CDH11/FGFR4/LATS2/FGFR3/FGFR2/CSF1R/PDGFRA/MYC/ITGAV/WWTR1/PRKAR1A/KIT/CTNNB1/FLT3,General,c2.cp.wikipathways.v2023.2.Hs.symbols
