Node List,Node Source
NCOA7,c2.cp.wikipathways.v2023.2.Hs.symbols
NFE2L2,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP2K1,c2.cp.wikipathways.v2023.2.Hs.symbols
FGF21,c2.cp.wikipathways.v2023.2.Hs.symbols
EGFR,c2.cp.wikipathways.v2023.2.Hs.symbols
SRC,c2.cp.wikipathways.v2023.2.Hs.symbols
CYP1A2,c2.cp.wikipathways.v2023.2.Hs.symbols
KRAS,c2.cp.wikipathways.v2023.2.Hs.symbols
VEGFA,c2.cp.wikipathways.v2023.2.Hs.symbols
E2F1,c2.cp.wikipathways.v2023.2.Hs.symbols
LPL,c2.cp.wikipathways.v2023.2.Hs.symbols
PLAGL1,c2.cp.wikipathways.v2023.2.Hs.symbols
CDKN1A,c2.cp.wikipathways.v2023.2.Hs.symbols
CYP1A1,c2.cp.wikipathways.v2023.2.Hs.symbols
NF1,c2.cp.wikipathways.v2023.2.Hs.symbols
HSP90AA1,c2.cp.wikipathways.v2023.2.Hs.symbols
GCLC,c2.cp.wikipathways.v2023.2.Hs.symbols
PTGS2,c2.cp.wikipathways.v2023.2.Hs.symbols
NFKB1,c2.cp.wikipathways.v2023.2.Hs.symbols
CDC37,c2.cp.wikipathways.v2023.2.Hs.symbols
NRAS,c2.cp.wikipathways.v2023.2.Hs.symbols
HRAS,c2.cp.wikipathways.v2023.2.Hs.symbols
ESR1,c2.cp.wikipathways.v2023.2.Hs.symbols
AHRR,c2.cp.wikipathways.v2023.2.Hs.symbols
RB1,c2.cp.wikipathways.v2023.2.Hs.symbols
RAF1,c2.cp.wikipathways.v2023.2.Hs.symbols
AHR,c2.cp.wikipathways.v2023.2.Hs.symbols
EP300,c2.cp.wikipathways.v2023.2.Hs.symbols
TNF,c2.cp.wikipathways.v2023.2.Hs.symbols
AIP,c2.cp.wikipathways.v2023.2.Hs.symbols
MAPK1,c2.cp.wikipathways.v2023.2.Hs.symbols
KLF6,c2.cp.wikipathways.v2023.2.Hs.symbols
HPGDS,c2.cp.wikipathways.v2023.2.Hs.symbols
CYP1B1,c2.cp.wikipathways.v2023.2.Hs.symbols
NCOR2,c2.cp.wikipathways.v2023.2.Hs.symbols
NRIP1,c2.cp.wikipathways.v2023.2.Hs.symbols
NQO1,c2.cp.wikipathways.v2023.2.Hs.symbols
CDKN1B,c2.cp.wikipathways.v2023.2.Hs.symbols
CCL1,c2.cp.wikipathways.v2023.2.Hs.symbols
ARNT,c2.cp.wikipathways.v2023.2.Hs.symbols
MYC,c2.cp.wikipathways.v2023.2.Hs.symbols
RET,c2.cp.wikipathways.v2023.2.Hs.symbols
CD36,c2.cp.wikipathways.v2023.2.Hs.symbols
PSRC1,c2.cp.wikipathways.v2023.2.Hs.symbols
CDK2,c2.cp.wikipathways.v2023.2.Hs.symbols
RELA,c2.cp.wikipathways.v2023.2.Hs.symbols
PIK3CA,c2.cp.wikipathways.v2023.2.Hs.symbols
CDKN2B,c2.cp.wikipathways.v2023.2.Hs.symbols
NDUFA13,c2.cp.wikipathways.v2023.2.Hs.symbols
IL2,c2.cp.wikipathways.v2023.2.Hs.symbols
SOD1,c2.cp.wikipathways.v2023.2.Hs.symbols
TP53,c2.cp.wikipathways.v2023.2.Hs.symbols
MMP9,c2.cp.wikipathways.v2023.2.Hs.symbols
GSS,c2.cp.wikipathways.v2023.2.Hs.symbols
PRF1,c2.cp.wikipathways.v2023.2.Hs.symbols
MIRLET7C,c2.cp.wikipathways.v2023.2.Hs.symbols
FAS,c2.cp.wikipathways.v2023.2.Hs.symbols
MCL1,c2.cp.wikipathways.v2023.2.Hs.symbols
CCNB1,c2.cp.wikipathways.v2023.2.Hs.symbols
LORICRIN,c2.cp.wikipathways.v2023.2.Hs.symbols
BMI1,c2.cp.wikipathways.v2023.2.Hs.symbols
STAT1,c2.cp.wikipathways.v2023.2.Hs.symbols
ICAM1,c2.cp.wikipathways.v2023.2.Hs.symbols
CASP3,c2.cp.wikipathways.v2023.2.Hs.symbols
TWIST1,c2.cp.wikipathways.v2023.2.Hs.symbols
CD80,c2.cp.wikipathways.v2023.2.Hs.symbols
