PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,15,46,19938,15/482,46/19938,0.32608695652173914,13.48863431354862,13.346926974333362,1.1675839099391993e-13,4.820991628136049e-13,CDKN1B/KRAS/VEGFA/MYC/LPL/ESR1/PLAGL1/CDKN1A/RB1/EGFR/AHR/KLF6/SRC/NCOR2/NF1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_IL_24_SIGNALING_PATHWAY,39,232,19938,39/482,232/19938,0.16810344827586207,6.953623551294892,14.356638620480451,8.114091859791074e-22,1.4837196543617964e-20,TNFRSF10B/CDKN2B/CDH1/FBP1/TP53/APC/RPS6KB1/SRC/EGFR/MTOR/PIK3R1/AKT1/CD44/CCND1/VEGFA/EIF4E/STAT3/CDKN1A/TWIST1/CDKN2A/MAPK14/GADD45A/CHEK2/IL24/BRCA2/PTEN/RB1/MEIS1/IL6/BECN1/CD82/CDKN1B/NDRG1/ATM/MYC/SOD2/MAPK8/BCL2L1/BCL2,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ALZHEIMER_39_S_DISEASE,22,261,19938,22/482,261/19938,0.0842911877394636,3.486717222301712,6.364933312717069,4.260764005802592e-07,5.864277341319697e-07,FZD2/APC/DKK2/WNT5A/MTOR/PIK3R1/FZD8/AKT1/KRAS/DKK1/LPL/WNT7B/WNT3A/FZD5/IL6/BECN1/WNT16/DVL2/FZD7/LRP6/AKT3/MAPK8,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_PROLACTIN_SIGNALING_PATHWAY,17,74,19938,17/482,74/19938,0.22972972972972974,9.502803633509028,11.533770374489404,1.605144259106953e-12,5.552931490964594e-12,RAC1/PTPN6/MYC/SOCS2/FYN/ITGB1/ERBB2/STAT3/RPS6KB1/FOS/MAPK8/SRC/MTOR/MAPK14/SOCS1/PIK3R1/AKT1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,19,87,19938,19/482,87/19938,0.21839080459770116,9.0337673486908,11.819914284627089,2.0733846430237698e-13,8.293538572095079e-13,CDC42/EGFR/SRC/PIK3R1/MDM2/AKT1/CCND1/FOXO1/STAT3/FHL2/RAC1/PTEN/SMAD4/RB1/AR/PAK6/NCOR2/SIRT1/BRCA1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_AGE_RAGE_PATHWAY,11,66,19938,11/482,66/19938,0.16666666666666666,6.894190871369294,7.549218904217849,4.762044736071105e-07,6.428126005183888e-07,FOXO1/RAC1/STAT3/SMAD2/CDC42/EGFR/MAPK8/SRC/MAPK14/LGALS3/AKT1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_HIPPO_MERLIN_SIGNALING_DYSREGULATION,17,120,19938,17/482,120/19938,0.14166666666666666,5.8600622406639005,8.404834900829405,4.77586876323699e-09,9.11400933564003e-09,FOXM1/KRAS/NGFR/IGF1R/CDH1/FGFR1/MYC/ITGA7/ITGB1/EGFR/PAK6/AMOT/YAP1/DCAF1/NF2/CD44/CCND1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_SMITH_MAGENIS_AND_POTOCKI_LUPSKI_SYNDROME_COPY_NUMBER_VARIATION,11,153,19938,11/482,153/19938,0.0718954248366013,2.9739646896102836,3.8578355658320747,0.001261818201262586,0.0012921018380928882,PARD3/MTOR/MYC/PTEN/STAT3/TP53/PRKN/RASD1/YAP1/IRF8/PER1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_PHOTODYNAMIC_THERAPY_INDUCED_AP_1_SURVIVAL_SIGNALING,12,50,19938,12/482,50/19938,0.24,9.927634854771783,9.948383312588028,1.8340878788748876e-09,3.848577844196486e-09,RB1/CDKN1A/TP53/BCL2/FOS/BCL2L1/CDKN2A/MAPK8/EGFR/MAPK14/IL6/CCND1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM,12,60,19938,12/482,60/19938,0.2,8.273029045643154,8.880373839861536,1.6979196622596886e-08,3.0185238440172243e-08,PBX1/GATA3/SMAD1/HNF1B/ITGB1/MYCN/SPRY1/WT1/GLI1/RARA/RARB/CCND1,Tumor_suppressor,c2.cp.wikipathways.v2023.2.Hs.symbols
