PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,20,46,19938,20/585,46/19938,0.43478260869565216,14.818283166109252,16.312760791522592,4.473249945544217e-19,3.2744189601383662e-18,EGFR/SRC/KRAS/VEGFA/E2F1/LPL/CDKN1A/CYP1A1/NFKB1/CDC37/NRAS/RB1/RAF1/EP300/TNF/MAPK1/NCOR2/CDKN1B/MYC/RET,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_IL_24_SIGNALING_PATHWAY,54,232,19938,54/585,232/19938,0.23275862068965517,7.93289124668435,18.46685036018165,3.783780870234921e-33,3.462159496264953e-31,ILK/CDH1/MKI67/FBP1/MMP2/TP53/APC/PCNA/TGFB1/SOX2/SQSTM1/SRC/EGFR/MTOR/PIK3R1/PARP1/AKT1/CCND1/VEGFA/XBP1/CDK1/STAT1/BMI1/PRKAA1/STAT3/CDKN1A/TWIST1/BCL2/CDKN2A/ABCB1/HSPB1/BRCA2/JUN/PTEN/RB1/TNF/EIF5A/MAPK1/MEIS1/IL6/BECN1/BCL2L1/CDKN1B/PDGFB/RPS6/MYC/ATF2/EIF2AK3/CTNNB1/MAPK8/KRT14/MAPK10/EIF4A1/SF3B1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_IL_5_SIGNALING_PATHWAY,11,37,19938,11/585,37/19938,0.2972972972972973,10.132501732501733,9.66689195562098,5.403949637995634e-09,8.75152905976284e-09,KRAS/STAT1/JUN/RPS6/STAT3/STAT5A/RAF1/MAPK1/FOXO3/PIK3R1/AKT1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_NON_GENOMIC_ACTIONS_OF_1_25_DIHYDROXYVITAMIN_D3,16,75,19938,16/585,75/19938,0.21333333333333335,7.270837606837607,9.459484147729382,4.2382336309479645e-10,7.755967544634774e-10,NFKB1/KRAS/RELB/MED1/NRAS/PLCE1/STAT1/ETS1/JUN/VDR/CAV1/TNF/MAPK1/MAPK8/IL6/CCL2,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ALZHEIMER_39_S_DISEASE,30,261,19938,30/585,261/19938,0.11494252873563218,3.917477158856469,8.248632683298148,1.9027492495014494e-10,3.744119490954465e-10,FRAT1/APC/WNT5A/MTOR/PSMD12/PIK3R1/WNT1/AKT1/KRAS/XBP1/INSR/CAPN2/LPL/CSF1/NFKB1/NRAS/FZD5/RAF1/PSMD4/TNF/MAPK1/IL6/BECN1/BRAF/FZD7/AKT3/EIF2AK3/CTNNB1/MAPK8/MAPK10,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_PROLACTIN_SIGNALING_PATHWAY,22,74,19938,22/585,74/19938,0.2972972972972973,10.132501732501733,13.683776086769408,1.1455824718311255e-16,6.352775525608969e-16,STAT5A/AGAP2/SRC/MTOR/PIK3R1/AKT1/STAT1/ITGB1/ERBB2/STAT3/FOS/PRLR/NFKB1/PRL/JUN/FYN/RAF1/MAPK1/PTPN1/MYC/RPS6/MAPK8,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,33,87,19938,33/585,87/19938,0.3793103448275862,12.927674624226347,19.38464733334038,2.631661718882634e-28,9.631881891110441e-27,NCOA2/KAT2B/CDC42/ROCK1/SRC/EGFR/MDM2/PIK3R1/AKT1/CCND1/FOXO1/STAT3/RACK1/FHL2/RNF6/JUN/PTEN/RHOA/RB1/CAV1/EP300/KDM1A/AR/RUNX2/PAK6/NCOR2/UBE2I/SIRT1/NCOA3/RAD9A/CARM1/CTNNB1/CREB1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_AGE_RAGE_PATHWAY,19,66,19938,19/585,66/19938,0.2878787878787879,9.811499611499611,12.466217335749752,2.7370626381261122e-14,1.0384051735386395e-13,MMP2/STAT5A/CDC42/ROCK1/SRC/EGFR/HIF1A/AKT1/FOXO1/STAT1/INSR/STAT3/NFKB1/JUN/RHOA/RAF1/MAPK1/ATF2/MAPK8,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_HIPPO_MERLIN_SIGNALING_DYSREGULATION,27,120,19938,27/585,120/19938,0.225,7.668461538461538,12.738551605411843,9.615345181619869e-17,5.676155381407859e-16,FOXM1/CDH1/FGFR1/ITGA6/ITGB5/EGFR/CCND1/KRAS/INSR/ITGB1/CDH2/NRAS/NTRK1/LIN28B/MET/CDH11/CUL4A/PAK6/YAP1/EPHA2/ITGA5/CSF1R/MYC/WWTR1/KIT/CTNNB1/PRKAR2B,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_SMITH_MAGENIS_AND_POTOCKI_LUPSKI_SYNDROME_COPY_NUMBER_VARIATION,21,153,19938,21/585,153/19938,0.13725490196078433,4.677928607340372,7.939893408039781,4.366211431357598e-09,7.263788108531276e-09,TP53/ROCK1/MTOR/PARD3/CDK1/PRKAA1/STAT3/COPS5/FOXA1/NFKB1/JUN/PTEN/RHOA/TNF/PRKN/YAP1/PRKCI/MYC/CARM1/WWTR1/CREB1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_PHOTODYNAMIC_THERAPY_INDUCED_AP_1_SURVIVAL_SIGNALING,18,50,19938,18/585,50/19938,0.36,12.269538461538462,13.871686518744236,1.5135129882425568e-15,7.28875991706284e-15,FGF7/MAP2K4/JUN/MMP2/RB1/TP53/CDKN1A/BCL2/TNF/ATF2/FOS/BCL2L1/CDKN2A/MAPK8/EGFR/IL6/TRAF6/CCND1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM,15,60,19938,15/585,60/19938,0.25,8.52051282051282,10.143093460508906,1.3523720307141966e-10,2.78072001821009e-10,ILK/FOXC1/SLIT2/GLI2/HNF1B/RET/ITGB1/MYCN/SMO/WT1/GLI1/CTNNB1/RARB/PAX2/CCND1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_SARS_COV_2_INNATE_IMMUNITY_EVASION_AND_CELL_SPECIFIC_IMMUNE_RESPONSE,13,65,19938,13/585,65/19938,0.2,6.816410256410257,8.166080988663506,4.2401195100585457e-08,6.109778506619794e-08,NFKB1/STAT1/CXCL11/TRAF6/CXCL3/TGFB1/EP300/TNF/CSF2/IL6/TRIM25/CXCL1/CCL2,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_NCRNAS_INVOLVED_IN_WNT_SIGNALING_IN_HEPATOCELLULAR_CARCINOMA,15,85,19938,15/585,85/19938,0.17647058823529413,6.01447963800905,8.054822098190206,2.323548265082614e-08,3.488124365820739e-08,EZH2/SERPINF1/CCND1/MYC/JUN/FRAT1/FZD5/APC/CTNNB1/WNT5A/CTBP1/MTDH/CCND2/WNT1/FZD7,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_VITAMIN_D_RECEPTOR_PATHWAY,17,184,19938,17/585,184/19938,0.09239130434782608,3.148885172798216,5.091295276212073,3.1406142522316476e-05,3.38077887151995e-05,CDKN1B/IGFBP5/TIMP3/FOXO1/MYC/ALOX5/ID1/VDR/CDKN1A/CYP1A1/TGFB1/G6PD/CDKN2A/HIF1A/ABCB1/S100A4/CCND1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,14,127,19938,14/585,127/19938,0.11023622047244094,3.7570765192812434,5.419149974510145,2.2128499232327562e-05,2.4104258092356807e-05,NFKB1/VEGFA/LIF/CXCL11/CXCL3/IFNA1/CSF2/TGFB1/TNF/CNTF/CSF1/IL6/CXCL1/CCL2,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_NETWORK_MAP_OF_SARS_COV_2_SIGNALING_PATHWAY,24,217,19938,24/585,217/19938,0.11059907834101383,3.7694434597660407,7.131675806348602,2.6871061071218536e-08,3.9978895740105625e-08,CXCL3/EGR1/HIF1A/MTOR/ITCH/AKT1/CDK1/STAT1/TGFBR2/RRAS/RRM2/FOS/AKT1S1/CXCL1/CCL2/JUN/FYN/NTRK1/TNF/IL6/RPS6/RHEB/MAPK8/TRAF6,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_STEROL_REGULATORY_ELEMENT_BINDING_PROTEINS_SREBP_SIGNALING,16,69,19938,16/585,69/19938,0.2318840579710145,7.903084355258268,9.986502386469231,1.1162397441952282e-10,2.3212712862241678e-10,SIRT1/PPARG/HMGCR/FDPS/SCARB1/LPL/CDK8/PRKAA1/SEC23B/YY1/FASN/MTOR/ACLY/CREB1/AKT1/SCD,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,12,156,19938,12/585,156/19938,0.07692307692307693,2.621696252465483,3.535333615233074,0.002218720660121794,0.002255699337790491,NFKB1/IGFBP5/JUN/RGS17/SFN/PDE4D/FOS/IL6/ATF2/PRKAR2B/ATF3/CREB1,Oncogene,c2.cp.wikipathways.v2023.2.Hs.symbols
