PathwayID,GeneCount,PathwaySize,BackgroundSize,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,GeneList,GeneSet,Library Source
WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586,12,46,19938,12/240,46/19938,0.2608695652173913,21.671739130434784,15.493201349838689,1.9042883634016847e-13,4.704712427227691e-13,KRAS/VEGFA/NRAS/MYC/HRAS/ESR1/RB1/CDKN1A/EGFR/SRC/PTGS2/RELA,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_IL_24_SIGNALING_PATHWAY,31,232,19938,31/240,232/19938,0.1336206896551724,11.100538793103448,17.081018101425244,1.7177654951945802e-23,2.0613185942334964e-22,PIK3CA/CDH1/TP53/APC/SOX2/MMP9/SRC/EGFR/MTOR/CD44/AKT1/CCND1/VEGFA/CXCL8/CDK1/BMI1/EIF4E/STAT3/CDKN1A/PTK2/CTSB/HSPB1/BRCA2/PTEN/RB1/IL6/ATM/MYC/SOD2/CENPA/RELA,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ALZHEIMER_39_S_DISEASE,14,261,19938,14/240,261/19938,0.05363984674329502,4.456130268199234,6.203765497387709,3.6242953629013583e-06,3.8055101310464266e-06,PIK3CA/KRAS/NRAS/HRAS/RELA/APC/INS/PPP3CC/MTOR/IL6/PTGS2/BRAF/AKT1/WNT3A,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_PROLACTIN_SIGNALING_PATHWAY,16,74,19938,16/240,74/19938,0.21621621621621623,17.962162162162162,16.135713577221274,4.2541689674215675e-16,1.7033204010203988e-15,PIK3CA/PRL/RAC1/ELK1/HRAS/MYC/STAT3/STAT5A/ERBB2/FOS/SRC/MTOR/PTK2/PAK1/RELA/AKT1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,17,87,19938,17/240,87/19938,0.19540229885057472,16.233045977011496,15.717361542642722,3.0981627838782933e-16,1.3697140728725086e-15,RAC1/CREB1/PTEN/RAD9A/AKT1/RUNX2/SMAD4/STAT3/EGFR/RB1/KDM1A/AR/SRC/PTK2/RELA/PRDX1/CCND1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_HIPPO_MERLIN_SIGNALING_DYSREGULATION,18,120,19938,18/240,120/19938,0.15,12.46125,13.90007538066213,5.4269610940215915e-15,1.6883878959178283e-14,FOXM1/KRAS/NRAS/FGFR2/EPHA2/CDH1/FGFR1/HRAS/MYC/NTRK2/KIT/EGFR/YAP1/PTK2/PAK1/PAK4/CD44/CCND1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_SMITH_MAGENIS_AND_POTOCKI_LUPSKI_SYNDROME_COPY_NUMBER_VARIATION,12,153,19938,12/240,153/19938,0.0784313725490196,6.515686274509804,7.559650245402021,3.474728744688109e-07,3.9442866831594753e-07,MTOR/CDK1/FOXA2/MYC/RELA/PTEN/STAT3/TP53/FOXA1/HES6/YAP1/CREB1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_RELATIONSHIP_BETWEEN_INFLAMMATION_COX_2_AND_EGFR,10,25,19938,10/240,25/19938,0.4,33.230000000000004,17.798623718256707,1.477208854573388e-13,3.7601679934595335e-13,PIK3CA/KRAS/NRAS/HRAS/ESR1/EGFR/SRC/PTGS2/BRAF/AKT1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,10,127,19938,10/240,127/19938,0.07874015748031496,6.541338582677166,6.914930303017273,3.233776298472183e-06,3.4825283214315813e-06,VEGFA/CXCL8/IL7/LIF/CXCL2/IL17A/MMP9/IL6/CX3CL1/CXCL1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_NETWORK_MAP_OF_SARS_COV_2_SIGNALING_PATHWAY,17,217,19938,17/240,217/19938,0.07834101382488479,6.508179723502304,9.0052953538791,1.216584098469858e-09,1.792860776692422e-09,CTSB/CXCL8/IL7/RAC1/CDK1/CXCL2/EIF4E/ITIH4/RRM2/FOS/IL17A/NFKB2/MTOR/IL6/PTGS2/CXCL1/AKT1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_GASTRIN_SIGNALING_PATHWAY,24,115,19938,24/240,115/19938,0.20869565217391303,17.337391304347825,19.394178997193197,3.5508808699678826e-23,3.728424913466277e-22,PIK3CA/CDH1/ELK1/EGFR/SRC/MTOR/CD44/AKT1/CCND1/KRAS/VEGFA/CXCL8/STAT3/CDKN1A/FOS/PTGS2/PAK1/PTK2/RAC1/HRAS/CREB1/MYC/KIT/RELA,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_NUCLEAR_RECEPTORS_META_PATHWAY,20,313,19938,20/240,313/19938,0.06389776357827476,5.3083067092651754,8.480049904168181,1.4684131469056324e-09,2.0906221074588665e-09,SLC39A6/EGFR/NFKB2/SRC/PRDX1/CCND1/CDK1/STAT3/PGD/PTGS2/ACKR3/GSTP1/PTGES3/ESR1/TGFBR3/NR3C1/EPHA2/MYC/HGF/FASN,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_THYROID_STIMULATING_HORMONE_TSH_SIGNALING_PATHWAY,10,58,19938,10/240,58/19938,0.1724137931034483,14.323275862068966,11.216084838919715,1.6657230320545063e-09,2.2937825359439104e-09,PIK3CA/HRAS/CREB1/STAT3/RB1/SRC/MTOR/BRAF/AKT1/GNA13,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_THYROID_HORMONES_PRODUCTION_AND_PERIPHERAL_DOWNSTREAM_SIGNALING_EFFECTS,11,93,19938,11/240,93/19938,0.11827956989247312,9.826075268817204,9.41690107546933,1.5646765849604833e-08,2.0862354466139776e-08,PIK3CA/NOTCH1/FGFR1/SHH/HRAS/TP53/KDM1A/SRC/MTOR/NPY/SIRT6,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_MICROTUBULE_CYTOSKELETON_REGULATION,11,46,19938,11/240,46/19938,0.2391304347826087,19.865760869565218,14.139643980885225,5.627342576103645e-12,1.125468515220729e-11,PIK3CA/RAC1/ABL1/CDK1/PTEN/STAT3/APC/SRC/PAK1/AKT1/WNT3A,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS,16,116,19938,16/240,116/19938,0.13793103448275862,11.458620689655172,12.469646153975479,7.028218803154632e-13,1.5955956201756463e-12,LIF/FGFR2/FGFR1/ELK1/HRAS/PTEN/SMAD4/STAT3/APC/FOS/EGFR/MTOR/FGF10/BRAF/AKT1/WNT3A,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_ECTODERM_DIFFERENTIATION,10,137,19938,10/240,137/19938,0.072992700729927,6.063868613138686,6.564831891478596,6.385053347304599e-06,6.540786355775443e-06,TRIM33/FGFR2/SHH/FOXA2/MYC/SMAD4/GLI3/SOX2/PHF8/SPRY2,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,12,140,19938,12/240,140/19938,0.08571428571428572,7.120714285714286,8.021949501751319,1.3168945465470894e-07,1.6031759697095e-07,LIF/SMAD4/TGFBR3/STAT3/CFL1/FOS/CAMKK2/NFKB2/IL6/GLS/CREB1/AKT1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_PANCREATIC_ADENOCARCINOMA_PATHWAY,19,89,19938,19/240,89/19938,0.21348314606741572,17.735112359550563,17.46540974269681,8.869902144424825e-19,4.656698625823033e-18,PIK3CA/TP53/EGFR/MTOR/PAK4/AKT1/CCND1/KRAS/VEGFA/STAT3/ERBB2/CDKN1A/PAK1/RAC1/BRCA2/SMAD4/RB1/BRAF/RELA,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_CELL_CYCLE,11,120,19938,11/240,120/19938,0.09166666666666666,7.615208333333333,8.022850430111692,2.2402518371974637e-07,2.613627143397041e-07,ABL1/CDK1/ATM/MYC/PRKDC/SMAD4/TP53/CDKN1A/RB1/CDC20/CCND1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_EXTRACELLULAR_VESICLE_MEDIATED_SIGNALING_IN_RECIPIENT_CELLS,12,30,19938,12/240,30/19938,0.4,33.230000000000004,19.49986369210458,5.016444102506326e-16,1.9153695664115063e-15,KRAS/NRAS/HRAS/SMAD4/ERBB2/APC/TGFBR3/HGF/EGFR/MTOR/AKT1/WNT3A,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_CORTICOTROPIN_RELEASING_HORMONE_SIGNALING_PATHWAY,10,92,19938,10/240,92/19938,0.10869565217391304,9.029891304347826,8.521019230559267,1.6099383127123788e-07,1.9319259752548545e-07,TRIM28/CXCL8/ELK1/BRAF/RELA/HSD3B1/FOS/PTK2/CREB1/AKT1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_GLIOBLASTOMA_SIGNALING_PATHWAYS,19,82,19938,19/240,82/19938,0.23170731707317074,19.24908536585366,18.27791298999219,1.6621731048753343e-19,9.308169387301872e-19,PIK3CA/FGFR1/TP53/EGFR/SRC/AKT1/CCND1/KRAS/ERBB2/CDKN1A/NRAS/BRCA2/HRAS/PTEN/RB1/BRAF/SPRY2/FGFR2/ATM,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
WP_OREXIN_RECEPTOR_PATHWAY,10,88,19938,10/240,88/19938,0.11363636363636363,9.440340909090908,8.758818511831658,1.0510314235441956e-07,1.2983329349663593e-07,CXCL8/CAMKK2/CXCL2/STAT3/GNRH1/IL6/RUNX2/MTOR/NPY/CREB1,Driver,c2.cp.wikipathways.v2023.2.Hs.symbols
