gene_id,symbol,name,cytoband,type,num_cohort_ssm_affected_cases,num_cohort_ssm_cases,cohort_ssm_affected_cases_percentage,num_gdc_ssm_affected_cases,num_gdc_ssm_cases,gdc_ssm_affected_cases_percentage,num_cohort_cnv_cases,num_cohort_cnv_gain_cases,cohort_cnv_gain_cases_percentage,num_cohort_cnv_loss_cases,cohort_cnv_loss_cases_percentage,num_mutations,annotations
ENSG00000141510,TP53,tumor protein p53,17p13.1,protein_coding,71,555,12.79,4964,16508,30.07,494,0,0.0,156,31.58,57,Cancer Gene Census
ENSG00000121067,SPOP,speckle type BTB/POZ protein,17q21.33,protein_coding,61,555,10.99,207,16508,1.25,494,11,2.23,11,2.23,27,Cancer Gene Census
ENSG00000129514,FOXA1,forkhead box A1,14q21.1,protein_coding,39,555,7.03,209,16508,1.27,494,23,4.66,12,2.43,35,Cancer Gene Census
ENSG00000181143,MUC16,"mucin 16, cell surface associated",19p13.2,protein_coding,37,555,6.67,2903,16508,17.59,494,4,0.81,17,3.44,48,Cancer Gene Census
ENSG00000167548,KMT2D,lysine methyltransferase 2D,12q13.12,protein_coding,33,555,5.95,1336,16508,8.09,494,11,2.23,13,2.63,38,Cancer Gene Census
ENSG00000168702,LRP1B,LDL receptor related protein 1B,"2q22.1, 2q22.2",protein_coding,26,555,4.68,1784,16508,10.81,494,1,0.2,72,14.57,28,Cancer Gene Census
ENSG00000055609,KMT2C,lysine methyltransferase 2C,7q36.1,protein_coding,25,555,4.5,1063,16508,6.44,494,46,9.31,16,3.24,29,Cancer Gene Census
ENSG00000149311,ATM,ATM serine/threonine kinase,11q22.3,protein_coding,21,555,3.78,761,16508,4.61,494,21,4.25,45,9.11,22,Cancer Gene Census
ENSG00000171862,PTEN,phosphatase and tensin homolog,10q23.31,protein_coding,21,555,3.78,1268,16508,7.68,494,3,0.61,124,25.1,21,Cancer Gene Census
ENSG00000164796,CSMD3,CUB and Sushi multiple domains 3,8q23.3,protein_coding,20,555,3.6,1991,16508,12.06,494,122,24.7,8,1.62,22,Cancer Gene Census
ENSG00000165323,FAT3,FAT atypical cadherin 3,11q14.3,protein_coding,18,555,3.24,1438,16508,8.71,494,25,5.06,10,2.02,21,Cancer Gene Census
ENSG00000147050,KDM6A,lysine demethylase 6A,Xp11.3,protein_coding,16,555,2.88,472,16508,2.86,494,0,0.0,0,0.0,17,Cancer Gene Census
ENSG00000140836,ZFHX3,zinc finger homeobox 3,"16q22.2, 16q22.3",protein_coding,14,555,2.52,838,16508,5.08,494,4,0.81,172,34.82,17,Cancer Gene Census
ENSG00000167258,CDK12,cyclin dependent kinase 12,17q12,protein_coding,13,555,2.34,371,16508,2.25,494,5,1.01,28,5.67,20,Cancer Gene Census
ENSG00000196159,FAT4,FAT atypical cadherin 4,4q28.1,protein_coding,13,555,2.34,1444,16508,8.75,494,8,1.62,42,8.5,21,Cancer Gene Census
ENSG00000121879,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",3q26.32,protein_coding,12,555,2.16,1685,16508,10.21,494,38,7.69,8,1.62,10,Cancer Gene Census
ENSG00000134982,APC,APC regulator of WNT signaling pathway,5q22.2,protein_coding,12,555,2.16,1082,16508,6.55,494,8,1.62,60,12.15,12,Cancer Gene Census
ENSG00000147130,ZMYM3,zinc finger MYM-type containing 3,Xq13.1,protein_coding,12,555,2.16,323,16508,1.96,494,0,0.0,0,0.0,13,Cancer Gene Census
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,16p13.2,protein_coding,12,555,2.16,776,16508,4.7,494,21,4.25,9,1.82,12,Cancer Gene Census
ENSG00000065526,SPEN,spen family transcriptional repressor,"1p36.21, 1p36.13",protein_coding,11,555,1.98,629,16508,3.81,494,3,0.61,36,7.29,14,Cancer Gene Census
ENSG00000168036,CTNNB1,catenin beta 1,3p22.1,protein_coding,11,555,1.98,548,16508,3.32,494,15,3.04,10,2.02,9,Cancer Gene Census
ENSG00000189079,ARID2,AT-rich interaction domain 2,12q12,protein_coding,11,555,1.98,529,16508,3.2,494,13,2.63,18,3.64,11,Cancer Gene Census
ENSG00000118058,KMT2A,lysine methyltransferase 2A,11q23.3,protein_coding,10,555,1.8,686,16508,4.16,494,19,3.85,41,8.3,13,Cancer Gene Census
ENSG00000127914,AKAP9,A-kinase anchoring protein 9,7q21.2,protein_coding,10,555,1.8,660,16508,4.0,494,65,13.16,1,0.2,14,Cancer Gene Census
ENSG00000139618,BRCA2,BRCA2 DNA repair associated,13q13.1,protein_coding,10,555,1.8,569,16508,3.45,494,7,1.42,95,19.23,10,Cancer Gene Census
